,Date,Time,Number of Jumps,FARS Point Number,Carrier Frequency /MHz,Sideband Frequency /MHz,Total Frequency /MHz,Real freq,Detuning,Mean tau/us,Mean tau/us offset,Mean tau/us corr,Mean tau/us corr offset,tau std. dev./us,tau rel. std. dev./%,Mean loss/ppm,f_rep/Hz,Temperature /C,Yokogawa Pressure Calib /Torr,Calculated Pressure /Torr,New Calculated Pressure /Torr,Yokogawa Pressure Offset /Torr,Yokogawa Pressure Read /Torr,dF / MHz,Actual PZT Voltage,Current /mA,Actual Current
27,3/8/2019,9:17:44 AM,0,28,237143507.3,-1176.8146,237142330.5,237142416.881,-1208.818734,38.60140339,38.6116864663,38.6731814193,38.6835027784,0.020607421,0.05338516,64.29084568,632.1353066,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.234225929,-0.436104906,175.0848435,176.829263124
28,3/8/2019,9:17:44 AM,0,29,237143507.3,-975.3455,237142531.9,237142618.351,-1007.348945,38.60326825,38.61355232,38.6750517609,38.6853741184,0.021905703,0.05674572,64.2877399,619.047619,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.051189125,-0.436104906,175.0848435,176.829263124
29,3/8/2019,9:17:44 AM,0,30,237143507.3,-773.8764,237142733.4,237142819.821,-805.879156,38.60441371,38.6146983904,38.6762005879,38.6865235588,0.021220885,0.054970099,64.28583236,579.4573643,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.036679685,-0.436104906,175.0848435,176.829263124
30,3/8/2019,9:17:44 AM,0,31,237143507.3,-572.4073,237142934.9,237143021.291,-604.409367,38.60857349,38.6188603873,38.6803725964,38.6906977948,0.019926652,0.051611988,64.27890605,595.6175299,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.072094917,-0.436104906,175.0848435,176.829263124
31,3/8/2019,9:17:44 AM,0,32,237143507.3,-370.9382,237143136.4,237143222.76,-402.939578,38.60857555,38.6188624484,38.6803746625,38.690699862,0.02107382,0.054583261,64.27890263,586.2745098,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,-0.08072713,-0.436104906,175.0848435,176.829263124
32,3/8/2019,9:17:44 AM,0,33,237143507.3,-169.4691,237143337.8,237143424.23,-201.469789,38.6075911,38.6178774737,38.6793873184,38.6897119907,0.020750347,0.053746805,64.28054167,557.8358209,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,-0.091859758,-0.436104906,175.0848435,176.829263124
33,3/8/2019,9:17:44 AM,0,34,237143507.3,32.0,237143539.3,237143625.7,0.0,38.60816245,38.6184491282,38.679960348,38.6902853263,0.020725865,0.053682598,64.2795904,619.047619,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.120169491,-0.436104906,175.0848435,176.829263124
34,3/8/2019,9:17:44 AM,0,35,237143507.3,233.4691,237143740.8,237143827.17,201.469789,38.60905735,38.6193445051,38.6808578789,38.6911833364,0.020804408,0.053884786,64.27810049,568.4410646,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.003107518,-0.436104906,175.0848435,176.829263124
35,3/8/2019,9:17:44 AM,0,36,237143507.3,434.9382,237143942.2,237144028.64,402.939578,38.60861465,38.6189015692,38.6804138774,38.6907390979,0.020626559,0.053424758,64.27883753,560.9756098,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,-0.228088349,-0.436104906,175.0848435,176.829263124
36,3/8/2019,9:17:44 AM,0,37,237143507.3,636.4073,237144143.7,237144230.109,604.409367,38.60258491,38.6128686159,38.6743664122,38.6846884039,0.02116654,0.054831924,64.28887792,601.6096579,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.127835631,-0.436104906,175.0848435,176.829263124
