trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,m,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air,n_y_air,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self,n_y_self
6297187,7,1,13023.07889000,4.22500E-25,0.022,931.74310,49,49,       b      0,       X      0,               , P 25Q 24     d,-24,0.04,0.63,-0.011577,5.00E-05,0.12,0.63,0,0,0,1,0,0.001638,4.437632126,0.04,0.75,-0.0037917,3.00E-05,0.12,0.75,0,0,0,1,0,0.001638,4.437632126
6297188,7,1,13031.39436000,8.05100E-25,0.02331,793.20870,45,47,       b      0,       X      0,               , P 23P 23     d,-23,0.04,0.57,-0.010337,3.10E-05,0.18,0.57,0,0,0,1,0,0.001455,3.481353001,0.04,0.77,-0.0032812,5.90E-05,0.18,0.77,0,0,0,1,0,0.001455,3.481353001
6297189,7,1,13033.19994000,7.67300E-25,0.02203,791.40310,45,45,       b      0,       X      0,               , P 23Q 22     d,-22,0.04,0.69,-0.010116,4.90E-05,0.13,0.69,0,0,0,1,0,0.001368,5.229704566,0.04,0.76,-0.0031413,5.90E-05,0.13,0.76,0,0,0,1,0,0.001368,5.229704566
6297190,7,1,13041.12385000,1.38000E-24,0.02347,664.25950,41,43,       b      0,       X      0,               , P 21P 21     d,-21,0.04,0.72,-0.009026,3.50E-05,0.16,0.72,0,0,0,1,0,0.001239,2.668600473,0.04,0.78,-0.003051,5.60E-05,0.16,0.78,0,0,0,1,0,0.001239,2.668600473
6297191,7,1,13042.94749000,1.30800E-24,0.02206,662.43590,41,41,       b      0,       X      0,               , P 21Q 20     d,-20,0.04,0.61,-0.010047,2.30E-05,0.11,0.61,0,0,0,1,0,0.001166,4.257624999,0.04,0.82,-0.0029611,4.80E-05,0.11,0.82,0,0,0,1,0,0.001166,4.257624999
6297192,7,1,13050.48093000,2.22000E-24,0.02366,546.70420,37,39,       b      0,       X      0,               , P 19P 19     d,-19,0.04,0.75,-0.008536,3.30E-05,0.13,0.75,0,0,0,1,0,0.001064,2.226019518,0.04,0.79,-0.002538,5.70E-05,0.13,0.79,0,0,0,1,0,0.001064,2.226019518
6297193,7,1,13052.32291000,2.09100E-24,0.02209,544.86220,37,37,       b      0,       X      0,               , P 19Q 18     d,-18,0.04,0.73,-0.009236,2.80E-05,0.13,0.73,0,0,0,1,0,0.000998,3.137979657,0.04,0.78,-0.002338,5.50E-05,0.13,0.78,0,0,0,1,0,0.000998,3.137979657
6297194,7,1,13059.46667000,3.34300E-24,0.02388,440.56180,33,35,       b      0,       X      0,               , P 17P 17     d,-17,0.05,0.71,-0.008846,2.70E-05,0.13,0.71,0,0,0,1,0,0.000908,1.985142148,0.04,0.8,-0.002138,5.60E-05,0.13,0.8,0,0,0,1,0,0.000908,1.985142148
6297195,7,1,13061.32742000,3.12600E-24,0.02213,438.70100,33,33,       b      0,       X      0,               , P 17Q 16     d,-16,0.04,0.78,-0.008976,2.40E-05,0.11,0.78,0,0,0,1,0,0.000844,3.020137622,0.04,0.78,-0.001998,5.50E-05,0.11,0.78,0,0,0,1,0,0.000844,3.020137622
6297196,7,1,13068.08195000,4.70600E-24,0.02417,345.84950,29,31,       b      0,       X      0,               , P 15P 15     d,-15,0.05,0.79,-0.007895,2.90E-05,0.11,0.79,0,0,0,1,0,0.000755,1.852149734,0.05,0.79,-0.001857,5.50E-05,0.11,0.79,0,0,0,1,0,0.000755,1.852149734
6297197,7,1,13069.96203000,4.35700E-24,0.02218,343.96940,29,29,       b      0,       X      0,               , P 15Q 14     d,-14,0.05,0.78,-0.008506,2.60E-05,0.1,0.78,0,0,0,1,0,0.000687,3.389740989,0.05,0.79,-0.001688,5.60E-05,0.1,0.79,0,0,0,1,0,0.000687,3.389740989
6297198,7,1,13076.32743000,6.16600E-24,0.02454,262.58270,25,27,       b      0,       X      0,               , P 13P 13     d,-13,0.05,0.79,-0.007705,2.90E-05,0.1,0.79,0,0,0,1,0,0.00059,1.849878493,0.05,0.8,-0.001398,5.70E-05,0.1,0.8,0,0,0,1,0,0.00059,1.849878493
6297199,7,1,13078.22769000,5.63700E-24,0.02224,260.68240,25,25,       b      0,       X      0,               , P 13Q 12     d,-12,0.05,0.81,-0.008406,1.90E-05,0.09,0.81,0,0,0,1,0,0.000511,3.070700343,0.05,0.79,-0.001438,5.60E-05,0.09,0.79,0,0,0,1,0,0.000511,3.070700343
6297200,7,1,13084.20355000,7.48700E-24,0.02506,190.77480,21,23,       b      0,       X      0,               , P 11P 11     d,-11,0.05,0.82,-0.007635,2.40E-05,0.1,0.82,0,0,0,1,0,0.000396,1.807465693,0.05,0.81,-0.001088,5.80E-05,0.1,0.81,0,0,0,1,0,0.000396,1.807465693
6297201,7,1,13086.12530000,6.72800E-24,0.02231,188.85310,21,21,       b      0,       X      0,               , P 11Q 10     d,-10,0.05,0.81,-0.008315,1.80E-05,0.09,0.81,0,0,0,1,0,0.000299,-1.535079169,0.05,0.8,-0.001098,6.00E-05,0.09,0.8,0,0,0,1,0,0.000299,-1.535079169
6297202,7,1,13091.71056000,8.36000E-24,0.0258,130.43750,17,19,       b      0,       X      0,               , P  9P  9     d,-9,0.05,0.84,-0.007955,2.00E-05,0.09,0.84,0,0,0,1,0,0.000153,2.155916203,0.05,0.82,-0.000988,5.60E-05,0.09,0.82,0,0,0,1,0,0.000153,2.155916203
6297203,7,1,13093.65603000,7.32900E-24,0.02241,128.49200,17,17,       b      0,       X      0,               , P  9Q  8     d,-8,0.05,0.86,-0.007955,1.90E-05,0.08,0.86,0,0,0,1,0,2.20E-05,-0.098967628,0.05,0.81,-0.001048,6.00E-05,0.08,0.81,0,0,0,1,0,2.20E-05,-0.098967628
6297204,7,1,13098.84847000,8.47400E-24,0.027,81.58050,13,15,       b      0,       X      0,               , P  7P  7     d,-7,0.05,0.82,-0.007856,2.00E-05,0.1,0.82,0,0,0,1,0,-0.00017,2.640868042,0.05,0.81,-0.000958,5.70E-05,0.1,0.81,0,0,0,1,0,-0.00017,2.640868042
6297205,7,1,13100.82198000,7.15000E-24,0.02257,79.60700,13,13,       b      0,       X      0,               , P  7Q  6     d,-6,0.05,0.85,-0.007856,1.70E-05,0.08,0.85,0,0,0,1,0,-0.00037,0.497947191,0.05,0.8,-0.000938,6.10E-05,0.08,0.8,0,0,0,1,0,-0.00037,0.497947191
6297206,7,1,13105.61713000,7.61600E-24,0.02926,44.21170,9,11,       b      0,       X      0,               , P  5P  5     d,-5,0.05,0.82,-0.007626,1.70E-05,0.09,0.82,0,0,0,1,0,-0.00064,0.345541979,0.05,0.81,-0.000738,5.50E-05,0.09,0.81,0,0,0,1,0,-0.00064,0.345541979
6297207,7,1,13107.62872000,6.00800E-24,0.02287,42.20010,9,9,       b      0,       X      0,               , P  5Q  4     d,-4,0.05,0.84,-0.007546,1.40E-05,0.08,0.84,0,0,0,1,0,-0.00098,0.637854385,0.05,0.79,-0.000828,5.50E-05,0.08,0.79,0,0,0,1,0,-0.00098,0.637854385
6297208,7,1,13112.01615000,5.75400E-24,0.03512,18.33720,5,7,       b      0,       X      0,               , P  3P  3     d,-3,0.06,0.79,-0.006526,1.50E-05,0.1,0.79,0,0,0,1,0,-0.00137,-0.508796392,0.06,0.78,-0.000258,4.80E-05,0.1,0.78,0,0,0,1,0,-0.00137,-0.508796392
6297209,7,1,13114.10046000,3.91000E-24,0.02364,16.25290,5,5,       b      0,       X      0,               , P  3Q  2     d,-2,0.06,0.76,-0.006248,1.00E-05,0.12,0.76,0,0,0,1,0,-0.00221,0.843026954,0.06,0.77,-0.000268,4.90E-05,0.12,0.77,0,0,0,1,0,-0.00221,0.843026954
6297210,7,1,13118.04495000,3.08300E-24,0.08784,3.96110,1,3,       b      0,       X      0,               , P  1P  1     d,-1,0.06,0.82,-0.004309,-3.90E-06,0.08,0.82,0,0,0,1,0,-0.00246,0.827556509,0.06,0.76,0,3.90E-05,0.08,0.76,0,0,0,1,0,-0.00246,0.827556509
6297211,7,1,13126.39224000,1.54000E-24,0.008784,3.96110,5,3,       b      0,       X      0,               , R  1R  1     d,2,0.06,0.79,-0.0032814,-9.90E-06,0.07,0.79,0,0,0,1,0,0.003364,0.843026954,0.06,0.81,0,2.20E-05,0.07,0.81,0,0,0,1,0,0.003364,0.843026954
6297212,7,1,13128.26903000,3.58700E-24,0.02028,2.08430,5,5,       b      0,       X      0,               , R  1Q  2     d,3,0.06,0.81,-0.004668,-4.40E-06,0.08,0.81,0,0,0,1,0,0.003386,-0.508796392,0.06,0.79,0,3.90E-05,0.08,0.79,0,0,0,1,0,0.003386,-0.508796392
6297213,7,1,13131.49166000,4.30600E-24,0.01465,18.33720,9,7,       b      0,       X      0,               , R  3R  3     d,4,0.05,0.82,-0.004847,-1.70E-06,0.08,0.82,0,0,0,1,0,0.002551,0.637854385,0.05,0.81,0,3.90E-05,0.08,0.81,0,0,0,1,0,0.002551,0.637854385
6297214,7,1,13133.44123000,6.24400E-24,0.02105,16.38760,9,9,       b      0,       X      0,               , R  3Q  4     d,5,0.05,0.82,-0.005386,-8.20E-07,0.09,0.82,0,0,0,1,0,0.00206,0.345541979,0.05,0.81,0,4.90E-05,0.09,0.81,0,0,0,1,0,0.00206,0.345541979
6297215,7,1,13136.21726000,6.32500E-24,0.0169,44.21170,13,11,       b      0,       X      0,               , R  5R  5     d,6,0.05,0.82,-0.005856,4.20E-06,0.09,0.82,0,0,0,1,0,0.001681,0.497947191,0.05,0.82,0,4.70E-05,0.09,0.82,0,0,0,1,0,0.001681,0.497947191
6297216,7,1,13138.20500000,8.05900E-24,0.02133,42.22400,13,13,       b      0,       X      0,               , R  5Q  6     d,7,0.05,0.83,-0.006246,7.20E-06,0.09,0.83,0,0,0,1,0,0.001354,2.640868042,0.05,0.81,0,5.50E-05,0.09,0.81,0,0,0,1,0,0.001354,2.640868042
6297217,7,1,13140.56756000,7.38000E-24,0.0181,81.58050,17,15,       b      0,       X      0,               , R  7R  7     d,8,0.05,0.84,-0.006286,1.10E-05,0.09,0.84,0,0,0,1,0,0.001068,-0.098967628,0.05,0.82,0,5.10E-05,0.09,0.82,0,0,0,1,0,0.001068,-0.098967628
6297218,7,1,13142.58345000,8.84700E-24,0.02149,79.56460,17,17,       b      0,       X      0,               , R  7Q  8     d,9,0.05,0.83,-0.006586,1.20E-05,0.09,0.83,0,0,0,1,0,0.000831,2.155916203,0.05,0.82,-2.80E-05,5.70E-05,0.09,0.82,0,0,0,1,0,0.000831,2.155916203
6297219,7,1,13144.54087000,7.47900E-24,0.01884,130.43750,21,19,       b      0,       X      0,               , R  9R  9     d,10,0.05,0.83,-0.006686,1.50E-05,0.09,0.83,0,0,0,1,0,0.000568,-1.535079169,0.05,0.82,-0.000238,5.30E-05,0.09,0.82,0,0,0,1,0,0.000568,-1.535079169
6297220,7,1,13146.58063000,8.65200E-24,0.02158,128.39770,21,21,       b      0,       X      0,               , R  9Q 10     d,11,0.05,0.84,-0.006876,1.40E-05,0.09,0.84,0,0,0,1,0,0.000378,1.807465693,0.05,0.81,-0.000138,5.60E-05,0.09,0.81,0,0,0,1,0,0.000378,1.807465693
6297221,7,1,13148.13530000,6.81400E-24,0.01934,190.77480,25,23,       b      0,       X      0,               , R 11R 11     d,12,0.05,0.82,-0.007046,1.80E-05,0.09,0.82,0,0,0,1,0,0.00011,3.070700343,0.05,0.79,-0.000518,5.50E-05,0.09,0.79,0,0,0,1,0,0.00011,3.070700343
6297222,7,1,13150.19673000,7.70200E-24,0.02165,188.71340,25,25,       b      0,       X      0,               , R 11Q 12     d,13,0.05,0.83,-0.007216,1.90E-05,0.08,0.83,0,0,0,1,0,-5.70E-05,1.849878493,0.05,0.8,-0.000358,5.60E-05,0.08,0.8,0,0,0,1,0,-5.70E-05,1.849878493
6297223,7,1,13151.34876000,5.67800E-24,0.01971,262.58270,29,27,       b      0,       X      0,               , R 13R 13     d,14,0.05,0.82,-0.007556,2.20E-05,0.09,0.82,0,0,0,1,0,-0.00035,3.389740989,0.05,0.79,-0.000888,5.50E-05,0.09,0.79,0,0,0,1,0,-0.00035,3.389740989
6297224,7,1,13153.43057000,6.31300E-24,0.0217,260.50090,29,29,       b      0,       X      0,               , R 13Q 14     d,15,0.05,0.81,-0.007536,2.10E-05,0.08,0.81,0,0,0,1,0,-0.00051,1.852149734,0.05,0.78,-0.000748,5.60E-05,0.08,0.78,0,0,0,1,0,-0.00051,1.852149734
6297225,7,1,13154.17894000,4.36900E-24,0.01998,345.84950,33,31,       b      0,       X      0,               , R 15R 15     d,16,0.04,0.8,-0.007977,2.50E-05,0.1,0.8,0,0,0,1,0,-0.00086,3.020137622,0.04,0.77,-0.001448,5.60E-05,0.1,0.77,0,0,0,1,0,-0.00086,3.020137622
6297226,7,1,13156.28033000,4.79900E-24,0.02173,343.74810,33,33,       b      0,       X      0,               , R 15Q 16     d,17,0.04,0.81,-0.007967,2.40E-05,0.08,0.81,0,0,0,1,0,-0.00103,1.985142148,0.04,0.76,-0.000658,5.50E-05,0.08,0.76,0,0,0,1,0,-0.00103,1.985142148
6297227,7,1,13156.62333000,3.12300E-24,0.02019,440.56180,37,35,       b      0,       X      0,               , R 17R 17     d,18,0.04,0.8,-0.008547,2.80E-05,0.1,0.8,0,0,0,1,0,-0.00143,3.137979657,0.04,0.76,-0.001828,5.40E-05,0.1,0.76,0,0,0,1,0,-0.00143,3.137979657
6297229,7,1,13158.74374000,3.39900E-24,0.02176,438.44130,37,37,       b      0,       X      0,               , R 17Q 18     d,19,0.04,0.82,-0.008568,2.90E-05,0.1,0.82,0,0,0,1,0,-0.00164,2.226019518,0.04,0.74,-0.0015411,5.10E-05,0.1,0.74,0,0,0,1,0,-0.00164,2.226019518
6297228,7,1,13158.67919000,2.08300E-24,0.02037,546.70420,41,39,       b      0,       X      0,               , R 19R 19     d,20,0.04,0.77,-0.0087411,3.30E-05,0.09,0.77,0,0,0,1,0,-0.00207,4.257624999,0.04,0.73,-0.0015513,6.50E-05,0.09,0.73,0,0,0,1,0,-0.00207,4.257624999
6297232,7,1,13160.81826000,2.25000E-24,0.02178,544.56510,41,41,       b      0,       X      0,               , R 19Q 20     d,21,0.04,0.77,-0.009099,2.90E-05,0.1,0.77,0,0,0,1,0,-0.0024,2.668600473,0.04,0.76,-0.002319,5.30E-05,0.1,0.76,0,0,0,1,0,-0.0024,2.668600473
6297230,7,1,13160.34357000,1.30000E-24,0.02051,664.25950,45,43,       b      0,       X      0,               , R 21R 21     d,22,0.04,0.74,-0.0095512,2.50E-05,0.13,0.74,0,0,0,1,0,-0.00218,5.229704566,0.03,0.75,-0.01,3.00E-05,0.1,0.75,0,0,0,1,0,-0.00218,5.229704566
6297236,7,1,13162.50103000,1.39500E-24,0.02179,662.10200,45,45,       b      0,       X      0,               , R 21Q 22     d,23,0.04,0.86,-0.0076521,4.00E-05,0.14,0.86,0,0,0,1,0,-0.00325,3.481353001,0.04,0.71,-0.001763,5.50E-05,0.14,0.71,0,0,0,1,0,-0.00325,3.481353001
6297233,7,1,13161.61331000,7.60300E-25,0.02062,793.20870,49,47,       b      0,       X      0,               , R 23R 23     d,24,0.04,0.79,-0.0100917,3.60E-05,0.13,0.79,0,0,0,1,0,-0.00295,4.437632126,0.04,0.75,-0.0035314,5.50E-05,0.13,0.75,0,0,0,1,0,-0.00295,4.437632126
6297240,7,1,13163.78895000,8.12200E-25,0.02181,791.03310,49,49,       b      0,       X      0,               , R 23Q 24     d,25,0.03,0.86,-0.0100116,3.80E-05,0.08,0.86,0,0,0,1,0,-0.00327,4.323269736,0.04,0.76,-0.0031713,5.00E-05,0.08,0.76,0,0,0,1,0,-0.00327,4.323269736
6297235,7,1,13162.48501000,4.17700E-25,0.02072,933.53090,53,51,       b      0,       X      0,               , R 25R 25     d,26,0.03,0.63,-0.0139338,5.00E-05,0.1,0.63,0,0,0,1,0,-0.00159,5.497748903,0.03,0.75,-0.0030795,3.00E-05,0.1,0.75,0,0,0,1,0,-0.00159,5.497748903
6297242,7,1,13164.67869000,4.44300E-25,0.02181,931.33720,53,53,       b      0,       X      0,               , R 25Q 26     d,27,0.03,0.63,-0.0101521,7.70E-05,0.1,0.63,0,0,0,1,0,-0.00369,5.405820127,0.04,0.76,-0.0040817,4.70E-06,0.1,0.76,0,0,0,1,0,-0.00369,5.405820127
6297238,7,1,13162.95504000,2.15800E-25,0.0208,1085.20330,57,55,       b      0,       X      0,               , R 27R 27     d,28,0.03,0.63,-0.0118824,5.00E-05,0.1,0.63,0,0,0,1,0,0.031994,6.750205732,0.04,0.75,-0.0032734,3.00E-05,0.1,0.75,0,0,0,1,0,0.031994,6.750205732
6297244,7,1,13165.16664000,2.28700E-25,0.02183,1082.99170,57,57,       b      0,       X      0,               , R 27Q 28     d,29,0.03,0.63,-0.0096623,5.00E-05,0.1,0.63,0,0,0,1,0,0.014885,6.680830454,0.04,0.75,-0.0034231,3.00E-05,0.1,0.75,0,0,0,1,0,0.014885,6.680830454
6297239,7,1,13163.01953000,1.04900E-25,0.02088,1248.20130,61,59,       b      0,       X      0,               , R 29R 29     d,30,0.03,0.63,-0.0133328,5.00E-05,0.1,0.63,0,0,0,1,0,-0.21182,8.128295749,0.03,0.75,-0.0011266,3.00E-05,0.1,0.75,0,0,0,1,0,-0.21182,8.128295749
6297245,7,1,13165.24897000,1.10900E-25,0.02183,1245.97180,61,61,       b      0,       X      0,               , R 29Q 30     d,31,0.03,0.63,-0.0103829,5.00E-05,0.1,0.63,0,0,0,1,0,-0.17607,8.078300568,0.03,0.75,-0.002656,3.00E-05,0.1,0.75,0,0,0,1,0,-0.17607,8.078300568
6297237,7,1,13162.67439000,4.80600E-26,0.02093,1422.49830,65,63,       b      0,       X      0,               , R 31R 31     d,32,0.03,0.63,-0.02336,5.00E-05,0.115323868,0.63,0,0,0,1,0,-0.03878,9.575509585,0.03,0.75,-0.00703,3.00E-05,0.1,0.75,0,0,0,1,0,-0.03878,9.575509585
6297243,7,1,13164.92159000,5.06500E-26,0.02183,1420.25110,65,65,       b      0,       X      0,               , R 31Q 32     d,33,0.01,0.63,-0.0090568,5.00E-05,0.1,0.63,0,0,0,1,0,-0.0188,9.54017859,0.03,0.75,-0.00081119,3.00E-05,0.1,0.75,0,0,0,1,0,-0.0188,9.54017859
6297234,7,1,13161.91524000,2.07500E-26,0.02099,1608.06620,69,67,       b      0,       X      0,               , R 33R 33     d,34,0.03,0.63,-0.00741,5.00E-05,0.1,0.63,0,0,0,1,0,-0.06827,11.05334543,0.03,0.75,-0.00647,3.00E-05,0.1,0.75,0,0,0,1,0,-0.06827,11.05334543
6297241,7,1,13164.18017000,2.18200E-26,0.02183,1605.80120,69,69,       b      0,       X      0,               , R 33Q 34     d,35,0.03,0.63,-0.01118,5.00E-05,0.1,0.63,0,0,0,1,0,-0.05157,11.02983704,0.03,0.75,-0.00671,3.00E-05,0.1,0.75,0,0,0,1,0,-0.05157,11.02983704
6297231,7,1,13160.73749000,8.45500E-27,0.02103,1804.87450,73,71,       b      0,       X      0,               , R 35R 35     d,36,0.03,0.63,-0.0105,5.00E-05,0.1,0.63,0,0,0,1,0,-0.15059,11.02983704,0.03,0.75,-0.01,3.00E-05,0.1,0.75,0,0,0,1,0,-0.15059,11.02983704
6281250,7,1,13163.02011000,8.87100E-27,0.02183,1802.59190,73,73,       b      0,       X      0,               , R 35Q 36     d,37,0.03,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,1,0.03,0.75,-0.01,3.00E-05,0.1,0.75,0,0,0,1,0,0,1
6281193,7,1,13159.13627000,3.25200E-27,0.02107,2012.89140,77,75,       b      0,       X      0,               , R 37R 37     d,38,0.02,0.63,-0.0105,5.00E-05,0.1,0.63,0,0,0,1,0,0,1,0.03,0.75,-0.01,3.00E-05,0.1,0.75,0,0,0,1,0,0,1
6281213,7,1,13161.43654000,3.40500E-27,0.02182,2010.59110,77,77,       b      0,       X      0,               , R 37Q 38     d,39,0.02,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,1,0.03,0.75,-0.01,3.00E-05,0.1,0.75,0,0,0,1,0,0,1
6281181,7,1,13157.10644000,1.18100E-27,0.02111,2232.08280,81,79,       b      0,       X      0,               , R 39R 39     d,40,0.02,0.63,-0.0105,5.00E-05,0.1,0.63,0,0,0,1,0,0,1,0.03,0.75,-0.01,3.00E-05,0.1,0.75,0,0,0,1,0,0,1
