trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,elower,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self
6279673,7,1,7732.859459,1.287e-27,2.478e-05,931.7431,47.0,49.0,931.7431,       a      0,       X      0,               , O 25P 24     d,0.0365,0.79,-0.00478,0.0,0.06653233777062696,0.79,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.79,0.0,0.0,0.06999999999999998,0.79,0.0,0.0,0.0,1.0,0.0,0.0
6279674,7,1,7733.543899,2.811e-30,5.333e-05,2340.874,45.0,47.0,2340.874,       a      1,       X      1,               , P 23P 23     d,0.0356,0.8,0.0,0.0,0.06336413121012092,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.038,0.8,0.0,0.0,0.06666666666666665,0.8,0.0,0.0,0.0,1.0,0.0,0.0
6279675,7,1,7735.353539,3.193e-30,6.008e-05,2339.0644,45.0,45.0,2339.0644,       a      1,       X      1,               , P 23Q 22     d,0.0356,0.8,0.0,0.0,0.06336413121012092,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.038,0.8,0.0,0.0,0.06666666666666665,0.8,0.0,0.0,0.0,1.0,0.0,0.0
6279676,7,2,7736.282755,2.398e-30,2.562e-05,951.1056,49.0,51.0,951.1056,       a      0,       X      0,               , O 26P 25     d,0.0333,0.79,-0.0048,0.0,0.06441450836187922,0.79,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.79,0.0,0.0,0.06999999999999998,0.79,0.0,0.0,0.0,1.0,0.0,0.0
6279677,7,1,7737.575181,8.434e-30,2.423e-05,1814.1937,23.0,25.0,1814.1937,       a      1,       X      1,               , O 13P 12     d,0.0478,0.84,0.0,0.0,0.05069130496809676,0.84,0.0,0.0,0.0,1.0,0.0,0.0,0.047,0.84,0.0,0.0,0.053333333333333344,0.84,0.0,0.0,0.0,1.0,0.0,0.0
6279679,7,1,7741.01569,4.712e-30,5.289e-05,2213.3478,41.0,43.0,2213.3478,       a      1,       X      1,               , P 21P 21     d,0.038,0.8,0.0,0.0,0.06336413121012092,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.8,0.0,0.0,0.06666666666666665,0.8,0.0,0.0,0.0,1.0,0.0,0.0
6279680,7,1,7742.330697,1.799e-29,5.123e-08,438.701,29.0,33.0,438.701,       a      0,       X      0,               , N 17O 16     q,0.0466,0.62,0.0,0.0,0.12039184929922976,0.62,0.0,0.0,0.0,1.0,0.0,0.0,0.045,0.62,0.0,0.0,0.12666666666666665,0.62,0.0,0.0,0.0,1.0,0.0,0.0
6279681,7,2,7742.569186,3.226e-30,2.558e-05,880.7923,47.0,49.0,880.7923,       a      0,       X      0,               , O 25P 24     d,0.0345,0.8,-0.00478,0.0,0.06134715082083735,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.038,0.8,0.0,0.0,0.06666666666666665,0.8,0.0,0.0,0.0,1.0,0.0,0.0
6279682,7,1,7742.843373,5.413e-30,6.025e-05,2211.5201,41.0,41.0,2211.5201,       a      1,       X      1,               , P 21Q 20     d,0.038,0.8,0.0,0.0,0.06336413121012092,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.8,0.0,0.0,0.06666666666666665,0.8,0.0,0.0,0.0,1.0,0.0,0.0
6279684,7,1,7746.059758,2.305e-27,2.461e-05,791.4031,43.0,45.0,791.4031,       a      0,       X      0,               , O 23P 22     d,0.0386,0.8,-0.004721,0.0,0.06336413121012092,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.042,0.8,0.0,0.0,0.06666666666666665,0.8,0.0,0.0,0.0,1.0,0.0,0.0
6279685,7,1,7748.322422,7.386e-30,5.231e-05,2097.0889,37.0,39.0,2097.0889,       a      1,       X      1,               , P 19P 19     d,0.0404,0.81,0.0,0.0,0.06019592464961487,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.041,0.81,0.0,0.0,0.06333333333333331,0.81,0.0,0.0,0.0,1.0,0.0,0.0
6279686,7,2,7748.821731,4.276e-30,2.553e-05,813.1611,45.0,47.0,813.1611,       a      0,       X      0,               , O 24P 23     d,0.0356,0.8,-0.0048,0.0,0.06134715082083735,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.038,0.8,0.0,0.0,0.06666666666666665,0.8,0.0,0.0,0.0,1.0,0.0,0.0
6279687,7,1,7749.831251,9.399e-30,2.321e-05,1743.155,19.0,21.0,1743.155,       a      1,       X      1,               , O 11P 10     d,0.0496,0.84,0.0,0.0,0.05069130496809676,0.84,0.0,0.0,0.0,1.0,0.0,0.0,0.048,0.84,0.0,0.0,0.053333333333333344,0.84,0.0,0.0,0.0,1.0,0.0,0.0
6279688,7,1,7750.122729,2.151e-29,5.13e-05,2012.8914,73.0,75.0,2012.8914,       a      0,       X      0,               , P 37P 37     d,0.0245,0.73,-0.005052,0.0,0.08554157713366325,0.73,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.73,0.0,0.0,0.09,0.73,0.0,0.0,0.0,1.0,0.0,0.0
6279689,7,1,7750.168442,8.604e-30,6.042e-05,2095.2429,37.0,37.0,2095.2429,       a      1,       X      1,               , P 19Q 18     d,0.0404,0.81,0.0,0.0,0.06019592464961487,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.041,0.81,0.0,0.0,0.06333333333333331,0.81,0.0,0.0,0.0,1.0,0.0,0.0
6279691,7,1,7751.806367,2.347e-29,5.555e-05,2011.2077,73.0,73.0,2011.2077,       a      0,       X      0,               , P 37Q 36     d,0.0245,0.73,-0.005053,0.0,0.08554157713366325,0.73,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.73,0.0,0.0,0.09,0.73,0.0,0.0,0.0,1.0,0.0,0.0
6279692,7,2,7755.040319,5.579e-30,2.546e-05,748.2144,43.0,45.0,748.2144,       a      0,       X      0,               , O 23P 22     d,0.0368,0.8,-0.004721,0.0,0.06134715082083735,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.039,0.8,0.0,0.0,0.06666666666666665,0.8,0.0,0.0,0.0,1.0,0.0,0.0
6279693,7,1,7755.464226,1.079e-29,5.153e-05,1992.1165,33.0,35.0,1992.1165,       a      1,       X      1,               , P 17P 17     d,0.0427,0.83,0.0,0.0,0.053859511528602806,0.83,0.0,0.0,0.0,1.0,0.0,0.0,0.043,0.83,0.0,0.0,0.05666666666666668,0.83,0.0,0.0,0.0,1.0,0.0,0.0
6279694,7,3,7757.174623,1.199e-30,2.434e-05,704.8474,246.0,258.0,704.8474,       a      0,       X      0,               , O 22P 21     d,0.038,0.8,-0.0048,0.0,0.062337225832604475,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.8,0.0,0.0,0.06666666666666665,0.8,0.0,0.0,0.0,1.0,0.0,0.0
6279695,7,1,7757.328981,1.279e-29,6.056e-05,1990.2517,33.0,33.0,1990.2517,       a      1,       X      1,               , P 17Q 16     d,0.0427,0.83,0.0,0.0,0.053859511528602806,0.83,0.0,0.0,0.0,1.0,0.0,0.0,0.043,0.83,0.0,0.0,0.05666666666666668,0.83,0.0,0.0,0.0,1.0,0.0,0.0
6279696,7,1,7758.635228,5.585e-29,5.139e-05,1804.8745,69.0,71.0,1804.8745,       a      0,       X      0,               , P 35P 35     d,0.026,0.74,-0.005013,0.0,0.08237337057315722,0.74,0.0,0.0,0.0,1.0,0.0,0.0,0.031,0.74,0.0,0.0,0.08666666666666667,0.74,0.0,0.0,0.0,1.0,0.0,0.0
6279698,7,1,7759.116614,3.884e-27,2.451e-05,662.4359,39.0,41.0,662.4359,       a      0,       X      0,               , O 21P 20     d,0.0406,0.81,-0.004655,0.0,0.06019592464961487,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.043,0.81,0.0,0.0,0.06333333333333331,0.81,0.0,0.0,0.0,1.0,0.0,0.0
6279699,7,1,7760.335995,6.067e-29,5.539e-05,1803.1737,69.0,69.0,1803.1737,       a      0,       X      0,               , P 35Q 34     d,0.026,0.74,-0.005014,0.0,0.08237337057315722,0.74,0.0,0.0,0.0,1.0,0.0,0.0,0.031,0.74,0.0,0.0,0.08666666666666667,0.74,0.0,0.0,0.0,1.0,0.0,0.0
6279701,7,1,7760.599848,2.377e-29,4.978e-08,343.9694,25.0,29.0,343.9694,       a      0,       X      0,               , N 15O 14     q,0.0479,0.85,0.0,0.0,0.047523098407590704,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.047,0.85,0.0,0.0,0.05,0.85,0.0,0.0,0.0,1.0,0.0,0.0
6279703,7,2,7761.224874,7.166e-30,2.538e-05,685.9548,41.0,43.0,685.9548,       a      0,       X      0,               , O 22P 21     d,0.038,0.8,-0.0048,0.0,0.06134715082083735,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.8,0.0,0.0,0.06666666666666665,0.8,0.0,0.0,0.0,1.0,0.0,0.0
6279704,7,1,7761.928899,9.215e-30,2.163e-05,1683.4581,15.0,17.0,1683.4581,       a      1,       X      1,               , O  9P  8     d,0.0513,0.84,0.0,0.0,0.05069130496809676,0.84,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.84,0.0,0.0,0.053333333333333344,0.84,0.0,0.0,0.0,1.0,0.0,0.0
6279705,7,1,7762.44112,1.464e-29,5.056e-05,1898.4477,29.0,31.0,1898.4477,       a      1,       X      1,               , P 15P 15     d,0.0449,0.83,0.0,0.0,0.053859511528602806,0.83,0.0,0.0,0.0,1.0,0.0,0.0,0.044,0.83,0.0,0.0,0.05666666666666668,0.83,0.0,0.0,0.0,1.0,0.0,0.0
6279707,7,3,7763.494121,1.528e-30,2.426e-05,643.6382,234.0,246.0,643.6382,       a      0,       X      0,               , O 21P 20     d,0.0392,0.81,-0.004655,0.0,0.05922036454097424,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.041,0.81,0.0,0.0,0.06333333333333331,0.81,0.0,0.0,0.0,1.0,0.0,0.0
6279708,7,1,7764.325168,1.773e-29,6.07e-05,1896.5637,29.0,29.0,1896.5637,       a      1,       X      1,               , P 15Q 14     d,0.0449,0.83,0.0,0.0,0.053859511528602806,0.83,0.0,0.0,0.0,1.0,0.0,0.0,0.044,0.83,0.0,0.0,0.05666666666666668,0.83,0.0,0.0,0.0,1.0,0.0,0.0
6279711,7,1,7766.989923,1.361e-28,5.118e-05,1608.0661,65.0,67.0,1608.0661,       a      0,       X      0,               , P 33P 33     d,0.0276,0.75,-0.004971,0.0,0.07920516401265117,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.033,0.75,0.0,0.0,0.08333333333333333,0.75,0.0,0.0,0.0,1.0,0.0,0.0
6279712,7,2,7767.375317,9.057e-30,2.529e-05,626.3846,39.0,41.0,626.3846,       a      0,       X      0,               , O 21P 20     d,0.0392,0.81,-0.004655,0.0,0.058279793279795475,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.041,0.81,0.0,0.0,0.06333333333333331,0.81,0.0,0.0,0.0,1.0,0.0,0.0
6279714,7,1,7768.70789,1.486e-28,5.544e-05,1606.3482,65.0,65.0,1606.3482,       a      0,       X      0,               , P 33Q 32     d,0.0276,0.75,-0.004972,0.0,0.07920516401265117,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.033,0.75,0.0,0.0,0.08333333333333333,0.75,0.0,0.0,0.0,1.0,0.0,0.0
6279715,7,1,7769.253012,1.83e-29,4.921e-05,1816.0979,25.0,27.0,1816.0979,       a      1,       X      1,               , P 13P 13     d,0.0469,0.85,0.0,0.0,0.047523098407590704,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.046,0.85,0.0,0.0,0.05,0.85,0.0,0.0,0.0,1.0,0.0,0.0
6279717,7,3,7769.778552,1.915e-30,2.416e-05,585.1943,222.0,234.0,585.1943,       a      0,       X      0,               , O 20P 19     d,0.0404,0.81,-0.0048,0.0,0.05922036454097424,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.041,0.81,0.0,0.0,0.06333333333333331,0.81,0.0,0.0,0.0,1.0,0.0,0.0
6279720,7,1,7771.157173,2.281e-29,6.08e-05,1814.1937,25.0,25.0,1814.1937,       a      1,       X      1,               , P 13Q 12     d,0.0469,0.85,0.0,0.0,0.047523098407590704,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.046,0.85,0.0,0.0,0.05,0.85,0.0,0.0,0.0,1.0,0.0,0.0
6279721,7,1,7772.029289,6.067e-27,2.417e-05,544.8622,35.0,37.0,544.8622,       a      0,       X      0,               , O 19P 18     d,0.0424,0.81,-0.004581,0.0,0.06019592464961487,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.043,0.81,0.0,0.0,0.06333333333333331,0.81,0.0,0.0,0.0,1.0,0.0,0.0
6279724,7,2,7773.491562,1.126e-29,2.517e-05,569.5061,37.0,39.0,569.5061,       a      0,       X      0,               , O 20P 19     d,0.0404,0.81,-0.0048,0.0,0.058279793279795475,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.041,0.81,0.0,0.0,0.06333333333333331,0.81,0.0,0.0,0.0,1.0,0.0,0.0
6279725,7,1,7773.868727,7.464e-30,1.895e-05,1635.1109,11.0,13.0,1635.1109,       a      1,       X      1,               , O  7P  6     d,0.0533,0.84,0.0,0.0,0.05069130496809676,0.84,0.0,0.0,0.0,1.0,0.0,0.0,0.053,0.84,0.0,0.0,0.053333333333333344,0.84,0.0,0.0,0.0,1.0,0.0,0.0
6279728,7,1,7775.187653,3.139e-28,5.114e-05,1422.4983,61.0,63.0,1422.4983,       a      0,       X      0,               , P 31P 31     d,0.0294,0.76,-0.004924,0.0,0.07603695745214512,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.034,0.76,0.0,0.0,0.07999999999999999,0.76,0.0,0.0,0.0,1.0,0.0,0.0
6279729,7,1,7775.8997,2.084e-29,4.732e-05,1745.0806,21.0,23.0,1745.0806,       a      1,       X      1,               , P 11P 11     d,0.0487,0.84,0.0,0.0,0.05069130496809676,0.84,0.0,0.0,0.0,1.0,0.0,0.0,0.047,0.84,0.0,0.0,0.053333333333333344,0.84,0.0,0.0,0.0,1.0,0.0,0.0
6279730,7,3,7776.027822,2.358e-30,2.403e-05,529.518,210.0,222.0,529.518,       a      0,       X      0,               , O 19P 18     d,0.0416,0.81,-0.004581,0.0,0.05922036454097424,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.042,0.81,0.0,0.0,0.06333333333333331,0.81,0.0,0.0,0.0,1.0,0.0,0.0
6279733,7,1,7776.922901,3.435e-28,5.552e-05,1420.7631,61.0,61.0,1420.7631,       a      0,       X      0,               , P 31Q 30     d,0.0294,0.76,-0.004925,0.0,0.07603695745214512,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.034,0.76,0.0,0.0,0.07999999999999999,0.76,0.0,0.0,0.0,1.0,0.0,0.0
6279735,7,1,7777.825255,2.701e-29,6.079e-05,1743.155,21.0,21.0,1743.155,       a      1,       X      1,               , P 11Q 10     d,0.0487,0.84,0.0,0.0,0.05069130496809676,0.84,0.0,0.0,0.0,1.0,0.0,0.0,0.047,0.84,0.0,0.0,0.053333333333333344,0.84,0.0,0.0,0.0,1.0,0.0,0.0
6279737,7,1,7778.728673,2.855e-29,4.77e-08,260.6824,21.0,25.0,260.6824,       a      0,       X      0,               , N 13O 12     q,0.0493,0.74,0.0,0.0,0.08237337057315722,0.74,0.0,0.0,0.0,1.0,0.0,0.0,0.048,0.74,0.0,0.0,0.08666666666666667,0.74,0.0,0.0,0.0,1.0,0.0,0.0
6279739,7,2,7779.573519,1.377e-29,2.505e-05,515.3214,35.0,37.0,515.3214,       a      0,       X      0,               , O 19P 18     d,0.0416,0.81,-0.004581,0.0,0.058279793279795475,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.042,0.81,0.0,0.0,0.06333333333333331,0.81,0.0,0.0,0.0,1.0,0.0,0.0
6279742,7,3,7782.241834,2.853e-30,2.388e-05,476.6115,198.0,210.0,476.6115,       a      0,       X      0,               , O 18P 17     d,0.0427,0.83,-0.004545,0.0,0.052986641957713826,0.83,0.0,0.0,0.0,1.0,0.0,0.0,0.043,0.83,0.0,0.0,0.05666666666666668,0.83,0.0,0.0,0.0,1.0,0.0,0.0
6279743,7,1,7782.380872,2.12e-29,4.457e-05,1685.4073,17.0,19.0,1685.4073,       a      1,       X      1,               , P  9P  9     d,0.0504,0.84,0.0,0.0,0.05069130496809676,0.84,0.0,0.0,0.0,1.0,0.0,0.0,0.049,0.84,0.0,0.0,0.053333333333333344,0.84,0.0,0.0,0.0,1.0,0.0,0.0
6279747,7,1,7783.229141,6.805e-28,5.096e-05,1248.2013,57.0,59.0,1248.2013,       a      0,       X      0,               , P 29P 29     d,0.0314,0.77,-0.004873,0.0,0.07286875089163908,0.77,0.0,0.0,0.0,1.0,0.0,0.0,0.035,0.77,0.0,0.0,0.07666666666666666,0.77,0.0,0.0,0.0,1.0,0.0,0.0
6279749,7,1,7784.330001,2.909e-29,6.061e-05,1683.4581,17.0,17.0,1683.4581,       a      1,       X      1,               , P  9Q  8     d,0.0504,0.84,0.0,0.0,0.05069130496809676,0.84,0.0,0.0,0.0,1.0,0.0,0.0,0.049,0.84,0.0,0.0,0.053333333333333344,0.84,0.0,0.0,0.0,1.0,0.0,0.0
6279751,7,1,7784.796976,8.86e-27,2.386e-05,438.701,31.0,33.0,438.701,       a      0,       X      0,               , O 17P 16     d,0.0443,0.83,-0.004498,0.0,0.053859511528602806,0.83,0.0,0.0,0.0,1.0,0.0,0.0,0.045,0.83,0.0,0.0,0.05666666666666668,0.83,0.0,0.0,0.0,1.0,0.0,0.0
6279752,7,1,7784.981766,7.511e-28,5.58e-05,1246.4486,57.0,57.0,1246.4486,       a      0,       X      0,               , P 29Q 28     d,0.0314,0.77,-0.004874,0.0,0.07286875089163908,0.77,0.0,0.0,0.0,1.0,0.0,0.0,0.035,0.77,0.0,0.0,0.07666666666666666,0.77,0.0,0.0,0.0,1.0,0.0,0.0
6279755,7,2,7785.621098,1.655e-29,2.49e-05,463.8327,33.0,35.0,463.8327,       a      0,       X      0,               , O 18P 17     d,0.0427,0.83,-0.004545,0.0,0.05214507819771177,0.83,0.0,0.0,0.0,1.0,0.0,0.0,0.043,0.83,0.0,0.0,0.05666666666666668,0.83,0.0,0.0,0.0,1.0,0.0,0.0
6279756,7,1,7785.654823,4.08e-30,1.364e-05,1598.1157,7.0,9.0,1598.1157,       a      1,       X      1,               , O  5P  4     d,0.0555,0.84,0.0,0.0,0.05069130496809676,0.84,0.0,0.0,0.0,1.0,0.0,0.0,0.056,0.84,0.0,0.0,0.053333333333333344,0.84,0.0,0.0,0.0,1.0,0.0,0.0
6279757,7,2,7786.268637,1.301e-30,5.272e-05,1260.8794,59.0,61.0,1260.8794,       a      0,       X      0,               , P 30P 30     d,0.0286,0.77,-0.0048,0.0,0.07054922344396296,0.77,0.0,0.0,0.0,1.0,0.0,0.0,0.034,0.77,0.0,0.0,0.07666666666666666,0.77,0.0,0.0,0.0,1.0,0.0,0.0
6279760,7,2,7788.025121,1.438e-30,5.78e-05,1259.123,59.0,59.0,1259.123,       a      0,       X      0,               , P 30Q 29     d,0.0286,0.77,-0.0048,0.0,0.07054922344396296,0.77,0.0,0.0,0.0,1.0,0.0,0.0,0.034,0.77,0.0,0.0,0.07666666666666666,0.77,0.0,0.0,0.0,1.0,0.0,0.0
6279762,7,3,7788.420488,3.39e-30,2.371e-05,426.4768,186.0,198.0,426.4768,       a      0,       X      0,               , O 17P 16     d,0.0438,0.83,-0.004498,0.0,0.052986641957713826,0.83,0.0,0.0,0.0,1.0,0.0,0.0,0.043,0.83,0.0,0.0,0.05666666666666668,0.83,0.0,0.0,0.0,1.0,0.0,0.0
6279764,7,1,7788.696109,1.848e-29,4.023e-05,1637.0878,13.0,15.0,1637.0878,       a      1,       X      1,               , P  7P  7     d,0.0523,0.84,0.0,0.0,0.05069130496809676,0.84,0.0,0.0,0.0,1.0,0.0,0.0,0.052,0.84,0.0,0.0,0.053333333333333344,0.84,0.0,0.0,0.0,1.0,0.0,0.0
6279766,7,2,7790.047944,1.858e-30,5.262e-05,1179.8744,57.0,59.0,1179.8744,       a      0,       X      0,               , P 29P 29     d,0.0294,0.78,-0.004873,0.0,0.06748186590292109,0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.034,0.78,0.0,0.0,0.07333333333333332,0.78,0.0,0.0,0.0,1.0,0.0,0.0
6279768,7,1,7790.672995,2.778e-29,5.993e-05,1635.1109,13.0,13.0,1635.1109,       a      1,       X      1,               , P  7Q  6     d,0.0523,0.84,0.0,0.0,0.05069130496809676,0.84,0.0,0.0,0.0,1.0,0.0,0.0,0.052,0.84,0.0,0.0,0.053333333333333344,0.84,0.0,0.0,0.0,1.0,0.0,0.0
6279771,7,1,7791.114997,1.387e-27,5.069e-05,1085.2033,53.0,55.0,1085.2033,       a      0,       X      0,               , P 27P 27     d,0.0334,0.78,-0.004816,0.0,0.06970054433113301,0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.78,0.0,0.0,0.07333333333333332,0.78,0.0,0.0,0.0,1.0,0.0,0.0
6279772,7,2,7791.634202,1.953e-29,2.471e-05,415.0418,31.0,33.0,415.0418,       a      0,       X      0,               , O 17P 16     d,0.0438,0.83,-0.004498,0.0,0.05214507819771177,0.83,0.0,0.0,0.0,1.0,0.0,0.0,0.043,0.83,0.0,0.0,0.05666666666666668,0.83,0.0,0.0,0.0,1.0,0.0,0.0
6279773,7,2,7791.812617,2.061e-30,5.789e-05,1178.1097,57.0,57.0,1178.1097,       a      0,       X      0,               , P 29Q 28     d,0.0294,0.78,-0.004874,0.0,0.06748186590292109,0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.034,0.78,0.0,0.0,0.07333333333333332,0.78,0.0,0.0,0.0,1.0,0.0,0.0
6279776,7,1,7792.885118,1.541e-27,5.586e-05,1083.4332,53.0,53.0,1083.4332,       a      0,       X      0,               , P 27Q 26     d,0.0334,0.78,-0.004817,0.0,0.06970054433113301,0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.78,0.0,0.0,0.07333333333333332,0.78,0.0,0.0,0.0,1.0,0.0,0.0
6279778,7,1,7793.326596,1.363e-30,4.93e-08,1082.9917,53.0,57.0,1082.9917,       a      0,       X      0,               , P 27O 28     q,0.0377,0.78,0.0,0.0,0.06970054433113301,0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.78,0.0,0.0,0.07333333333333332,0.78,0.0,0.0,0.0,1.0,0.0,0.0
6279779,7,1,7793.339903,1.901e-30,0.000122,2629.6432,55.0,55.0,2629.6432,       a      1,       X      1,               , Q 27Q 27     d,0.0303,0.78,0.0,0.0,0.06970054433113301,0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.035,0.78,0.0,0.0,0.07333333333333332,0.78,0.0,0.0,0.0,1.0,0.0,0.0
6279780,7,2,7793.790504,2.617e-30,5.253e-05,1101.54,55.0,57.0,1101.54,       a      0,       X      0,               , P 28P 28     d,0.0303,0.78,-0.0048,0.0,0.06748186590292109,0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.035,0.78,0.0,0.0,0.07333333333333332,0.78,0.0,0.0,0.0,1.0,0.0,0.0
