trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,elower,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air_296,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self_296
6279695,7,1,7757.328981,1.28E-29,6.06E-05,1990.2517,33,33,1990.2517,       a      1,       X      1,               , P 17Q 16     d,0.0427,0.83,0,0,0,0.83,0,0,0,1,0,0,0.043,0.83,0,0,0,0.83,0,0,0,1,0,0
6279696,7,1,7758.635228,5.59E-29,5.14E-05,1804.8745,69,71,1804.8745,       a      0,       X      0,               , P 35P 35     d,0.026,0.74,-0.005013,0,0,0.74,0,0,0,1,0,0,0.031,0.74,0,0,0,0.74,0,0,0,1,0,0
6279698,7,1,7759.116614,3.88E-27,2.45E-05,662.4359,39,41,662.4359,       a      0,       X      0,               , O 21P 20     d,0.0406,0.81,-0.004655,0,0.15,0.81,0,0,0,1,0,0,0.043,0.81,0,0,0,0.81,0,0,0,1,0,0
6279699,7,1,7760.335995,6.07E-29,5.54E-05,1803.1737,69,69,1803.1737,       a      0,       X      0,               , P 35Q 34     d,0.026,0.74,-0.005014,0,0,0.74,0,0,0,1,0,0,0.031,0.74,0,0,0,0.74,0,0,0,1,0,0
6279701,7,1,7760.599848,2.38E-29,4.98E-08,343.9694,25,29,343.9694,       a      0,       X      0,               , N 15O 14     q,0.0479,0.85,0,0,0,0.85,0,0,0,1,0,0,0.047,0.85,0,0,0,0.85,0,0,0,1,0,0
6279703,7,2,7761.224874,7.17E-30,2.54E-05,685.9548,41,43,685.9548,       a      0,       X      0,               , O 22P 21     d,0.038,0.8,-0.0048,0,0,0.8,0,0,0,1,0,0,0.04,0.8,0,0,0,0.8,0,0,0,1,0,0
6279704,7,1,7761.928899,9.22E-30,2.16E-05,1683.4581,15,17,1683.4581,       a      1,       X      1,               , O  9P  8     d,0.0513,0.84,0,0,0,0.84,0,0,0,1,0,0,0.05,0.84,0,0,0,0.84,0,0,0,1,0,0
6279705,7,1,7762.44112,1.46E-29,5.06E-05,1898.4477,29,31,1898.4477,       a      1,       X      1,               , P 15P 15     d,0.0449,0.83,0,0,0,0.83,0,0,0,1,0,0,0.044,0.83,0,0,0,0.83,0,0,0,1,0,0
6279707,7,3,7763.494121,1.53E-30,2.43E-05,643.6382,234,246,643.6382,       a      0,       X      0,               , O 21P 20     d,0.0392,0.81,-0.004655,0,0,0.81,0,0,0,1,0,0,0.041,0.81,0,0,0,0.81,0,0,0,1,0,0
6279708,7,1,7764.325168,1.77E-29,6.07E-05,1896.5637,29,29,1896.5637,       a      1,       X      1,               , P 15Q 14     d,0.0449,0.83,0,0,0,0.83,0,0,0,1,0,0,0.044,0.83,0,0,0,0.83,0,0,0,1,0,0
6279711,7,1,7766.989923,1.36E-28,5.12E-05,1608.0661,65,67,1608.0661,       a      0,       X      0,               , P 33P 33     d,0.0276,0.75,-0.004971,0,0,0.75,0,0,0,1,0,0,0.033,0.75,0,0,0,0.75,0,0,0,1,0,0
6279712,7,2,7767.375317,9.06E-30,2.53E-05,626.3846,39,41,626.3846,       a      0,       X      0,               , O 21P 20     d,0.0392,0.81,-0.004655,0,0,0.81,0,0,0,1,0,0,0.041,0.81,0,0,0,0.81,0,0,0,1,0,0
6279714,7,1,7768.70789,1.49E-28,5.54E-05,1606.3482,65,65,1606.3482,       a      0,       X      0,               , P 33Q 32     d,0.0276,0.75,-0.004972,0,0,0.75,0,0,0,1,0,0,0.033,0.75,0,0,0,0.75,0,0,0,1,0,0
6279715,7,1,7769.253012,1.83E-29,4.92E-05,1816.0979,25,27,1816.0979,       a      1,       X      1,               , P 13P 13     d,0.0469,0.85,0,0,0,0.85,0,0,0,1,0,0,0.046,0.85,0,0,0,0.85,0,0,0,1,0,0
6279717,7,3,7769.778552,1.92E-30,2.42E-05,585.1943,222,234,585.1943,       a      0,       X      0,               , O 20P 19     d,0.0404,0.81,-0.0048,0,0,0.81,0,0,0,1,0,0,0.041,0.81,0,0,0,0.81,0,0,0,1,0,0
6279720,7,1,7771.157173,2.28E-29,6.08E-05,1814.1937,25,25,1814.1937,       a      1,       X      1,               , P 13Q 12     d,0.0469,0.85,0,0,0,0.85,0,0,0,1,0,0,0.046,0.85,0,0,0,0.85,0,0,0,1,0,0
6279721,7,1,7772.029289,6.07E-27,2.42E-05,544.8622,35,37,544.8622,       a      0,       X      0,               , O 19P 18     d,0.0424,0.81,-0.004581,0,0.15,0.81,0,0,0,1,0,0,0.043,0.81,0,0,0,0.81,0,0,0,1,0,0
6279724,7,2,7773.491562,1.13E-29,2.52E-05,569.5061,37,39,569.5061,       a      0,       X      0,               , O 20P 19     d,0.0404,0.81,-0.0048,0,0,0.81,0,0,0,1,0,0,0.041,0.81,0,0,0,0.81,0,0,0,1,0,0
6279725,7,1,7773.868727,7.46E-30,1.90E-05,1635.1109,11,13,1635.1109,       a      1,       X      1,               , O  7P  6     d,0.0533,0.84,0,0,0,0.84,0,0,0,1,0,0,0.053,0.84,0,0,0,0.84,0,0,0,1,0,0
6279728,7,1,7775.187653,3.14E-28,5.11E-05,1422.4983,61,63,1422.4983,       a      0,       X      0,               , P 31P 31     d,0.0294,0.76,-0.004924,0,0,0.76,0,0,0,1,0,0,0.034,0.76,0,0,0,0.76,0,0,0,1,0,0
6279729,7,1,7775.8997,2.08E-29,4.73E-05,1745.0806,21,23,1745.0806,       a      1,       X      1,               , P 11P 11     d,0.0487,0.84,0,0,0,0.84,0,0,0,1,0,0,0.047,0.84,0,0,0,0.84,0,0,0,1,0,0
6279730,7,3,7776.027822,2.36E-30,2.40E-05,529.518,210,222,529.518,       a      0,       X      0,               , O 19P 18     d,0.0416,0.81,-0.004581,0,0,0.81,0,0,0,1,0,0,0.042,0.81,0,0,0,0.81,0,0,0,1,0,0
6279733,7,1,7776.922901,3.44E-28,5.55E-05,1420.7631,61,61,1420.7631,       a      0,       X      0,               , P 31Q 30     d,0.0294,0.76,-0.004925,0,0,0.76,0,0,0,1,0,0,0.034,0.76,0,0,0,0.76,0,0,0,1,0,0
6279735,7,1,7777.825255,2.70E-29,6.08E-05,1743.155,21,21,1743.155,       a      1,       X      1,               , P 11Q 10     d,0.0487,0.84,0,0,0,0.84,0,0,0,1,0,0,0.047,0.84,0,0,0,0.84,0,0,0,1,0,0
6279737,7,1,7778.728673,2.86E-29,4.77E-08,260.6824,21,25,260.6824,       a      0,       X      0,               , N 13O 12     q,0.0493,0.74,0,0,0,0.74,0,0,0,1,0,0,0.048,0.74,0,0,0,0.74,0,0,0,1,0,0
6279739,7,2,7779.573519,1.38E-29,2.51E-05,515.3214,35,37,515.3214,       a      0,       X      0,               , O 19P 18     d,0.0416,0.81,-0.004581,0,0,0.81,0,0,0,1,0,0,0.042,0.81,0,0,0,0.81,0,0,0,1,0,0
6279742,7,3,7782.241834,2.85E-30,2.39E-05,476.6115,198,210,476.6115,       a      0,       X      0,               , O 18P 17     d,0.0427,0.83,-0.004545,0,0,0.83,0,0,0,1,0,0,0.043,0.83,0,0,0,0.83,0,0,0,1,0,0
6279743,7,1,7782.380872,2.12E-29,4.46E-05,1685.4073,17,19,1685.4073,       a      1,       X      1,               , P  9P  9     d,0.0504,0.84,0,0,0,0.84,0,0,0,1,0,0,0.049,0.84,0,0,0,0.84,0,0,0,1,0,0
6279747,7,1,7783.229141,6.81E-28,5.10E-05,1248.2013,57,59,1248.2013,       a      0,       X      0,               , P 29P 29     d,0.0314,0.77,-0.004873,0,0,0.77,0,0,0,1,0,0,0.035,0.77,0,0,0,0.77,0,0,0,1,0,0
6279749,7,1,7784.330001,2.91E-29,6.06E-05,1683.4581,17,17,1683.4581,       a      1,       X      1,               , P  9Q  8     d,0.0504,0.84,0,0,0,0.84,0,0,0,1,0,0,0.049,0.84,0,0,0,0.84,0,0,0,1,0,0
6279751,7,1,7784.796976,8.86E-27,2.39E-05,438.701,31,33,438.701,       a      0,       X      0,               , O 17P 16     d,0.0443,0.83,-0.004498,0,0.15,0.83,0,0,0,1,0,0,0.045,0.83,0,0,0,0.83,0,0,0,1,0,0
6279752,7,1,7784.981766,7.51E-28,5.58E-05,1246.4486,57,57,1246.4486,       a      0,       X      0,               , P 29Q 28     d,0.0314,0.77,-0.004874,0,0,0.77,0,0,0,1,0,0,0.035,0.77,0,0,0,0.77,0,0,0,1,0,0
6279755,7,2,7785.621098,1.66E-29,2.49E-05,463.8327,33,35,463.8327,       a      0,       X      0,               , O 18P 17     d,0.0427,0.83,-0.004545,0,0,0.83,0,0,0,1,0,0,0.043,0.83,0,0,0,0.83,0,0,0,1,0,0
6279756,7,1,7785.654823,4.08E-30,1.36E-05,1598.1157,7,9,1598.1157,       a      1,       X      1,               , O  5P  4     d,0.0555,0.84,0,0,0,0.84,0,0,0,1,0,0,0.056,0.84,0,0,0,0.84,0,0,0,1,0,0
6279757,7,2,7786.268637,1.30E-30,5.27E-05,1260.8794,59,61,1260.8794,       a      0,       X      0,               , P 30P 30     d,0.0286,0.77,-0.0048,0,0,0.77,0,0,0,1,0,0,0.034,0.77,0,0,0,0.77,0,0,0,1,0,0
6279760,7,2,7788.025121,1.44E-30,5.78E-05,1259.123,59,59,1259.123,       a      0,       X      0,               , P 30Q 29     d,0.0286,0.77,-0.0048,0,0,0.77,0,0,0,1,0,0,0.034,0.77,0,0,0,0.77,0,0,0,1,0,0
6279762,7,3,7788.420488,3.39E-30,2.37E-05,426.4768,186,198,426.4768,       a      0,       X      0,               , O 17P 16     d,0.0438,0.83,-0.004498,0,0,0.83,0,0,0,1,0,0,0.043,0.83,0,0,0,0.83,0,0,0,1,0,0
6279764,7,1,7788.696109,1.85E-29,4.02E-05,1637.0878,13,15,1637.0878,       a      1,       X      1,               , P  7P  7     d,0.0523,0.84,0,0,0,0.84,0,0,0,1,0,0,0.052,0.84,0,0,0,0.84,0,0,0,1,0,0
6279766,7,2,7790.047944,1.86E-30,5.26E-05,1179.8744,57,59,1179.8744,       a      0,       X      0,               , P 29P 29     d,0.0294,0.78,-0.004873,0,0,0.78,0,0,0,1,0,0,0.034,0.78,0,0,0,0.78,0,0,0,1,0,0
6279768,7,1,7790.672995,2.78E-29,5.99E-05,1635.1109,13,13,1635.1109,       a      1,       X      1,               , P  7Q  6     d,0.0523,0.84,0,0,0,0.84,0,0,0,1,0,0,0.052,0.84,0,0,0,0.84,0,0,0,1,0,0
6279771,7,1,7791.114997,1.39E-27,5.07E-05,1085.2033,53,55,1085.2033,       a      0,       X      0,               , P 27P 27     d,0.0334,0.78,-0.004816,0,0.15,0.78,0,0,0,1,0,0,0.037,0.78,0,0,0,0.78,0,0,0,1,0,0
6279772,7,2,7791.634202,1.95E-29,2.47E-05,415.0418,31,33,415.0418,       a      0,       X      0,               , O 17P 16     d,0.0438,0.83,-0.004498,0,0,0.83,0,0,0,1,0,0,0.043,0.83,0,0,0,0.83,0,0,0,1,0,0
6279773,7,2,7791.812617,2.06E-30,5.79E-05,1178.1097,57,57,1178.1097,       a      0,       X      0,               , P 29Q 28     d,0.0294,0.78,-0.004874,0,0,0.78,0,0,0,1,0,0,0.034,0.78,0,0,0,0.78,0,0,0,1,0,0
6279776,7,1,7792.885118,1.54E-27,5.59E-05,1083.4332,53,53,1083.4332,       a      0,       X      0,               , P 27Q 26     d,0.0334,0.78,-0.004817,0,0.15,0.78,0,0,0,1,0,0,0.037,0.78,0,0,0,0.78,0,0,0,1,0,0
6279778,7,1,7793.326596,1.36E-30,4.93E-08,1082.9917,53,57,1082.9917,       a      0,       X      0,               , P 27O 28     q,0.0377,0.78,0,0,0,0.78,0,0,0,1,0,0,0.037,0.78,0,0,0,0.78,0,0,0,1,0,0
6279779,7,1,7793.339903,1.90E-30,0.000122,2629.6432,55,55,2629.6432,       a      1,       X      1,               , Q 27Q 27     d,0.0303,0.78,0,0,0,0.78,0,0,0,1,0,0,0.035,0.78,0,0,0,0.78,0,0,0,1,0,0
6279780,7,2,7793.790504,2.62E-30,5.25E-05,1101.54,55,57,1101.54,       a      0,       X      0,               , P 28P 28     d,0.0303,0.78,-0.0048,0,0,0.78,0,0,0,1,0,0,0.035,0.78,0,0,0,0.78,0,0,0,1,0,0
6279782,7,3,7794.563682,3.95E-30,2.35E-05,379.1158,174,186,379.1158,       a      0,       X      0,               , O 16P 15     d,0.0449,0.83,-0.004456,0,0,0.83,0,0,0,1,0,0,0.044,0.83,0,0,0,0.83,0,0,0,1,0,0
6279783,7,1,7794.844882,1.24E-29,3.26E-05,1600.1301,9,11,1600.1301,       a      1,       X      1,               , P  5P  5     d,0.0543,0.84,0,0,0,0.84,0,0,0,1,0,0,0.054,0.84,0,0,0,0.84,0,0,0,1,0,0
6279786,7,2,7795.563393,2.91E-30,5.80E-05,1099.7671,55,55,1099.7671,       a      0,       X      0,               , P 28Q 27     d,0.0303,0.78,-0.0048,0,0,0.78,0,0,0,1,0,0,0.035,0.78,0,0,0,0.78,0,0,0,1,0,0
6279787,7,1,7795.62292,3.65E-30,0.000122,2479.6468,51,51,2479.6468,       a      1,       X      1,               , Q 25Q 25     d,0.0323,0.78,0,0,0,0.78,0,0,0,1,0,0,0.036,0.78,0,0,0,0.78,0,0,0,1,0,0
6279789,7,1,7796.71544,3.05E-29,4.46E-08,188.8531,17,21,188.8531,       a      0,       X      0,               , N 11O 10     q,0.0508,0.8,0,0,0,0.8,0,0,0,1,0,0,0.049,0.8,0,0,0,0.8,0,0,0,1,0,0
6279790,7,1,7796.859306,2.21E-29,5.75E-05,1598.1157,9,9,1598.1157,       a      1,       X      1,               , P  5Q  4     d,0.0543,0.84,0,0,0,0.84,0,0,0,1,0,0,0.054,0.84,0,0,0,0.84,0,0,0,1,0,0
6279791,7,1,7797.414743,1.03E-30,3.40E-05,2477.8549,51,49,2477.8549,       a      1,       X      1,               , Q 25R 24     d,0.0323,0.78,0,0,0,0.78,0,0,0,1,0,0,0.036,0.78,0,0,0,0.78,0,0,0,1,0,0
1,7,1,7797.419502,1.22E-26,2.33E-05,343.9694,27,29,343.9694,       a      0,       X      0,               , O 15P 14     d,0.0469,0.83,-0.003244,0,0.148,0.83,0,0,0,1,0,0,0.046,0.83,0,0,0,0.83,0,0,0,1,0,0
6279793,7,2,7797.496377,3.63E-30,5.24E-05,1025.8792,53,55,1025.8792,       a      0,       X      0,               , P 27P 27     d,0.0313,0.78,-0.004816,0,0,0.78,0,0,0,1,0,0,0.036,0.78,0,0,0,0.78,0,0,0,1,0,0
6279794,7,2,7797.612735,2.26E-29,2.45E-05,368.9507,29,31,368.9507,       a      0,       X      0,               , O 16P 15     d,0.0449,0.83,-0.004456,0,0,0.83,0,0,0,1,0,0,0.044,0.83,0,0,0,0.83,0,0,0,1,0,0
6279795,7,1,7797.727973,6.61E-30,0.000122,2340.874,47,47,2340.874,       a      1,       X      1,               , Q 23Q 23     d,0.0345,0.8,0,0,0,0.8,0,0,0,1,0,0,0.038,0.8,0,0,0,0.8,0,0,0,1,0,0
2,7,1,7798.84639,2.70E-27,5.02E-05,933.5309,49,51,933.5309,       a      0,       X      0,               , P 25P 25     d,0.0361,0.79,-0.003311,0,0.21,0.79,0,0,0,1,0,0,0.038,0.79,0,0,0,0.79,0,0,0,1,0,0
6279799,7,2,7799.27751,4.06E-30,5.81E-05,1024.0981,53,53,1024.0981,       a      0,       X      0,               , P 27Q 26     d,0.0313,0.78,-0.004817,0,0,0.78,0,0,0,1,0,0,0.036,0.78,0,0,0,0.78,0,0,0,1,0,0
6279800,7,1,7799.537613,1.87E-30,3.43E-05,2339.0644,47,45,2339.0644,       a      1,       X      1,               , Q 23R 22     d,0.0345,0.8,0,0,0,0.8,0,0,0,1,0,0,0.038,0.8,0,0,0,0.8,0,0,0,1,0,0
6279801,7,1,7799.656407,1.12E-29,0.000122,2213.3478,43,43,2213.3478,       a      1,       X      1,               , Q 21Q 21     d,0.0368,0.8,0,0,0,0.8,0,0,0,1,0,0,0.039,0.8,0,0,0,0.8,0,0,0,1,0,0
6279802,7,1,7799.909367,1.49E-30,2.73E-05,2338.6926,47,49,2338.6926,       a      1,       X      1,               , Q 23P 24     d,0.0345,0.8,0,0,0,0.8,0,0,0,1,0,0,0.038,0.8,0,0,0,0.8,0,0,0,1,0,0
3,7,1,7800.634154,3.10E-27,5.61E-05,931.7432,49,49,931.7432,       a      0,       X      0,               , P 25Q 24     d,0.0361,0.79,-0.003285,0,0.207,0.79,0,0,0,1,0,0,0.038,0.79,0,0,0,0.79,0,0,0,1,0,0
6279805,7,3,7800.671313,4.51E-30,2.33E-05,334.5305,162,174,334.5305,       a      0,       X      0,               , O 15P 14     d,0.0459,0.83,-0.004403,0,0,0.83,0,0,0,1,0,0,0.045,0.83,0,0,0,0.83,0,0,0,1,0,0
6279806,7,1,7800.826557,3.90E-30,1.64E-05,1574.5401,5,7,1574.5401,       a      1,       X      1,               , P  3P  3     d,0.0568,0.84,0,0,0,0.84,0,0,0,1,0,0,0.058,0.84,0,0,0,0.84,0,0,0,1,0,0
6279807,7,1,7801.039397,2.61E-30,4.90E-08,931.3372,49,53,931.3372,       a      0,       X      0,               , P 25O 26     q,0.0393,0.79,0,0,0,0.79,0,0,0,1,0,0,0.038,0.79,0,0,0,0.79,0,0,0,1,0,0
6279808,7,2,7801.165614,4.97E-30,5.23E-05,952.895,51,53,952.895,       a      0,       X      0,               , P 26P 26     d,0.0323,0.78,-0.0048,0,0,0.78,0,0,0,1,0,0,0.036,0.78,0,0,0,0.78,0,0,0,1,0,0
6279809,7,1,7801.409451,1.79E-29,0.000122,2097.0889,39,39,2097.0889,       a      1,       X      1,               , Q 19Q 19     d,0.0392,0.81,0,0,0,0.81,0,0,0,1,0,0,0.041,0.81,0,0,0,0.81,0,0,0,1,0,0
6279810,7,1,7801.484089,3.22E-30,3.47E-05,2211.5201,43,41,2211.5201,       a      1,       X      1,               , Q 21R 20     d,0.0368,0.8,0,0,0,0.8,0,0,0,1,0,0,0.039,0.8,0,0,0,0.8,0,0,0,1,0,0
6279811,7,1,7801.819592,2.51E-30,2.70E-05,2211.1846,43,45,2211.1846,       a      1,       X      1,               , Q 21P 22     d,0.0368,0.8,0,0,0,0.8,0,0,0,1,0,0,0.039,0.8,0,0,0,0.8,0,0,0,1,0,0
6279812,7,3,7801.999918,1.09E-30,5.01E-05,906.8353,294,306,906.8353,       a      0,       X      0,               , P 25P 25     d,0.0333,0.79,-0.004754,0,0,0.79,0,0,0,1,0,0,0.037,0.79,0,0,0,0.79,0,0,0,1,0,0
6279813,7,1,7802.912189,1.07E-29,4.42E-05,1572.4545,5,5,1572.4545,       a      1,       X      1,               , P  3Q  2     d,0.0568,0.84,0,0,0,0.84,0,0,0,1,0,0,0.058,0.84,0,0,0,0.84,0,0,0,1,0,0
6279814,7,2,7802.955023,5.57E-30,5.82E-05,951.1056,51,51,951.1056,       a      0,       X      0,               , P 26Q 25     d,0.0323,0.78,-0.0048,0,0,0.78,0,0,0,1,0,0,0.036,0.78,0,0,0,0.78,0,0,0,1,0,0
6279815,7,1,7802.988222,2.68E-29,0.0001219,1992.1165,35,35,1992.1165,       a      1,       X      1,               , Q 17Q 17     d,0.0416,0.81,0,0,0,0.81,0,0,0,1,0,0,0.042,0.81,0,0,0,0.81,0,0,0,1,0,0
6279816,7,1,7803.255471,5.21E-30,3.52E-05,2095.2429,39,37,2095.2429,       a      1,       X      1,               , Q 19R 18     d,0.0392,0.81,0,0,0,0.81,0,0,0,1,0,0,0.041,0.81,0,0,0,0.81,0,0,0,1,0,0
