trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,elower,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air,n_y_air,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self,n_y_self
6793652,2,1,6290.95033,7.19E-30,2.11E-06,1386.8291,25,23,1386.8291,       5 1 1 02,       0 2 2 01,               ,     R 11f     ,0.08,0.69,-0.005308,0,0.082060681,0.69,0,0,0,1,0,0,1,0.107,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793653,2,1,6290.960366,3.69E-30,0.01891,3186.1558,9,7,3186.1558,       5 1 1 14,       2 1 1 03,               ,     R  3e     ,0.0879,0.77,-0.004668,0,0.060883731,0.77,0,0,0,1,0,0,1,0.118,0.77,0,0,0.076666667,0.77,0,0,0,1,0,0,1
6793660,2,1,6291.148193,6.85E-30,6.26E-05,2444.3237,137,135,2444.3237,       5 0 0 02,       0 1 1 01,               ,     R 67e     ,0.0644,0.68,-0.007677,0,0.0847078,0.68,0,0,0,1,0,0,1,0.067,0.68,0,0,0.106666667,0.68,0,0,0,1,0,0,1
6793662,2,1,6291.281638,1.23E-30,0.0132,3763.3772,71,73,3763.3772,       4 3 3 13,       1 3 3 02,               ,     P 36f     ,0.0686,0.76,-0.007397,0,0.06353085,0.76,0,0,0,1,0,0,1,0.085,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793663,2,1,6291.309783,8.69E-30,2.47E-06,1396.2281,27,25,1396.2281,       5 1 1 02,       0 2 2 01,               ,     R 12e     ,0.079,0.69,-0.005436,0,0.082060681,0.69,0,0,0,1,0,0,1,0.106,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793666,2,1,6291.326099,1.47E-27,0.01525,2296.6069,59,61,2296.6069,       4 1 1 13,       1 1 1 02,               ,     P 30f     ,0.0693,0.75,-0.007273,0,0.066177969,0.75,0,0,0,1,0,0,1,0.091,0.75,0,0,0.083333333,0.75,0,0,0,1,0,0,1
6793667,2,1,6291.357733,1.95E-30,0.01506,3811.4097,125,123,3811.4097,       3 0 0 22,       0 0 0 11,               ,     R 61e     ,0.0656,0.7,-0.008039,0,0.079413562,0.7,0,0,0,1,0,0,1,0.069,0.7,0,0,0.1,0.7,0,0,0,1,0,0,1
6793669,2,1,6291.39054,3.40E-30,0.01512,3609.2588,81,79,3609.2588,       3 1 1 22,       0 1 1 11,               ,     R 39f     ,0.0682,0.76,-0.00743,0,0.06353085,0.76,0,0,0,1,0,0,1,0.082,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793672,2,1,6291.429241,1.90E-30,3.65E-05,2443.3181,65,67,2443.3181,       5 2 2 02,       0 3 3 01,               ,     P 33e     ,0.0688,0.76,-0.006736,0,0.06353085,0.76,0,0,0,1,0,0,1,0.088,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793673,2,1,6291.440538,3.94E-29,0.01408,3051.2356,67,69,3051.2356,       4 2 2 13,       1 2 2 02,               ,     P 34e     ,0.0688,0.76,-0.007364,0,0.06353085,0.76,0,0,0,1,0,0,1,0.087,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793674,2,1,6291.443343,2.34E-29,2.56E-07,801.1731,39,37,801.1731,       2 3 3 12,       0 1 1 01,               ,     R 18f     ,0.0736,0.7,-0.006735,0,0.079413562,0.7,0,0,0,1,0,0,1,0.101,0.7,0,0,0.1,0.7,0,0,0,1,0,0,1
6793678,2,1,6291.51994,5.67E-29,0.003612,2814.7451,119,121,2814.7451,       2 1 1 23,       1 0 0 01,               ,     P 60e     ,0.066,0.7,-0.008593,0,0.079413562,0.7,0,0,0,1,0,0,1,0.07,0.7,0,0,0.1,0.7,0,0,0,1,0,0,1
6793684,2,1,6291.583778,2.32E-30,0.01518,3703.5649,87,85,3703.5649,       3 1 1 22,       0 1 1 11,               ,     R 42e     ,0.068,0.75,-0.007471,0,0.066177969,0.75,0,0,0,1,0,0,1,0.079,0.75,0,0,0.083333333,0.75,0,0,0,1,0,0,1
6793685,2,1,6291.592248,2.53E-30,1.02E-06,1521.6154,35,37,1521.6154,       3 2 2 12,       1 0 0 01,               ,     P 18e     ,0.0744,0.69,-0.006727,0,0.082060681,0.69,0,0,0,1,0,0,1,0.101,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793686,2,1,6291.604373,2.47E-30,1.91E-06,1801.0198,71,69,1801.0198,       2 4 4 12,       0 2 2 01,               ,     R 34e     ,0.0687,0.76,-0.007362,0,0.06353085,0.76,0,0,0,1,0,0,1,0.086,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793689,2,1,6291.633192,9.14E-30,0.01689,3507.5181,119,121,3507.5181,       4 1 1 12,       1 1 1 01,               ,     P 60f     ,0.0659,0.7,-0.007951,0,0.079413562,0.7,0,0,0,1,0,0,1,0.07,0.7,0,0,0.1,0.7,0,0,0,1,0,0,1
6793690,2,1,6291.667021,8.35E-30,0.04477,3421.4963,27,29,3421.4963,       5 1 1 13,       2 1 1 02,               ,     P 14f     ,0.0781,0.69,-0.006222,0,0.082060681,0.69,0,0,0,1,0,0,1,0.105,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793694,2,1,6291.721746,4.65E-30,0.01981,3189.3103,11,9,3189.3103,       5 1 1 14,       2 1 1 03,               ,     R  4f     ,0.0872,0.76,-0.004688,0,0.06353085,0.76,0,0,0,1,0,0,1,0.117,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793695,2,1,6291.744793,8.32E-28,0.006253,2394.8481,131,133,2394.8481,       3 1 1 12,       0 1 1 01,               ,     P 66f     ,0.0649,0.69,-0.008209,0,0.082060681,0.69,0,0,0,1,0,0,1,0.068,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793702,2,1,6291.863611,1.60E-27,0.01525,2272.3052,57,59,2272.3052,       4 1 1 13,       1 1 1 02,               ,     P 29e     ,0.0694,0.75,-0.007262,0,0.066177969,0.75,0,0,0,1,0,0,1,0.092,0.75,0,0,0.083333333,0.75,0,0,0,1,0,0,1
6793709,2,1,6292.009139,1.25E-30,0.01496,3907.9353,129,127,3907.9353,       3 0 0 22,       0 0 0 11,               ,     R 63e     ,0.0653,0.7,-0.008136,0,0.079413562,0.7,0,0,0,1,0,0,1,0.068,0.7,0,0,0.1,0.7,0,0,0,1,0,0,1
6793712,2,1,6292.064016,2.04E-29,8.31E-05,2202.9563,95,97,2202.9563,       5 1 1 02,       1 0 0 02,               ,     P 48e     ,0.0675,0.74,-0.006949,0,0.068825087,0.74,0,0,0,1,0,0,1,0.075,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0,1
6793714,2,1,6292.189059,2.23E-28,0.02312,2609.3755,27,25,2609.3755,       5 0 0 14,       2 0 0 03,               ,     R 12e     ,0.0791,0.69,-0.00593,0,0.082060681,0.69,0,0,0,1,0,0,1,0.106,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793719,2,1,6292.273587,2.48E-30,2.14E-06,1828.4126,73,71,1828.4126,       2 4 4 12,       0 2 2 01,               ,     R 35f     ,0.0686,0.76,-0.007377,0,0.06353085,0.76,0,0,0,1,0,0,1,0.085,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793720,2,1,6292.277212,1.72E-27,0.006399,2240.2375,125,127,2240.2375,       3 1 1 12,       0 1 1 01,               ,     P 63e     ,0.0654,0.69,-0.008059,0,0.082060681,0.69,0,0,0,1,0,0,1,0.069,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793721,2,1,6292.285209,1.37E-30,0.0132,3735.1338,69,71,3735.1338,       4 3 3 13,       1 3 3 02,               ,     P 35e     ,0.0687,0.76,-0.007384,0,0.06353085,0.76,0,0,0,1,0,0,1,0.086,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793722,2,1,6292.334948,2.48E-29,0.006145,3116.7019,133,135,3116.7019,       3 2 2 12,       0 2 2 01,               ,     P 67f     ,0.0647,0.68,-0.008262,0,0.0847078,0.68,0,0,0,1,0,0,1,0.068,0.68,0,0,0.106666667,0.68,0,0,0,1,0,0,1
6793723,2,1,6292.345279,5.70E-30,4.67E-09,7.8043,11,9,7.8043,       2 2 2 12,       0 0 0 01,               ,     R  4e     ,0.0872,0.76,-0.004688,0,0.06353085,0.76,0,0,0,1,0,0,1,0.117,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793725,2,1,6292.380206,2.79E-29,3.11E-07,815.8032,41,39,815.8032,       2 3 3 12,       0 1 1 01,               ,     R 19e     ,0.0729,0.7,-0.006815,0,0.079413562,0.7,0,0,0,1,0,0,1,0.1,0.7,0,0,0.1,0.7,0,0,0,1,0,0,1
6793728,2,1,6292.412995,5.56E-30,0.0204,3193.1941,13,11,3193.1941,       5 1 1 14,       2 1 1 03,               ,     R  5e     ,0.0864,0.75,-0.004758,0,0.066177969,0.75,0,0,0,1,0,0,1,0.115,0.75,0,0,0.083333333,0.75,0,0,0,1,0,0,1
6793729,2,1,6292.415583,6.42E-30,0.0001151,2416.417,61,59,2416.417,       6 0 0 02,       1 1 1 01,               ,     R 29e     ,0.0692,0.75,-0.006688,0,0.066177969,0.75,0,0,0,1,0,0,1,0.091,0.75,0,0,0.083333333,0.75,0,0,0,1,0,0,1
6793730,2,1,6292.427465,2.62E-30,0.01511,3672.0735,85,83,3672.0735,       3 1 1 22,       0 1 1 11,               ,     R 41f     ,0.0681,0.76,-0.007454,0,0.06353085,0.76,0,0,0,1,0,0,1,0.08,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793734,2,1,6292.449199,8.18E-30,0.04486,3410.3379,25,27,3410.3379,       5 1 1 13,       2 1 1 02,               ,     P 13e     ,0.0791,0.69,-0.006054,0,0.082060681,0.69,0,0,0,1,0,0,1,0.106,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793735,2,1,6292.459659,1.74E-30,0.01516,3770.9172,91,89,3770.9172,       3 1 1 22,       0 1 1 11,               ,     R 44e     ,0.0679,0.75,-0.007501,0,0.066177969,0.75,0,0,0,1,0,0,1,0.078,0.75,0,0,0.083333333,0.75,0,0,0,1,0,0,1
6793736,2,1,6292.475235,1.98E-30,3.46E-05,2417.4414,63,65,2417.4414,       5 2 2 02,       0 3 3 01,               ,     P 32f     ,0.0689,0.76,-0.006712,0,0.06353085,0.76,0,0,0,1,0,0,1,0.089,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793740,2,1,6292.507333,4.93E-29,0.06278,2673.4805,3,5,2673.4805,       5 0 0 13,       2 0 0 02,               ,     P  2e     ,0.0893,0.78,-0.004559,0,0.058236612,0.78,0,0,0,1,0,0,1,0.12,0.78,0,0,0.073333333,0.78,0,0,0,1,0,0,1
6793741,2,1,6292.513773,4.36E-29,0.01412,3024.5898,65,67,3024.5898,       4 2 2 13,       1 2 2 02,               ,     P 33f     ,0.0689,0.76,-0.007338,0,0.06353085,0.76,0,0,0,1,0,0,1,0.088,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793743,2,1,6292.534306,1.02E-29,2.84E-06,1406.4103,29,27,1406.4103,       5 1 1 02,       0 2 2 01,               ,     R 13f     ,0.078,0.69,-0.005566,0,0.082060681,0.69,0,0,0,1,0,0,1,0.105,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793744,2,1,6292.541812,1.74E-29,0.01707,3366.178,113,115,3366.178,       4 1 1 12,       1 1 1 01,               ,     P 57e     ,0.0664,0.71,-0.007842,0,0.076766443,0.71,0,0,0,1,0,0,1,0.071,0.71,0,0,0.096666667,0.71,0,0,0,1,0,0,1
6793752,2,1,6292.731604,7.26E-26,0.0178,1418.9348,35,37,1418.9348,       4 0 0 13,       1 0 0 02,               ,     P 18e     ,0.0744,0.69,-0.006727,0,0.082060681,0.69,0,0,0,1,0,0,1,0.101,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793753,2,1,6292.756943,1.19E-29,3.27E-06,1417.3755,31,29,1417.3755,       5 1 1 02,       0 2 2 01,               ,     R 14e     ,0.077,0.69,-0.005709,0,0.082060681,0.69,0,0,0,1,0,0,1,0.104,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793754,2,1,6292.766581,4.80E-28,0.01353,2632.5022,111,113,2632.5022,       4 0 0 12,       1 0 0 01,               ,     P 56e     ,0.0666,0.72,-0.007811,0,0.074119325,0.72,0,0,0,1,0,0,1,0.071,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0,1
6793757,2,1,6292.845405,3.24E-29,3.73E-07,831.6829,43,41,831.6829,       2 3 3 12,       0 1 1 01,               ,     R 20f     ,0.0724,0.71,-0.006883,0,0.076766443,0.71,0,0,0,1,0,0,1,0.099,0.71,0,0,0.096666667,0.71,0,0,0,1,0,0,1
6793760,2,1,6292.889867,2.13E-30,0.02683,3872.9143,103,105,3872.9143,       5 0 0 12,       2 0 0 01,               ,     P 52e     ,0.0671,0.73,-0.007656,0,0.071472206,0.73,0,0,0,1,0,0,1,0.073,0.73,0,0,0.09,0.73,0,0,0,1,0,0,1
6793763,2,1,6292.939028,2.44E-30,2.35E-06,1856.587,75,73,1856.587,       2 4 4 12,       0 2 2 01,               ,     R 36e     ,0.0684,0.76,-0.007387,0,0.06353085,0.76,0,0,0,1,0,0,1,0.084,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793764,2,1,6292.941359,4.23E-30,6.32E-05,2551.0112,141,139,2551.0112,       5 0 0 02,       0 1 1 01,               ,     R 69e     ,0.064,0.68,-0.007772,0,0.0847078,0.68,0,0,0,1,0,0,1,0.067,0.68,0,0,0.106666667,0.68,0,0,0,1,0,0,1
6793767,2,1,6292.996963,2.01E-25,0.00663,1244.2205,111,113,1244.2205,       3 0 0 12,       0 0 0 01,               ,     P 56e     ,0.0666,0.72,-0.007811,0,0.074119325,0.72,0,0,0,1,0,0,1,0.071,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0,1
6793768,2,1,6292.998482,3.17E-29,0.006182,3064.3628,131,133,3064.3628,       3 2 2 12,       0 2 2 01,               ,     P 66e     ,0.0649,0.69,-0.008209,0,0.082060681,0.69,0,0,0,1,0,0,1,0.068,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793773,2,1,6293.173884,6.38E-30,0.02078,3197.9419,15,13,3197.9419,       5 1 1 14,       2 1 1 03,               ,     R  6f     ,0.0854,0.74,-0.004871,0,0.068825087,0.74,0,0,0,1,0,0,1,0.114,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0,1
6793776,2,1,6293.192382,2.00E-30,3.20E-05,2392.3474,61,63,2392.3474,       5 2 2 02,       0 3 3 01,               ,     P 31e     ,0.0691,0.75,-0.006688,0,0.066177969,0.75,0,0,0,1,0,0,1,0.09,0.75,0,0,0.083333333,0.75,0,0,0,1,0,0,1
6793781,2,1,6293.278888,1.54E-30,6.15E-07,1494.3071,31,33,1494.3071,       3 2 2 12,       1 0 0 01,               ,     P 16e     ,0.0761,0.69,-0.006514,0,0.082060681,0.69,0,0,0,1,0,0,1,0.103,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793782,2,1,6293.306375,1.29E-30,0.01514,3841.3574,95,93,3841.3574,       3 1 1 22,       0 1 1 11,               ,     R 46e     ,0.0677,0.74,-0.007543,0,0.068825087,0.74,0,0,0,1,0,0,1,0.076,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0,1
6793783,2,1,6293.317431,1.53E-30,0.0133,3707.6736,67,69,3707.6736,       4 3 3 13,       1 3 3 02,               ,     P 34f     ,0.0688,0.76,-0.007364,0,0.06353085,0.76,0,0,0,1,0,0,1,0.087,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793784,2,1,6293.326357,1.72E-27,0.01531,2250.4197,55,57,2250.4197,       4 1 1 13,       1 1 1 02,               ,     P 28f     ,0.0696,0.74,-0.007243,0,0.068825087,0.74,0,0,0,1,0,0,1,0.093,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0,1
6793788,2,1,6293.394459,7.94E-30,0.04511,3400.3757,23,25,3400.3757,       5 1 1 13,       2 1 1 02,               ,     P 12f     ,0.0801,0.69,-0.005878,0,0.082060681,0.69,0,0,0,1,0,0,1,0.107,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793789,2,1,6293.408427,2.33E-28,0.02324,2630.4919,31,29,2630.4919,       5 0 0 14,       2 0 0 03,               ,     R 14e     ,0.0771,0.69,-0.006226,0,0.082060681,0.69,0,0,0,1,0,0,1,0.104,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793793,2,1,6293.44056,1.99E-30,0.01508,3737.9824,89,87,3737.9824,       3 1 1 22,       0 1 1 11,               ,     R 43f     ,0.068,0.75,-0.007479,0,0.066177969,0.75,0,0,0,1,0,0,1,0.078,0.75,0,0,0.083333333,0.75,0,0,0,1,0,0,1
6793797,2,1,6293.513113,4.80E-29,0.01415,2998.7576,63,65,2998.7576,       4 2 2 13,       1 2 2 02,               ,     P 32e     ,0.069,0.76,-0.007314,0,0.06353085,0.76,0,0,0,1,0,0,1,0.089,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793802,2,1,6293.601713,2.42E-30,2.61E-06,1885.5422,77,75,1885.5422,       2 4 4 12,       0 2 2 01,               ,     R 37f     ,0.0684,0.76,-0.007403,0,0.06353085,0.76,0,0,0,1,0,0,1,0.083,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793806,2,1,6293.741879,2.72E-29,8.07E-05,2128.8987,91,93,2128.8987,       5 1 1 02,       1 0 0 02,               ,     P 46e     ,0.0677,0.75,-0.006921,0,0.066177969,0.75,0,0,0,1,0,0,1,0.077,0.75,0,0,0.083333333,0.75,0,0,0,1,0,0,1
6793810,2,1,6293.809555,1.41E-29,0.01712,3414.5842,115,117,3414.5842,       4 1 1 12,       1 1 1 01,               ,     P 58f     ,0.0662,0.71,-0.007878,0,0.076766443,0.71,0,0,0,1,0,0,1,0.07,0.71,0,0,0.096666667,0.71,0,0,0,1,0,0,1
6793811,2,1,6293.824632,3.75E-29,4.45E-07,847.8263,45,43,847.8263,       2 3 3 12,       0 1 1 01,               ,     R 21e     ,0.0718,0.72,-0.006945,0,0.074119325,0.72,0,0,0,1,0,0,1,0.098,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0,1
6793812,2,1,6293.825051,7.15E-30,0.0211,3203.3601,17,15,3203.3601,       5 1 1 14,       2 1 1 03,               ,     R  7e     ,0.0844,0.73,-0.005027,0,0.071472206,0.73,0,0,0,1,0,0,1,0.112,0.73,0,0,0.09,0.73,0,0,0,1,0,0,1
6793813,2,1,6293.860501,2.49E-29,1.56E-08,16.389,15,13,16.389,       2 2 2 12,       0 0 0 01,               ,     R  6e     ,0.0854,0.74,-0.004871,0,0.068825087,0.74,0,0,0,1,0,0,1,0.114,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0,1
6793816,2,1,6293.916163,1.86E-27,0.01533,2227.7881,53,55,2227.7881,       4 1 1 13,       1 1 1 02,               ,     P 27e     ,0.0699,0.74,-0.007207,0,0.068825087,0.74,0,0,0,1,0,0,1,0.094,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0,1
6793821,2,1,6294.046333,6.06E-30,0.0001285,2464.0186,65,63,2464.0186,       6 0 0 02,       1 1 1 01,               ,     R 31e     ,0.0689,0.76,-0.006725,0,0.06353085,0.76,0,0,0,1,0,0,1,0.089,0.76,0,0,0.08,0.76,0,0,0,1,0,0,1
6793822,2,1,6294.058009,1.34E-27,0.006311,2292.6453,127,129,2292.6453,       3 1 1 12,       0 1 1 01,               ,     P 64f     ,0.0652,0.69,-0.0081,0,0.082060681,0.69,0,0,0,1,0,0,1,0.069,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793826,2,1,6294.121129,1.35E-29,3.68E-06,1429.1237,33,31,1429.1237,       5 1 1 02,       0 2 2 01,               ,     R 15f     ,0.076,0.69,-0.005856,0,0.082060681,0.69,0,0,0,1,0,0,1,0.103,0.69,0,0,0.103333333,0.69,0,0,0,1,0,0,1
6793828,2,1,6294.146947,6.58E-29,0.002766,2722.0723,115,117,2722.0723,       2 1 1 23,       1 0 0 01,               ,     P 58e     ,0.0663,0.71,-0.008516,0,0.076766443,0.71,0,0,0,1,0,0,1,0.071,0.71,0,0,0.096666667,0.71,0,0,0,1,0,0,1
