,Unnamed: 0,molec_id,local_iso_id,elower,nu,nu_err,nu_vary,sw,sw_err,sw_vary,sw_scale_factor,gamma0_O2,gamma0_O2_err,gamma0_O2_vary,n_gamma0_O2,gamma0_N2,gamma0_N2_err,gamma0_N2_vary,n_gamma0_N2,delta0_O2,delta0_O2_err,delta0_O2_vary,n_delta0_O2,delta0_N2,delta0_N2_err,delta0_N2_vary,n_delta0_N2,nuVC_O2,nuVC_O2_err,nuVC_O2_vary,n_nuVC_O2,nuVC_N2,nuVC_N2_err,nuVC_N2_vary,n_nuVC_N2,SD_gamma_O2,SD_gamma_O2_err,SD_gamma_O2_vary,n_gamma2_O2,SD_gamma_N2,SD_gamma_N2_err,SD_gamma_N2_vary,n_gamma2_N2,SD_delta_O2,SD_delta_O2_err,SD_delta_O2_vary,n_delta2_O2,SD_delta_N2,SD_delta_N2_err,SD_delta_N2_vary,n_delta2_N2,eta_O2,eta_O2_err,eta_O2_vary,eta_N2,eta_N2_err,eta_N2_vary,y_O2,y_O2_err,y_O2_vary,n_y_O2,y_N2,y_N2_err,y_N2_vary,n_y_N2,BIA_slope_O2,BIA_slope_N2,BIA_collision_duration_O2,BIA_collision_duration_N2
18,18.0,1,1,586.2435,7501.151405,0.0,False,7.31e-09,0.0,False,1e-20,0.0734,0.0,False,0.65,0.0734,0.0,False,0.65,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.65,0.0,0.0,False,0.65,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
19,19.0,1,1,3201.9134,7501.169089,0.0,False,4.52e-10,0.0,False,1e-20,0.1068,0.0,False,0.76,0.1068,0.0,False,0.76,-0.00697,0.0,False,0.0,-0.00697,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.76,0.0,0.0,False,0.76,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
20,20.0,1,1,552.9114,7501.20505,0.0,False,8.11e-09,0.0,False,1e-20,0.0781,0.0,False,0.67,0.0781,0.0,False,0.67,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.67,0.0,0.0,False,0.67,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
21,21.0,1,1,1998.9953,7501.220593,0.0,False,2.04e-06,0.0,False,1e-20,0.0706,0.0,False,0.66,0.0706,0.0,False,0.66,-0.02197,0.0,False,0.0,-0.02197,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.66,0.0,0.0,False,0.66,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
22,22.0,1,1,206.3014,7501.337394,0.0,False,0.00109,0.0,False,1e-20,0.0872,0.0,False,0.7,0.0872,0.0,False,0.7,-0.00572,0.0,False,0.0,-0.00572,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.7,0.0,0.0,False,0.7,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
23,23.0,1,1,3323.2698,7501.465473,0.0,False,1.37e-09,0.0,False,1e-20,0.0486,0.0,False,0.44,0.0486,0.0,False,0.44,-0.01303,0.0,False,0.0,-0.01303,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.44,0.0,0.0,False,0.44,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
24,24.0,1,1,586.4792,7501.47838,0.0,False,3.790000000000001e-07,0.0,False,1e-20,0.0833,0.0,False,0.7,0.0833,0.0,False,0.7,-0.00156,0.0,False,0.0,-0.00156,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.7,0.0,0.0,False,0.7,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
25,25.0,1,1,704.2141,7501.593374,0.0,False,0.00125,0.0,False,1e-20,0.0845,0.0,False,0.69,0.0845,0.0,False,0.69,-0.00858,0.0,False,0.0,-0.00858,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.69,0.0,0.0,False,0.69,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
26,26.0,1,1,1922.901,7501.641831,0.0,False,7.030000000000002e-07,0.0,False,1e-20,0.0902,0.0,False,0.73,0.0902,0.0,False,0.73,-0.00557,0.0,False,0.0,-0.00557,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.73,0.0,0.0,False,0.73,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
27,27.0,1,1,1875.4618,7501.649553,0.0,False,1.2800000000000002e-06,0.0,False,1e-20,0.0508,0.0,False,0.52,0.0508,0.0,False,0.52,-0.02299,0.0,False,0.0,-0.02299,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.52,0.0,0.0,False,0.52,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
28,28.0,1,1,4855.152,7501.732368,0.0,False,2.23e-10,0.0,False,1e-20,0.0176,0.0,False,0.07,0.0176,0.0,False,0.07,-0.03255,0.0,False,0.0,-0.03255,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.07,0.0,0.0,False,0.07,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
29,29.0,1,1,2631.2688,7501.751954,0.0,False,7.680000000000002e-09,0.0,False,1e-20,0.0687,0.0,False,0.67,0.0687,0.0,False,0.67,0.00139,0.0,False,0.0,0.00139,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.67,0.0,0.0,False,0.67,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
30,30.0,1,1,70.0908,7501.844354,0.0,False,3.69e-10,0.0,False,1e-20,0.0994,0.0,False,0.74,0.0994,0.0,False,0.74,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.74,0.0,0.0,False,0.74,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
31,31.0,1,1,661.5489,7501.927572,0.0,False,0.000303,0.0,False,1e-20,0.0862,0.0,False,0.73,0.0862,0.0,False,0.73,-0.0094,0.0,False,0.0,-0.0094,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.73,0.0,0.0,False,0.73,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
32,32.0,1,1,2983.323,7502.016893,0.0,False,2.2500000000000003e-09,0.0,False,1e-20,0.0703,0.0,False,0.63,0.0703,0.0,False,0.63,-0.00616,0.0,False,0.0,-0.00616,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.63,0.0,0.0,False,0.63,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
33,33.0,1,1,1962.5069,7502.09644,0.0,False,1.21e-06,0.0,False,1e-20,0.0728,0.0,False,0.7,0.0728,0.0,False,0.7,0.00556,0.0,False,0.0,0.00556,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.7,0.0,0.0,False,0.7,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
34,34.0,1,1,1874.973,7502.10534,0.0,False,3.87e-06,0.0,False,1e-20,0.0499,0.0,False,0.51,0.0499,0.0,False,0.51,-0.02223,0.0,False,0.0,-0.02223,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.51,0.0,0.0,False,0.51,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
35,35.0,1,1,1634.9671,7502.28561,0.0,False,8.210000000000001e-07,0.0,False,1e-20,0.1011,0.0,False,0.75,0.1011,0.0,False,0.75,-0.00056,0.0,False,0.0,-0.00056,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.75,0.0,0.0,False,0.75,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
36,36.0,1,1,1695.0686,7502.387146,0.0,False,2.76e-08,0.0,False,1e-20,0.0602,0.0,False,0.6,0.0602,0.0,False,0.6,-0.0015,0.0,False,0.0,-0.0015,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.6,0.0,0.0,False,0.6,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
37,37.0,1,1,4174.2872,7502.435034,0.0,False,1.12e-10,0.0,False,1e-20,0.0314,0.0,False,0.41,0.0314,0.0,False,0.41,-0.009171,0.0,False,0.0,-0.009171,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.41,0.0,0.0,False,0.41,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
38,38.0,1,1,1821.5968,7502.469075,0.0,False,1.4600000000000002e-08,0.0,False,1e-20,0.0915,0.0,False,0.73,0.0915,0.0,False,0.73,0.00534,0.0,False,0.0,0.00534,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.73,0.0,0.0,False,0.73,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
39,39.0,1,1,3136.4125,7502.52653,0.0,False,4.41e-09,0.0,False,1e-20,0.0442,0.0,False,0.41,0.0442,0.0,False,0.41,0.0036,0.0,False,0.0,0.0036,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.41,0.0,0.0,False,0.41,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
40,40.0,1,1,1255.1668,7502.615942,0.0,False,6.26e-05,0.0,False,1e-20,0.0784,0.0,False,0.7,0.0784,0.0,False,0.7,-0.00631,0.0,False,0.0,-0.00631,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.7,0.0,0.0,False,0.7,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
41,41.0,1,1,2042.7532,7502.618484,0.0,False,8.22e-07,0.0,False,1e-20,0.0788,0.0,False,0.64,0.0788,0.0,False,0.64,-0.00714,0.0,False,0.0,-0.00714,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.64,0.0,0.0,False,0.64,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
42,42.0,1,1,1437.9686,7502.62429,0.0,False,2.25e-05,0.0,False,1e-20,0.0732,0.0,False,0.63,0.0732,0.0,False,0.63,-0.01141,0.0,False,0.0,-0.01141,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.63,0.0,0.0,False,0.63,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
43,43.0,1,1,222.0528,7502.717301,0.0,False,2.73e-07,0.0,False,1e-20,0.0924,0.0,False,0.72,0.0924,0.0,False,0.72,-0.00275,0.0,False,0.0,-0.00275,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.72,0.0,0.0,False,0.72,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
44,44.0,1,1,1050.1577,7502.834921,0.0,False,2.2200000000000004e-05,0.0,False,1e-20,0.083,0.0,False,0.73,0.083,0.0,False,0.73,-0.00983,0.0,False,0.0,-0.00983,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.73,0.0,0.0,False,0.73,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
45,45.0,1,1,3141.0459,7502.871999,0.0,False,2.0099999999999998e-10,0.0,False,1e-20,0.0619,0.0,False,0.61,0.0619,0.0,False,0.61,-0.02875,0.0,False,0.0,-0.02875,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.61,0.0,0.0,False,0.61,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
46,46.0,1,1,3269.5388,7503.119177,0.0,False,1.7100000000000003e-09,0.0,False,1e-20,0.0382,0.0,False,0.36,0.0382,0.0,False,0.36,-0.02011,0.0,False,0.0,-0.02011,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.36,0.0,0.0,False,0.36,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
47,47.0,1,1,1616.4531,7503.350212,0.0,False,7.96e-05,0.0,False,1e-20,0.0808,0.0,False,0.73,0.0808,0.0,False,0.73,-0.01421,0.0,False,0.0,-0.01421,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.73,0.0,0.0,False,0.73,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
48,48.0,1,1,206.3014,7503.365021,0.0,False,0.000833,0.0,False,1e-20,0.0896,0.0,False,0.71,0.0896,0.0,False,0.71,-0.00555,0.0,False,0.0,-0.00555,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,0.71,0.0,0.0,False,0.71,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
