trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self
6280824,7,1,12892.85967,1.15E-30,6.43E-08,931.7431,45,49,       b      0,       X      0,               , N 25O 24     q,0.0376,0.63,-0.0089,0,0.117223643,0.63,0,0,0,1,0,0,0.039,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280825,7,1,12898.57522,9.49E-28,0.01863,2097.0889,37,39,       b      1,       X      1,               , P 19P 19     d,0.0434,0.64,-0.0083,0,0.114055436,0.64,0,0,0,1,0,0,0.043,0.64,0,0,0.12,0.64,0,0,0,1,0,0
6280826,7,1,12899.25,4.24E-29,0.02238,2956.34,89,91,       b      0,       X      0,               , P 45P 45     d,0.02,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0
6280827,7,1,12900.42124,8.96E-28,0.01743,2095.2429,37,37,       b      1,       X      1,               , P 19Q 18     d,0.0434,0.65,-0.0078,0,0.11088723,0.65,0,0,0,1,0,0,0.043,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280828,7,1,12900.86,4.15E-29,0.02173,2954.72,89,89,       b      0,       X      0,               , P 45Q 44     d,0.02,0.63,-0.01,0,0.117223643,0.63,0,0,0,1,0,0,0.03,0.75,-0.006,5.00E-05,0.1,0.75,0,0,0,1,0,0
6280829,7,1,12907.6724,1.42E-27,0.01884,1992.1165,33,35,       b      1,       X      1,               , P 17P 17     d,0.0447,0.65,-0.0075,0,0.11088723,0.65,0,0,0,1,0,0,0.045,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280830,7,1,12909.53715,1.33E-27,0.01748,1990.2517,33,33,       b      1,       X      1,               , P 17Q 16     d,0.0447,0.65,-0.0074,0,0.11088723,0.65,0,0,0,1,0,0,0.045,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280831,7,1,12913.21,1.38E-28,0.02245,2703.84,85,87,       b      0,       X      0,               , P 43P 43     d,0.02,0.63,-0.01,5.00E+05,0.1,0.63,0,0,0,1,0,0,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0
6280832,7,1,12913.98,2.11E-30,6.57E-08,791.4031,41,45,       b      0,       X      0,               , N 23O 22     q,0.0398,0.63,-0.0089,0,0.117223643,0.63,0,0,0,1,0,0,0.041,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280833,7,1,12914.84,1.35E-28,0.02175,2702.21,85,85,       b      0,       X      0,               , P 43Q 42     d,0.02,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0
6280834,7,1,12916.37887,2.00E-27,0.01909,1898.4477,29,31,       b      1,       X      1,               , P 15P 15     d,0.0458,0.66,-0.0074,0,0.107719023,0.66,0,0,0,1,0,0,0.047,0.66,0,0,0.113333333,0.66,0,0,0,1,0,0
6280835,7,1,12918.26291,1.85E-27,0.01755,1896.5637,29,29,       b      1,       X      1,               , P 15Q 14     d,0.0458,0.67,-0.0074,0,0.104550816,0.67,0,0,0,1,0,0,0.047,0.67,0,0,0.11,0.67,0,0,0,1,0,0
6280836,7,1,12924.69538,2.61E-27,0.01942,1816.0979,25,27,       b      1,       X      1,               , P 13P 13     d,0.0468,0.7,-0.0074,0,0.095046197,0.7,0,0,0,1,0,0,0.048,0.7,0,0,0.1,0.7,0,0,0,1,0,0
6280837,7,1,12926.59954,2.39E-27,0.01762,1814.1937,25,25,       b      1,       X      1,               , P 13Q 12     d,0.0468,0.72,-0.0074,0,0.088709784,0.72,0,0,0,1,0,0,0.048,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0
6280838,7,1,12926.78,4.26E-28,0.02251,2462.41,81,83,       b      0,       X      0,               , P 41P 41     d,0.02,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0
6280839,7,1,12928.43,4.16E-28,0.02179,2460.76,81,81,       b      0,       X      0,               , P 41Q 40     d,0.02,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0
6280840,7,1,12932.62248,3.16E-27,0.01985,1745.0806,21,23,       b      1,       X      1,               , P 11P 11     d,0.0478,0.72,-0.00755,0,0.088709784,0.72,0,0,0,1,0,0,0.049,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0
6280841,7,1,12934.54804,2.84E-27,0.0177,1743.155,21,21,       b      1,       X      1,               , P 11Q 10     d,0.0478,0.73,-0.0075,0,0.085541577,0.73,0,0,0,1,0,0,0.049,0.73,0,0,0.09,0.73,0,0,0,1,0,0
6280842,7,1,12934.74906,3.62E-30,6.69E-08,662.4359,37,41,       b      0,       X      0,               , N 21O 20     q,0.0417,0.64,-0.0085,0,0.114055436,0.64,0,0,0,1,0,0,0.042,0.64,0,0,0.12,0.64,0,0,0,1,0,0
6280843,7,1,12939.94,1.24E-27,0.02257,2232.08,77,79,       b      0,       X      0,               , P 39P 39     d,0.02,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0
6280844,7,1,12940.16049,3.52E-27,0.02047,1685.4073,17,19,       b      1,       X      1,               , P  9P  9     d,0.0491,0.74,-0.0075,0,0.082373371,0.74,0,0,0,1,0,0,0.049,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0
6280845,7,1,12941.61,1.21E-27,0.02182,2230.42,77,77,       b      0,       X      0,               , P 39Q 38     d,0.02,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0
6280846,7,1,12942.10961,3.09E-27,0.01781,1683.4581,17,17,       b      1,       X      1,               , P  9Q  8     d,0.0491,0.74,-0.0073,0,0.082373371,0.74,0,0,0,1,0,0,0.049,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0
6280847,7,1,12947.30948,3.57E-27,0.02145,1637.0878,13,15,       b      1,       X      1,               , P  7P  7     d,0.0507,0.73,-0.007,0,0.085541577,0.73,0,0,0,1,0,0,0.052,0.73,0,0,0.09,0.73,0,0,0,1,0,0
6280848,7,1,12949.28637,3.01E-27,0.01796,1635.1109,13,13,       b      1,       X      1,               , P  7Q  6     d,0.0507,0.73,-0.0071,0,0.085541577,0.73,0,0,0,1,0,0,0.052,0.73,0,0,0.09,0.73,0,0,0,1,0,0
6280849,7,1,12952.72,3.42E-27,0.02263,2012.89,73,75,       b      0,       X      0,               , P 37P 37     d,0.03,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0
6280850,7,1,12954.06936,3.20E-27,0.02327,1600.1301,9,11,       b      1,       X      1,               , P  5P  5     d,0.053,0.74,-0.0071,0,0.082373371,0.74,0,0,0,1,0,0,0.053,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0
6280851,7,1,12954.4,3.33E-27,0.02184,2011.21,73,73,       b      0,       X      0,               , P 37Q 36     d,0.03,0.63,-0.01,5.00E-05,0.1,0.63,0,0,0,1,0,0,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0
6280852,7,1,12955.16611,5.86E-30,6.88E-08,544.8622,33,37,       b      0,       X      0,               , N 19O 18     q,0.0434,0.65,-0.0078,0,0.11088723,0.65,0,0,0,1,0,0,0.043,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280853,7,1,12956.08378,2.53E-27,0.01823,1598.1157,9,9,       b      1,       X      1,               , P  5Q  4     d,0.053,0.72,-0.00645,0,0.088709784,0.72,0,0,0,1,0,0,0.053,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0
6280854,7,1,12960.43977,2.42E-27,0.02796,1574.5401,5,7,       b      1,       X      1,               , P  3P  3     d,0.0563,0.7,-0.0056,0,0.095046197,0.7,0,0,0,1,0,0,0.055,0.7,0,0,0.1,0.7,0,0,0,1,0,0
6280855,7,1,12962.5254,1.65E-27,0.0189,1572.4545,5,5,       b      1,       X      1,               , P  3Q  2     d,0.0563,0.71,-0.0097,5.00E-05,0.1,0.71,0,0,0,1,0,0,0.055,0.71,0,0,0.096666667,0.71,0,0,0,1,0,0
6297176,7,1,12965.11,8.89E-27,0.02271,1804.87,69,71,       b      0,       X      0,               , P 35P 35     d,0.03,0.63,-0.0097,5.00E-05,0.1,0.63,0,0,0,1,0,0.011486,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0.011486
6280857,7,1,12966.42018,1.30E-27,0.07,1560.3221,1,3,       b      1,       X      1,               , P  1P  1     d,0.0615,0.72,-0.0052,0,0.088709784,0.72,0,0,0,1,0,0,0.059,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0
6297177,7,1,12966.81,8.63E-27,0.02187,1803.17,69,69,       b      0,       X      0,               , P 35Q 34     d,0.03,0.63,-0.0096,5.00E-05,0.1,0.63,0,0,0,1,0,0.010002,0.03,0.75,-0.006,3.00E-05,0.1,0.75,0,0,0,1,0,0.010002
6280859,7,3,12970.80982,4.40E-30,0.0242,1752.6762,414,426,       b      0,       X      0,               , P 35P 35     d,0.0278,0.63,-0.0097,0,0.115323868,0.63,0,0,0,1,0,0,0.032,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280860,7,3,12972.51861,4.28E-30,0.02332,1750.9674,414,414,       b      0,       X      0,               , P 35Q 34     d,0.0278,0.63,-0.0096,0,0.115323868,0.63,0,0,0,1,0,0,0.032,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280861,7,1,12974.65777,6.49E-28,0.007015,1560.3221,5,3,       b      1,       X      1,               , R  1R  1     d,0.0563,0.71,-0.005,0,0.09187799,0.71,0,0,0,1,0,0,0.055,0.71,0,0,0.096666667,0.71,0,0,0,1,0,0
6280862,7,1,12975.23029,8.83E-30,7.06E-08,438.701,29,33,       b      0,       X      0,               , N 17O 16     q,0.0447,0.65,-0.0074,0,0.11088723,0.65,0,0,0,1,0,0,0.044,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280863,7,2,12975.869,2.67E-29,0.02231,1705.8516,69,71,       b      0,       X      0,               , P 35P 35     d,0.0278,0.63,-0.0097,0,0.113492229,0.63,0,0,0,1,0,0,0.032,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280864,7,1,12976.54288,1.51E-27,0.01613,1558.437,5,5,       b      1,       X      1,               , R  1Q  2     d,0.0563,0.71,-0.0051,0,0.09187799,0.71,0,0,0,1,0,0,0.055,0.71,0,0,0.096666667,0.71,0,0,0,1,0,0
6280865,7,3,12976.67724,6.85E-30,0.02424,1655.7848,402,414,       b      0,       X      0,               , P 34P 34     d,0.0286,0.63,-0.0096,0,0.115323868,0.63,0,0,0,1,0,0,0.032,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6297178,7,1,12977.11,2.18E-26,0.02278,1608.07,65,67,       b      0,       X      0,               , P 33P 33     d,0.03,0.63,-0.01078,5.00E-05,0.1,0.63,0,0,0,1,0,0.006543,0.03,0.75,-0.0072,3.00E-05,0.1,0.75,0,0,0,1,0,0.006543
6280867,7,2,12977.58485,2.59E-29,0.02151,1704.1358,69,69,       b      0,       X      0,               , P 35Q 34     d,0.0278,0.63,-0.0096,0,0.113492229,0.63,0,0,0,1,0,0,0.032,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280868,7,3,12978.39436,6.65E-30,0.02333,1654.0677,402,402,       b      0,       X      0,               , P 34Q 33     d,0.0286,0.63,-0.0095,0,0.115323868,0.63,0,0,0,1,0,0,0.032,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6297179,7,1,12978.82,2.12E-26,0.02189,1606.35,65,65,       b      0,       X      0,               , P 33Q 32     d,0.03,0.63,-0.01058,5.00E-05,0.1,0.63,0,0,0,1,0,0.00579,0.03,0.75,-0.00674,3.00E-05,0.1,0.75,0,0,0,1,0,0.00579
6280870,7,1,12979.65931,1.82E-27,0.01171,1574.5401,9,7,       b      1,       X      1,               , R  3R  3     d,0.053,0.72,-0.0059,0,0.088709784,0.72,0,0,0,1,0,0,0.053,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0
6280871,7,2,12981.57708,4.10E-29,0.02235,1611.5421,67,69,       b      0,       X      0,               , P 34P 34     d,0.0286,0.63,-0.0096,0,0.113492229,0.63,0,0,0,1,0,0,0.032,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280872,7,1,12981.61569,2.63E-27,0.01679,1572.5838,9,9,       b      1,       X      1,               , R  3Q  4     d,0.053,0.72,-0.00645,0,0.088709784,0.72,0,0,0,1,0,0,0.053,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0
6280873,7,3,12982.45146,1.05E-29,0.02428,1561.619,390,402,       b      0,       X      0,               , P 33P 33     d,0.0294,0.63,-0.0095,0,0.115323868,0.63,0,0,0,1,0,0,0.033,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280874,7,2,12983.30102,3.98E-29,0.02152,1609.8182,67,67,       b      0,       X      0,               , P 34Q 33     d,0.0286,0.63,-0.0095,0,0.113492229,0.63,0,0,0,1,0,0,0.032,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280875,7,3,12984.17691,1.02E-29,0.02336,1559.8935,390,390,       b      0,       X      0,               , P 33Q 32     d,0.0294,0.63,-0.0094,0,0.115323868,0.63,0,0,0,1,0,0,0.033,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280876,7,1,12984.26721,2.67E-27,0.01352,1600.1301,13,11,       b      1,       X      1,               , R  5R  5     d,0.0507,0.73,-0.0061,0,0.085541577,0.73,0,0,0,1,0,0,0.052,0.73,0,0,0.09,0.73,0,0,0,1,0,0
6280877,7,1,12986.26122,3.40E-27,0.01705,1598.1361,13,13,       b      1,       X      1,               , R  5Q  6     d,0.0507,0.73,-0.0071,0,0.085541577,0.73,0,0,0,1,0,0,0.052,0.73,0,0,0.09,0.73,0,0,0,1,0,0
6280878,7,2,12987.19458,6.21E-29,0.02238,1519.8867,65,67,       b      0,       X      0,               , P 33P 33     d,0.0294,0.63,-0.0095,0,0.113492229,0.63,0,0,0,1,0,0,0.033,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280879,7,3,12988.13277,1.59E-29,0.02432,1470.1824,378,390,       b      0,       X      0,               , P 32P 32     d,0.0303,0.63,-0.0094,0,0.115323868,0.63,0,0,0,1,0,0,0.033,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280880,7,1,12988.47994,3.13E-27,0.01449,1637.0878,17,15,       b      1,       X      1,               , R  7R  7     d,0.0491,0.74,-0.00615,0,0.082373371,0.74,0,0,0,1,0,0,0.049,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0
6297180,7,1,12988.72,5.06E-26,0.02287,1422.5,61,63,       b      0,       X      0,               , P 31P 31     d,0.03,0.63,-0.01056,5.00E-05,0.1,0.63,0,0,0,1,0,0.004168,0.03,0.75,-0.00735,3.00E-05,0.1,0.75,0,0,0,1,0,0.004168
6280882,7,2,12988.92663,6.02E-29,0.02153,1518.1547,65,65,       b      0,       X      0,               , P 33Q 32     d,0.0294,0.63,-0.0094,0,0.113492229,0.63,0,0,0,1,0,0,0.033,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280883,7,3,12989.86658,1.54E-29,0.02336,1468.4486,378,378,       b      0,       X      0,               , P 32Q 31     d,0.0303,0.63,-0.0093,0,0.115323868,0.63,0,0,0,1,0,0,0.033,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6297181,7,1,12990.46,4.89E-26,0.02192,1420.76,61,61,       b      0,       X      0,               , P 31Q 30     d,0.03,0.63,-0.01066,5.00E-05,0.1,0.63,0,0,0,1,0,0.003755,0.03,0.75,-0.0066,3.00E-05,0.1,0.75,0,0,0,1,0,0.003755
6280885,7,1,12990.50183,3.75E-27,0.01719,1635.0659,17,17,       b      1,       X      1,               , R  7Q  8     d,0.0491,0.74,-0.0073,0,0.082373371,0.74,0,0,0,1,0,0,0.049,0.74,0,0,0.086666667,0.74,0,0,0,1,0,0
6280886,7,1,12992.29577,3.18E-27,0.01509,1685.4073,21,19,       b      1,       X      1,               , R  9R  9     d,0.0478,0.73,-0.0062,0,0.085541577,0.73,0,0,0,1,0,0,0.049,0.73,0,0,0.09,0.73,0,0,0,1,0,0
6280887,7,2,12992.7218,9.29E-29,0.02242,1430.8889,63,65,       b      0,       X      0,               , P 32P 32     d,0.0303,0.63,-0.0094,0,0.113492229,0.63,0,0,0,1,0,0,0.033,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280888,7,3,12993.72146,2.37E-29,0.02437,1381.4787,366,378,       b      0,       X      0,               , P 31P 31     d,0.0312,0.63,-0.0093,0,0.115323868,0.63,0,0,0,1,0,0,0.034,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280889,7,1,12994.34139,3.68E-27,0.01729,1683.3616,21,21,       b      1,       X      1,               , R  9Q 10     d,0.0478,0.73,-0.0075,0,0.085541577,0.73,0,0,0,1,0,0,0.049,0.73,0,0,0.09,0.73,0,0,0,1,0,0
6280890,7,2,12994.46197,9.00E-29,0.02155,1429.1487,63,63,       b      0,       X      0,               , P 32Q 31     d,0.0303,0.63,-0.0093,0,0.113492229,0.63,0,0,0,1,0,0,0.033,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280891,7,1,12994.94056,1.25E-29,7.34E-08,343.9694,25,29,       b      0,       X      0,               , N 15O 14     q,0.0458,0.67,-0.0074,0,0.104550816,0.67,0,0,0,1,0,0,0.046,0.67,0,0,0.11,0.67,0,0,0,1,0,0
6280892,7,3,12995.46366,2.30E-29,0.02338,1379.7365,366,366,       b      0,       X      0,               , P 31Q 30     d,0.0312,0.63,-0.0093,0,0.115323868,0.63,0,0,0,1,0,0,0.034,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280893,7,1,12995.71274,2.91E-27,0.01551,1745.0806,25,23,       b      1,       X      1,               , R 11R 11     d,0.0468,0.72,-0.00665,0,0.088709784,0.72,0,0,0,1,0,0,0.048,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0
6280894,7,1,12997.77995,3.29E-27,0.01735,1743.0133,25,25,       b      1,       X      1,               , R 11Q 12     d,0.0468,0.72,-0.0074,0,0.088709784,0.72,0,0,0,1,0,0,0.048,0.72,0,0,0.093333333,0.72,0,0,0,1,0,0
6280895,7,2,12998.15899,1.37E-28,0.02246,1344.552,61,63,       b      0,       X      0,               , P 31P 31     d,0.0312,0.63,-0.0093,0,0.113492229,0.63,0,0,0,1,0,0,0.034,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280896,7,1,12998.72867,2.44E-27,0.01581,1816.0979,29,27,       b      1,       X      1,               , R 13R 13     d,0.0458,0.67,-0.0072,0,0.104550816,0.67,0,0,0,1,0,0,0.047,0.67,0,0,0.11,0.67,0,0,0,1,0,0
6280897,7,3,12999.21781,3.49E-29,0.02442,1295.5114,354,366,       b      0,       X      0,               , P 30P 30     d,0.0322,0.63,-0.0093,0,0.115323868,0.63,0,0,0,1,0,0,0.035,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280898,7,2,12999.90731,1.33E-28,0.02156,1342.8037,61,61,       b      0,       X      0,               , P 31Q 30     d,0.0312,0.63,-0.0093,0,0.113492229,0.63,0,0,0,1,0,0,0.034,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6297182,7,1,12999.96,1.11E-25,0.02296,1248.2,57,59,       b      0,       X      0,               , P 29P 29     d,0.03,0.63,-0.0116815,5.00E-05,0.1,0.63,0,0,0,1,0,0.002911,0.04,0.75,-0.0036454,3.00E-05,0.1,0.75,0,0,0,1,0,0.002911
6280900,7,1,13000.81622,2.71E-27,0.0174,1814.0104,29,29,       b      1,       X      1,               , R 13Q 14     d,0.0458,0.67,-0.0074,0,0.104550816,0.67,0,0,0,1,0,0,0.047,0.67,0,0,0.11,0.67,0,0,0,1,0,0
6280901,7,3,13000.96841,3.37E-29,0.02338,1293.7607,354,354,       b      0,       X      0,               , P 30Q 29     d,0.0322,0.63,-0.0092,0,0.115323868,0.63,0,0,0,1,0,0,0.035,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280902,7,1,13001.34118,1.88E-27,0.01604,1898.4477,33,31,       b      1,       X      1,               , R 15R 15     d,0.0447,0.65,-0.0073,0,0.11088723,0.65,0,0,0,1,0,0,0.045,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6297183,7,1,13001.71,1.07E-25,0.02194,1246.45,57,57,       b      0,       X      0,               , P 29Q 28     d,0.03,0.63,-0.0117415,5.00E-05,0.1,0.63,0,0,0,1,0,0.002665,0.04,0.75,-0.0038356,3.00E-05,0.1,0.75,0,0,0,1,0,0.002665
6280904,7,1,13002.18632,1.44E-30,2.98E-07,1245.9718,57,61,       b      0,       X      0,               , P 29O 30     q,0.0312,0.63,-0.0093,0,0.117223643,0.63,0,0,0,1,0,0,0.034,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280905,7,1,13003.44828,2.07E-27,0.01744,1896.3406,33,33,       b      1,       X      1,               , R 15Q 16     d,0.0447,0.65,-0.0074,0,0.11088723,0.65,0,0,0,1,0,0,0.045,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280906,7,2,13003.50642,1.99E-28,0.0225,1260.8794,59,61,       b      0,       X      0,               , P 30P 30     d,0.0322,0.63,-0.0093,0,0.113492229,0.63,0,0,0,1,0,0,0.035,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280907,7,1,13003.54764,1.36E-27,0.01623,1992.1165,37,35,       b      1,       X      1,               , R 17R 17     d,0.0434,0.65,-0.0075,0,0.11088723,0.65,0,0,0,1,0,0,0.043,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280908,7,3,13004.62208,5.06E-29,0.02446,1212.2838,342,354,       b      0,       X      0,               , P 29P 29     d,0.0332,0.63,-0.0092,0,0.115323868,0.63,0,0,0,1,0,0,0.035,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280909,7,2,13005.26291,1.92E-28,0.02156,1259.123,59,59,       b      0,       X      0,               , P 30Q 29     d,0.0322,0.63,-0.0092,0,0.113492229,0.63,0,0,0,1,0,0,0.035,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280910,7,1,13005.34522,9.09E-28,0.01637,2097.0889,41,39,       b      1,       X      1,               , R 19R 19     d,0.0417,0.64,-0.0073,0,0.114055436,0.64,0,0,0,1,0,0,0.043,0.64,0,0,0.12,0.64,0,0,0,1,0,0
6280911,7,1,13005.67376,1.47E-27,0.01748,1989.9904,37,37,       b      1,       X      1,               , R 17Q 18     d,0.0434,0.65,-0.0078,0,0.11088723,0.65,0,0,0,1,0,0,0.043,0.65,0,0,0.116666667,0.65,0,0,0,1,0,0
6280912,7,3,13006.38112,4.88E-29,0.0234,1210.5248,342,342,       b      0,       X      0,               , P 29Q 28     d,0.0332,0.63,-0.0091,0,0.115323868,0.63,0,0,0,1,0,0,0.035,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280913,7,1,13006.73085,5.71E-28,0.01649,2213.3478,45,43,       b      1,       X      1,               , R 21R 21     d,0.0398,0.63,-0.0083,0,0.117223643,0.63,0,0,0,1,0,0,0.042,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
6280914,7,1,13007.49001,9.82E-28,0.0175,2094.9441,41,41,       b      1,       X      1,               , R 19Q 20     d,0.0417,0.64,-0.0085,0,0.114055436,0.64,0,0,0,1,0,0,0.043,0.64,0,0,0.12,0.64,0,0,0,1,0,0
6280915,7,1,13007.70125,3.37E-28,0.01659,2340.874,49,47,       b      1,       X      1,               , R 23R 23     d,0.0376,0.63,-0.0091,0,0.117223643,0.63,0,0,0,1,0,0,0.04,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0
