Segment Number,Wavenumber (cm-1),Wavenumber + Noise (cm-1),Alpha (ppm/cm),Alpha + Noise (ppm/cm),CIA (ppm/cm),Noise (%),Pressure (Torr),Temperature (C)
0,6359.1277559999935,6359.127756701676,-0.0018848491910242286,-0.00159196151879689,0.0,0.03785133380026187,268.99999999999994,22.850000000000023
0,6359.134527999993,6359.134528480564,-0.004370677109892641,-0.004302602117116891,0.0,0.00879767064079529,268.99999999999994,22.850000000000023
0,6359.141299999993,6359.1412994658585,-0.002437115417487878,-0.0024105183652682843,0.0,0.0034372696331357298,268.99999999999994,22.850000000000023
0,6359.148071999993,6359.14807126908,-0.004276311372525423,-0.004053043283682537,0.0,0.028854048015988138,268.99999999999994,22.850000000000023
0,6359.154843999992,6359.154844062848,-0.004149154153635261,-0.004555087499144582,0.0,-0.05246078964226245,268.99999999999994,22.850000000000023
0,6359.161615999992,6359.161616750919,-0.0020125996070938295,-0.0022652643106469564,0.0,-0.03265311906439784,268.99999999999994,22.850000000000023
0,6359.168387999992,6359.1683876723255,-0.0044221935249080585,-0.003926237822733407,0.0,0.0640948275166213,268.99999999999994,22.850000000000023
0,6359.175159999992,6359.175159637436,-0.002385879564537544,-0.002805921436485877,0.0,-0.054284104838876,268.99999999999994,22.850000000000023
0,6359.181931999991,6359.181931610736,-0.004295904107983611,-0.004592133904745624,0.0,-0.03828325321292256,268.99999999999994,22.850000000000023
0,6359.188703999991,6359.188703801276,-0.003916624429043131,-0.00353961835909422,0.0,0.048722373631638,268.99999999999994,22.850000000000023
0,6359.195475999991,6359.195475811155,-0.0018716036545676543,-0.00142809632213971,0.0,0.05731666326182391,268.99999999999994,22.850000000000023
0,6359.2022479999905,6359.2022477197,-0.004193677409943765,-0.0038844797870879726,0.0,0.03995915001802409,268.99999999999994,22.850000000000023
0,6359.20901999999,6359.209019889338,-0.0020649734722666337,-0.002056328183631307,0.0,0.0011172737433665946,268.99999999999994,22.850000000000023
0,6359.21579199999,6359.215792216061,-0.004039000490262421,-0.00459036879790365,0.0,-0.07125607472893018,268.99999999999994,22.850000000000023
0,6359.22256399999,6359.222563181887,-0.0034100516740185024,-0.0030655739467179465,0.0,0.04451857377147691,268.99999999999994,22.850000000000023
0,6359.229335999989,6359.229336050864,-0.0014663691779551802,-0.001553979918057477,0.0,-0.011322372645052859,268.99999999999994,22.850000000000023
0,6359.236107999989,6359.236107738313,-0.00369300818574807,-0.003315244898877802,0.0,0.048820232548783676,268.99999999999994,22.850000000000023
0,6359.242879999989,6359.242880332239,-0.0014856102949218513,-0.002653306796203424,0.0,-0.15090723932245154,268.99999999999994,22.850000000000023
0,6359.249651999989,6359.24965195235,-0.003519351820098935,-0.0033262725895137537,0.0,0.02495259138494822,268.99999999999994,22.850000000000023
0,6359.256423999988,6359.256423387545,-0.0026470688954915492,-0.00186175643047566,0.0,0.10148984429686184,268.99999999999994,22.850000000000023
0,6359.263195999988,6359.2631960845,-0.0008168658382784379,-0.0013940910154507605,0.0,-0.07459768686374053,268.99999999999994,22.850000000000023
0,6359.269967999988,6359.269967682075,-0.0029433540316267798,-0.0029683753364603167,0.0,-0.003233627944016656,268.99999999999994,22.850000000000023
0,6359.2767399999875,6359.276739790283,-0.0006739826751288199,-0.0013283183503981035,0.0,-0.08456306089528057,268.99999999999994,22.850000000000023
0,6359.283511999987,6359.283511594614,-0.002765423042913195,-0.002443662960385496,0.0,0.041582659299850624,268.99999999999994,22.850000000000023
0,6359.290283999987,6359.290283532634,-0.0016596762748753544,-0.0010404977699252505,0.0,0.08001952453165032,268.99999999999994,22.850000000000023
0,6359.297055999987,6359.297054715273,4.297660127125101e-05,0.0004959952820211726,0.0,0.05854586221542918,268.99999999999994,22.850000000000023
0,6359.303827999986,6359.3038281532845,-0.0019814732137437853,-0.0020987430731924037,0.0,-0.01515536847605537,268.99999999999994,22.850000000000023
