Iterations,gamma0_air,delta0_air,SD_gamma_air,SD_delta_air,nuVC_air,y_air,gamma0_air_fit,gamma0_air_fit_err,delta0_air_fit,delta0_air_fit_err,nuVC_air_fit,nuVC_air_fit_err,SD_gamma_air_fit,SD_gamma_air_fit_err,SD_delta_air_fit,SD_delta_air_fit_err,QF_1,QF_2,QF_3,QF_4,QF_5,QF_6,QF_7,QF_8
21,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07463148728077962,2.0005036618186208e-05,-0.005413457408856142,2.7493261797149534e-05,0.0007362594065900239,0.0002643465114105456,0.1017728967136488,0.0,0.034914464801865545,0.013293503168106886,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
22,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07460697230557352,2.6325778779783533e-05,-0.005451511937884386,3.632545338833404e-05,0.00015342119028959522,0.00034702946503984886,0.1041532757078304,0.0,0.08210209854847723,0.016981272513506646,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
23,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07458909478846998,2.0802375372708043e-05,-0.005410789442384946,2.850115674929232e-05,0.0011012149901974094,0.00027491428083043873,0.1007550835073425,0.0,0.07142080877158585,0.013820138874892232,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
24,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07463006662745246,2.008914857144813e-05,-0.005391930662005873,2.7714492017476507e-05,0.00016671809026782915,0.00026496990818903796,0.1037685696306803,0.0,0.06656188956201635,0.013160074601794578,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
25,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07451719330511614,2.65403287162048e-05,-0.005448456094429901,3.639923203629272e-05,1.9323060700168303e-14,0.0003462447456587213,0.1013401359126207,0.0,0.060964917048116636,0.01723690825543592,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
26,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07468387454598509,6.283915286911087e-05,-0.0053764811724189565,8.65451276681846e-05,2.9836666821107483e-11,0.0008262797521821826,0.1030122011072278,0.0,0.07967430542603135,0.04121543256418626,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
27,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07467318563825757,2.139114377034001e-05,-0.005392157318265464,2.9524244680919268e-05,2.996507459535951e-40,0.0002820266938841374,0.1045758126249866,0.0,0.054350563208300465,0.013977955242625621,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
28,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07459323509800168,2.105383877879735e-05,-0.005394563363989515,2.89154274193069e-05,0.00044323670183643463,0.0002768397697944691,0.1016234967753526,0.0,0.052437194521198376,0.013929839331345239,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
29,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.0746239964066296,2.0050518775608557e-05,-0.005409707129619789,2.7571250316032022e-05,0.0004460120004703488,0.0002642420180506323,0.1024020231266041,0.0,0.050875700824859406,0.013210755011606332,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
30,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07457753561664783,2.0280231142403292e-05,-0.005380118204272418,2.7767839243605556e-05,0.0011375347715442887,0.0002679510300684964,0.1006325344970171,0.0,0.04886585199759864,0.013610917124783855,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
31,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07451791408742878,2.0729078922882563e-05,-0.005382562961374316,2.8334549505036983e-05,0.001234565304994704,0.00027329818626089933,0.0993470441406642,0.0,0.03181776958259539,0.014007239693070462,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
32,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07473156353186117,2.0361780699797002e-05,-0.005432126418439601,2.831625970405407e-05,1.1575941946583894e-33,0.0002711334113313709,0.1073562488977407,0.0,0.05546592747833345,0.013160986436168648,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
33,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.0745278122442968,2.046395135856126e-05,-0.005401383441670377,2.779675373184291e-05,0.0018116343709264323,0.00026935829479969977,0.0966310093277329,0.0,0.062396843412887947,0.01388964941409855,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
34,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07456448500560164,2.0463813442866976e-05,-0.005429943404722703,2.801582809739186e-05,0.0011853129493764488,0.00027026246972657075,0.1002340124431121,0.0,0.06108617716782952,0.013604902046901632,12.0,11.0,11.0,10.0,9.0,8.0,7.0,7.0
35,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07463427351942363,2.0427271093439295e-05,-0.005423708922827803,2.81869852914119e-05,0.00045233094775229865,0.00027046749813834127,0.1041877360267843,0.0,0.0880817963524931,0.013284302032102813,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
36,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07462702407354001,2.740463024182956e-05,-0.00540644196083055,3.760842757152473e-05,0.0005081272197002815,0.00036065060532838335,0.1015913683025238,0.0,0.04666260455721393,0.01811921421239939,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
37,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07457765716312156,2.0760860662122267e-05,-0.005387118524450211,2.8468023286226618e-05,0.0009163981994955529,0.0002738390574026359,0.1008105324392242,0.0,0.06354102452078761,0.013843650817581295,12.0,11.0,11.0,10.0,9.0,8.0,7.0,7.0
38,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07454040612848153,1.9939152626679212e-05,-0.005432980632625374,2.723263765816398e-05,0.0008940593390237742,0.0002615738076579726,0.0993742821493995,0.0,0.05203332187676573,0.013227263680596756,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
39,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07454978989936464,2.1172129550759812e-05,-0.005437432224646693,2.879939065274117e-05,0.0011725108350945086,0.00027733402160374517,0.0978028876292448,0.0,0.05275831093930013,0.014127669816213342,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
40,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07468622056883355,2.572852872223418e-05,-0.005470310556275731,3.5547414600634325e-05,1.381549648073497e-09,0.0003395062963310189,0.1045588877026675,0.0,0.07930679618005121,0.016511100205853623,12.0,11.0,11.0,10.0,9.0,8.0,7.0,7.0
41,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07459144768496438,2.0370612172561408e-05,-0.005425361010288024,2.7956276950652774e-05,0.00031171735233305177,0.0002673180097669122,0.1018236496332773,0.0,0.053105880296745775,0.013357904657807807,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
42,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07455901195157852,,-0.0053981933615341775,,2.3235756651392706e-07,,0.1010831130139969,,0.049851752394386314,,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
43,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07455911923102482,2.1051544724744182e-05,-0.0054102852594815854,2.8771387955399098e-05,0.000709640612759281,0.0002760663972949045,0.0998898736588977,0.0,0.05060184252791039,0.01397376668090742,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
44,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07460224579029509,2.1709905370240216e-05,-0.005445738066511448,2.980428087442953e-05,3.2626608703057186e-05,0.00028395863282818813,0.1019724738225661,0.0,0.06527354960177147,0.014082948435824603,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
45,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.0746593241989921,2.5948174987921295e-05,-0.005402179644583491,3.593996489934514e-05,3.0324559543334755e-20,0.00034348419448197617,0.1056440985012768,0.0,0.03552616604148411,0.01696722454495469,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
46,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07456473548708292,2.020377952633042e-05,-0.0054273671642329265,2.771603859102645e-05,0.0003658216031983809,0.0002650624914693971,0.101458235949633,0.0,0.03901116740712871,0.013297383366946568,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
47,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07463249049555448,2.0111870159293478e-05,-0.005391095531627349,2.773190296972953e-05,7.134725344214464e-05,0.0002649422317214603,0.1036585433239919,0.0,0.02557017124565791,0.013259392579322567,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
48,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07464247609718615,2.021257600033457e-05,-0.005397591021928032,2.785611149771481e-05,0.00033509228887995815,0.00026692015080030055,0.103810319368978,0.0,0.06444555704672773,0.013247568574609821,12.0,11.0,11.0,10.0,9.0,8.0,7.0,7.0
49,0.07458177159668157,-0.005414558060236127,0.10115835025772671,0.055,0.0006808547333124935,0.0,0.07458239179987576,2.6887082079225783e-05,-0.005458314221294971,3.6888559445645025e-05,3.243703005282842e-13,0.00035126484840364763,0.1020563482229327,0.0,0.07546968504874656,0.017352979972624603,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
