Spectrum Number,Spectrum Name,Wavenumber (cm-1),Pressure (atm),Temperature (K),alpha10^-6 cm^-1,Model10^-6 cm^-1,Residuals10^-6 cm^-1,QF,Background,CIA (cm-1)
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.160451,0.10948164585526315,296.31544811,1.97706905,1.9769776513146817,9.139868531837791e-05,1642.0,1.9748716818478471,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.167225,0.10948164585526315,296.31544811,1.974942003,1.9744210309538668,0.0005209720461332168,1642.0,1.9724512781088597,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.173998,0.10948164585526315,296.31544811,1.976816189,1.976257583217599,0.0005586057824009671,1642.0,1.9745109003864154,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.180772,0.10948164585526315,296.31544811,1.97424672,1.9742627287870385,-1.6008787038446215e-05,1642.0,1.9727357017541323,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.187546,0.10948164585526315,296.31544811,1.97408123,1.9740859286678984,-4.698667898539455e-06,1642.0,1.9727120649941243,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.194319,0.10948164585526315,296.31544811,1.97548786,1.9756821477678874,-0.0001942877678873245,1642.0,1.9744190311418355,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.201093,0.10948164585526315,296.31544811,1.973379084,1.9731565400518545,0.00022254394814558154,1642.0,1.9719821934591777,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.207867,0.10948164585526315,296.31544811,1.975332837,1.9751359733823652,0.00019686361763482374,1642.0,1.9740368224155953,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.21464,0.10948164585526315,296.31544811,1.973260005,1.9731102211965574,0.00014978380344254916,1642.0,1.9720765725471867,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.221414,0.10948164585526315,296.31544811,1.973528241,1.9731694879919142,0.00035875300808574373,1642.0,1.9721938455781114,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.228188,0.10948164585526315,296.31544811,1.974325359,1.974627445964977,-0.0003020869649770219,1642.0,1.9737037324043474,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.234961,0.10948164585526315,296.31544811,1.972278716,1.9721448714234087,0.0001338445765912688,1642.0,1.9712680086560466,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.241735,0.10948164585526315,296.31544811,1.974213675,1.974146860897086,6.681410291387024e-05,1642.0,1.9733125389254438,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.248509,0.10948164585526315,296.31544811,1.971283499,1.9719777071083298,-0.0006942081083296525,1642.0,1.9711821969228018,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.255282,0.10948164585526315,296.31544811,1.972096484,1.9722074400615417,-0.00011095606154176707,1642.0,1.9714474794753036,0.0
