Iterations,gamma0_air,delta0_air,SD_gamma_air,SD_delta_air,nuVC_air,y_air,gamma0_air_fit,gamma0_air_fit_err,delta0_air_fit,delta0_air_fit_err,nuVC_air_fit,nuVC_air_fit_err,SD_gamma_air_fit,SD_gamma_air_fit_err,SD_delta_air_fit,SD_delta_air_fit_err,QF_1,QF_2,QF_3,QF_4,QF_5,QF_6,QF_7,QF_8,QF_9,QF_10,QF_11
10,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07455703421701772,7.757109794444877e-06,-0.005402005195489487,1.0010340983378154e-05,0.001219410817773537,9.63940046020239e-05,0.0994262833177162,0.0,0.04952645057108611,0.005226444215599536,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
11,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.0745000172737441,7.92609797912594e-06,-0.005418358771216524,1.0180467696463276e-05,0.0015417934478138397,9.823994256658203e-05,0.0972242114655635,0.0,0.05496821395122554,0.005366237997066644,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
12,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07455718483644064,6.190802900445651e-06,-0.005415110260055244,7.97259976298232e-06,0.001327342683044547,7.683381815286367e-05,0.0987892654138802,0.0,0.06000027975508704,0.004161625109087546,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,15.0,14.0
13,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07461397930181754,7.746278646038779e-06,-0.0054205202152254345,1.0074575036662002e-05,3.1003621596449634e-05,9.589761823510465e-05,0.1033157966996178,0.0,0.06075104497358093,0.005064227072817219,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
14,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07455721596066182,6.016484288709366e-06,-0.005410410801588909,7.76907530313215e-06,0.0008505857561814258,7.451752566529531e-05,0.0999093321926624,0.0,0.05133031874431069,0.004019584420895547,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
15,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07455150288350312,5.999845261780076e-06,-0.0054161972275928,7.736006068891168e-06,0.0010134149919450784,7.432890690550741e-05,0.0997428813902029,0.0,0.05813978832748866,0.004004913873938665,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
16,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07464660971434312,1.5707982286660893e-05,-0.005403193198965621,2.04841075202553e-05,4.296546681085078e-19,0.00019505253563117852,0.1046111577296189,0.0,0.04927137680780738,0.010293683674094497,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
17,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.0745831230817924,6.143954014368343e-06,-0.00539861264209663,7.94084792402774e-06,0.0008927216324054739,7.62379675627149e-05,0.1007552230788481,0.0,0.0577127440369962,0.004100618621049934,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
18,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07455492115954555,,-0.005391239823232774,,0.0009604312292181789,,0.0997454592467754,,0.04753946917962231,,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
19,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07456313786670708,6.0552178068025795e-06,-0.005421188792501192,7.82639083078268e-06,0.0007310796559371405,7.496656461180224e-05,0.1004882354126502,0.0,0.06151798093060501,0.004017043454012489,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,15.0,14.0
20,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.0745966244566748,7.90521483851589e-06,-0.00541320201314105,1.023479666895704e-05,0.0007376110887585679,9.811327161309858e-05,0.101330276413201,0.0,0.05909274172543086,0.005246535819070505,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,15.0,14.0
21,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.0746121888641479,1.5737954524085714e-05,-0.005402373113633702,2.0409108289933756e-05,0.0009599771342161894,0.00019610944393615368,0.1014985962072519,0.0,0.05096017771555608,0.0105238368213916,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
22,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.0745894803480736,6.240283896577377e-06,-0.005413459097458957,8.084373078815397e-06,0.0007123471763798413,7.744262317815271e-05,0.1011648461342155,0.0,0.061365679294831436,0.004142951748980118,12.0,11.0,11.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
23,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07453154652014145,6.230383759359875e-06,-0.0054321936461208895,8.022172600984554e-06,0.001033824652905124,7.706312246080711e-05,0.0989164817323185,0.0,0.05897671413940446,0.004155644822222327,12.0,11.0,11.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
24,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07468644868273144,1.7319925588805993e-05,-0.005423853318470617,2.2665680044262544e-05,1.1272799962725432e-12,0.00021594626619394602,0.1059185206236333,0.0,0.0502473865623463,0.011290794002267898,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
25,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.0745371887698123,6.105756303033325e-06,-0.005409714536695838,7.864946480177314e-06,0.0011109441403732842,7.562553885657185e-05,0.0989265997160021,0.0,0.04990048361858309,0.004102086586450922,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
26,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07457896294782387,1.6016541091323705e-05,-0.0054195787465999715,2.075016024469325e-05,0.0006097946683074558,0.00019861260896745516,0.1016018662795737,0.0,0.053719034346793794,0.010603224696212598,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,15.0,14.0
27,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07459752504599684,6.0391329795272465e-06,-0.005415782872716775,7.842384435485668e-06,0.00035911019981085335,7.489360823487512e-05,0.1027915091551326,0.0,0.05725741174078062,0.003973923383515517,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
28,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07456413188758804,6.160408396518445e-06,-0.005401935877651053,7.970131978949689e-06,0.000725722000515334,7.635585940280806e-05,0.1009042471048571,0.0,0.05867849584319844,0.004100189109371765,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
29,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07461988205475291,6.1894653949559066e-06,-0.00541604309844684,8.033279738415962e-06,0.0004734807838312842,7.683053773816794e-05,0.1026360934903993,0.0,0.05306534493943421,0.004083653577442948,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
30,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07464859343759883,6.043555010357754e-06,-0.00542034737555229,7.878808789929254e-06,0.00015084971354787754,7.511875139438796e-05,0.1039551219984338,0.0,0.05624203340324181,0.003960346309287553,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
31,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07449595157662477,6.238796219135982e-06,-0.005396598914086987,7.993638746388443e-06,0.001535891053361268,7.715390688523791e-05,0.0968110689544604,0.0,0.05574079267460615,0.004236505266876597,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,15.0,14.0
32,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.0746400526003517,6.107958901982931e-06,-0.005418092642126855,7.959256092523179e-06,7.197321380075361e-18,7.578233390637546e-05,0.1040913538166956,0.0,0.0475532986206653,0.003998680633227978,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
33,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07460052357515369,9.226961217029946e-06,-0.005428863602274135,1.196183000357981e-05,0.00013132076655750712,0.00011399777835950116,0.1023392066379884,0.0,0.06432757366309326,0.006031854531386743,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
34,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07457867039946735,6.041608410792043e-06,-0.005423820704618872,7.823014479684104e-06,0.0007647383755660547,7.49948327325939e-05,0.1013647862246212,0.0,0.06025432862243464,0.0040015016971785685,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
35,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07456013704991074,5.903194718497002e-06,-0.005426637605667414,7.626467548080738e-06,0.0009090008521430556,7.318027660929984e-05,0.1001036921187027,0.0,0.060614151416064674,0.0039270473412366625,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
36,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07454780594968692,6.181750204720888e-06,-0.005419853942014521,7.962750584449421e-06,0.0010511273538562997,7.652245447846956e-05,0.0991340358736806,0.0,0.056422399284193285,0.004133401418664928,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
37,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07447741109498072,7.94785634549656e-06,-0.005416459476057515,1.0156767896193178e-05,0.001958488068791828,9.838695070649431e-05,0.0951675633282505,0.0,0.06187916524312597,0.005425481552386861,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,15.0,14.0
38,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07454518081244507,6.180256437426765e-06,-0.005404749598025703,7.963684269978168e-06,0.0009378179112640995,7.643915775573513e-05,0.0992073854715703,0.0,0.055917864028974494,0.00413811256312281,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
39,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.0745951631652893,6.117330619342682e-06,-0.005420001960304351,7.927815205370775e-06,0.0005954984663282054,7.5883572708123e-05,0.1015201686564521,0.0,0.045977980126181844,0.0040575535919599275,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
40,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.0745924794643428,6.22803887449916e-06,-0.0054063587195835785,8.06041100707157e-06,0.0007927953769824675,7.731917853892713e-05,0.1011426668923524,0.0,0.05052720779636012,0.004150129409438563,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,15.0,14.0
41,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07453282121008561,6.12030193225918e-06,-0.005418401626997401,7.896270967532932e-06,0.000902894073865436,7.574182376376967e-05,0.0994141698610456,0.0,0.05551545264436887,0.004087291869213176,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,15.0,14.0
42,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07463484764520126,6.174477463919704e-06,-0.0054157394643385435,8.051938262063006e-06,7.736055876307245e-24,7.66617619770318e-05,0.1045077214647694,0.0,0.05305230634224467,0.0040353207028099225,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
43,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07460488737916399,5.973317732435456e-06,-0.005395147622230402,7.750414460692968e-06,0.00042132019102478246,7.408622224542911e-05,0.1023306038483977,0.0,0.04885562219410978,0.003960191647715974,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
44,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07457540799844105,6.13084986404424e-06,-0.005415454496332393,7.92517601959017e-06,0.0008913890358535921,7.60577199795453e-05,0.1004466264483296,0.0,0.06038705815299591,0.004082851241102229,12.0,11.0,11.0,10.0,9.0,8.0,7.0,7.0,14.0,15.0,14.0
45,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07456486287720265,1.6530121086883934e-05,-0.005414539968353837,2.1341342026018745e-05,0.0008567082746772264,0.00020474057697095235,0.10028810115304,0.0,0.05574927973751818,0.01100824032964115,12.0,11.0,11.0,10.0,9.0,8.0,7.0,7.0,14.0,15.0,14.0
46,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07454506994261735,9.222029250080433e-06,-0.005395317419159015,1.187474123091688e-05,0.0011991383648256924,0.00011428932410352608,0.0987269156715475,0.0,0.05155001537370685,0.006221453044744863,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,15.0,14.0
47,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07457251746995466,7.933246334813157e-06,-0.00543574256558835,1.0241882132424025e-05,0.00086247712963318,9.82779035728151e-05,0.1001776819944891,0.0,0.05346982402273953,0.0052675058210356306,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
48,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.0746110835642918,7.956248450686067e-06,-0.00542698508814492,1.0335015841835551e-05,0.00030962268066669804,9.86392306281141e-05,0.1028248317321684,0.0,0.0694264021832726,0.005210219018978507,12.0,11.0,11.0,10.0,9.0,8.0,7.0,7.0,14.0,15.0,14.0
49,0.07458200060245627,-0.005414840226474972,0.10115366632106143,0.055,0.0006872024513405665,0.0,0.07455924392680763,9.199209690292639e-06,-0.005419162466032308,1.1876185212898906e-05,0.0009429899588757069,0.00011402624145577423,0.1000481085479363,0.0,0.05945450980388385,0.0061291643777923914,12.0,11.0,11.0,10.0,9.0,8.0,7.0,7.0,14.0,14.0,14.0
