,local_lower_quanta,molec_id,local_iso_id,elower,nu,nu_err,nu_vary,sw,sw_err,sw_vary,sw_scale_factor,sw_1,sw_1_err,sw_1_vary,sw_2,sw_2_err,sw_2_vary,sw_3,sw_3_err,sw_3_vary,sw_4,sw_4_err,sw_4_vary,sw_5,sw_5_err,sw_5_vary,sw_6,sw_6_err,sw_6_vary,sw_7,sw_7_err,sw_7_vary,sw_8,sw_8_err,sw_8_vary,gamma0_air,gamma0_air_err,gamma0_air_vary,n_gamma0_air,delta0_air,delta0_air_err,delta0_air_vary,n_delta0_air,SD_gamma_air,SD_gamma_air_err,SD_gamma_air_vary,n_gamma2_air,SD_delta_air,SD_delta_air_err,SD_delta_air_vary,n_delta2_air,nuVC_air,nuVC_air_err,nuVC_air_vary,n_nuVC_air,eta_air,eta_air_err,eta_air_vary,y_air,y_air_err,y_air_vary,n_y_air
10,R14e,2,1,81.9401,6358.873704,0.0,False,0.00069,0.0,False,1.0000000000000001e-23,0.00069,0.0,False,0.00069,0.0,False,0.00069,0.0,False,0.00069,0.0,False,0.00069,0.0,False,0.00069,0.0,False,0.00069,0.0,False,0.00069,0.0,False,0.0752,0.0,False,0.69,-0.004622,0.0,False,0.0,0.0,0.0,False,0.69,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
11,Q10e,2,1,1378.2132,6358.902485,0.0,False,0.000152,0.0,False,1.0000000000000001e-23,0.000152,0.0,False,0.000152,0.0,False,0.000152,0.0,False,0.000152,0.0,False,0.000152,0.0,False,0.000152,0.0,False,0.000152,0.0,False,0.000152,0.0,False,0.0791,0.0,False,0.68,-0.005332,0.0,False,0.0,0.0,0.0,False,0.68,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
12,Q9f,2,1,1370.3804,6358.969835,0.0,False,0.000174,0.0,False,1.0000000000000001e-23,0.000174,0.0,False,0.000174,0.0,False,0.000174,0.0,False,0.000174,0.0,False,0.000174,0.0,False,0.000174,0.0,False,0.000174,0.0,False,0.000174,0.0,False,0.0801,0.0,False,0.68,-0.005206,0.0,False,0.0,0.0,0.0,False,0.68,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
13,Q8e,2,1,1363.3308,6359.03081,0.0,False,0.000202,0.0,False,1.0000000000000001e-23,0.000202,0.0,False,0.000202,0.0,False,0.000202,0.0,False,0.000202,0.0,False,0.000202,0.0,False,0.000202,0.0,False,0.000202,0.0,False,0.000202,0.0,False,0.0811,0.0,False,0.68,-0.00507,0.0,False,0.0,0.0,0.0,False,0.68,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
14,Q7f,2,1,1357.0644,6359.084784,0.0,False,0.000236,0.0,False,1.0000000000000001e-23,0.000236,0.0,False,0.000236,0.0,False,0.000236,0.0,False,0.000236,0.0,False,0.000236,0.0,False,0.000236,0.0,False,0.000236,0.0,False,0.000236,0.0,False,0.0822,0.0,False,0.68,-0.004922,0.0,False,0.0,0.0,0.0,False,0.68,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
15,Q6e,2,1,1351.5813,6359.132149,0.0,False,0.00028,0.0,False,1.0000000000000001e-23,0.00028,0.0,False,0.00028,0.0,False,0.00028,0.0,False,0.00028,0.0,False,0.00028,0.0,False,0.00028,0.0,False,0.00028,0.0,False,0.00028,0.0,False,0.0834,0.0,False,0.68,-0.004758,0.0,False,0.0,0.0,0.0,False,0.68,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
16,Q5f,2,1,1346.8814,6359.172673,0.0,False,0.00034,0.0,False,1.0000000000000001e-23,0.00034,0.0,False,0.00034,0.0,False,0.00034,0.0,False,0.00034,0.0,False,0.00034,0.0,False,0.00034,0.0,False,0.00034,0.0,False,0.00034,0.0,False,0.0847,0.0,False,0.69,-0.004577,0.0,False,0.0,0.0,0.0,False,0.69,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
17,Q4e,2,1,1342.9648,6359.206481,0.0,False,0.000425,0.0,False,1.0000000000000001e-23,0.000425,0.0,False,0.000425,0.0,False,0.000425,0.0,False,0.000425,0.0,False,0.000425,0.0,False,0.000425,0.0,False,0.000425,0.0,False,0.000425,0.0,False,0.0862,0.0,False,0.69,-0.004375,0.0,False,0.0,0.0,0.0,False,0.69,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
18,R14f,2,1,2159.0306,6359.208494,0.0,False,0.000188,0.0,False,1.0000000000000001e-23,0.000188,0.0,False,0.000188,0.0,False,0.000188,0.0,False,0.000188,0.0,False,0.000188,0.0,False,0.000188,0.0,False,0.000188,0.0,False,0.000188,0.0,False,0.0752,0.0,False,0.69,-0.005392,0.0,False,0.0,0.0,0.0,False,0.69,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
19,Q3f,2,1,1339.8315,6359.233511,0.0,False,0.000559,0.0,False,1.0000000000000001e-23,0.000559,0.0,False,0.000559,0.0,False,0.000559,0.0,False,0.000559,0.0,False,0.000559,0.0,False,0.000559,0.0,False,0.000559,0.0,False,0.000559,0.0,False,0.088,0.0,False,0.7,-0.004146,0.0,False,0.0,0.0,0.0,False,0.7,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
20,Q2e,2,1,1337.4815,6359.25379,0.0,False,0.000808,0.0,False,1.0000000000000001e-23,0.000808,0.0,False,0.000808,0.0,False,0.000808,0.0,False,0.000808,0.0,False,0.000808,0.0,False,0.000808,0.0,False,0.000808,0.0,False,0.000808,0.0,False,0.0903,0.0,False,0.69,-0.003886,0.0,False,0.0,0.0,0.0,False,0.69,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
21,R3e,2,1,672.0676,6359.342141,0.0,False,0.0239,0.0,False,1.0000000000000001e-23,0.0239,0.0,False,0.0239,0.0,False,0.0239,0.0,False,0.0239,0.0,False,0.0239,0.0,False,0.0239,0.0,False,0.0239,0.0,False,0.0239,0.0,False,0.0862,0.0,False,0.69,-0.0035,0.0,False,0.0,0.0,0.0,False,0.69,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
22,R15e,2,1,2170.5469,6359.660632,0.0,False,0.000189,0.0,False,1.0000000000000001e-23,0.000189,0.0,False,0.000189,0.0,False,0.000189,0.0,False,0.000189,0.0,False,0.000189,0.0,False,0.000189,0.0,False,0.000189,0.0,False,0.000189,0.0,False,0.0746,0.0,False,0.69,-0.005513,0.0,False,0.0,0.0,0.0,False,0.69,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
23,R18e,2,1,1521.6154,6359.864277,0.0,False,0.0049,0.0,False,1.0000000000000001e-23,0.0049,0.0,False,0.0049,0.0,False,0.0049,0.0,False,0.0049,0.0,False,0.0049,0.0,False,0.0049,0.0,False,0.0049,0.0,False,0.0049,0.0,False,0.073,0.0,False,0.7,-0.005853,0.0,False,0.0,0.0,0.0,False,0.7,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
24,R16e,2,1,106.1297,6359.967248976264,5.213711312626549e-06,True,1.7599999999999998,0.0,False,1.0000000000000001e-23,1.743035559185729,0.0010035114443788834,True,1.7470929353325535,0.0008118721892070331,True,1.7533710932171926,0.0007455870204515794,True,1.7303808829663911,0.0007063702178089611,True,1.7493183740331961,0.00064078735073685,True,1.7264652295688543,0.000592017689042097,True,1.7415346475304516,0.0005586974189366027,True,1.7241308642950792,0.0005499628493145134,True,0.07458311615820833,4.734626740948236e-05,True,0.67,-0.005411657971067209,2.6194809915150293e-05,True,0.0,0.1012931361507043,0.002140429212302957,True,0.67,0.055,0.0,False,0.0,0.0006015926791275825,0.0005482779077474715,True,1.0,0.0,0.0,False,0.0,0.0,False,1.0
25,R4f,2,1,675.2049,6360.113271,0.0,False,0.0301,0.0,False,1.0000000000000001e-23,0.0301,0.0,False,0.0301,0.0,False,0.0301,0.0,False,0.0301,0.0,False,0.0301,0.0,False,0.0301,0.0,False,0.0301,0.0,False,0.0301,0.0,False,0.0847,0.0,False,0.69,-0.003737,0.0,False,0.0,0.0,0.0,False,0.69,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
26,P36e,2,1,519.535,6360.167699,0.0,False,0.000657,0.0,False,1.0000000000000001e-23,0.000657,0.0,False,0.000657,0.0,False,0.000657,0.0,False,0.000657,0.0,False,0.000657,0.0,False,0.000657,0.0,False,0.000657,0.0,False,0.000657,0.0,False,0.068,0.0,False,0.74,-0.006384,0.0,False,0.0,0.0,0.0,False,0.74,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
27,R16e,2,1,106.1297,6360.559497,0.0,False,0.000103,0.0,False,1.0000000000000001e-23,0.000103,0.0,False,0.000103,0.0,False,0.000103,0.0,False,0.000103,0.0,False,0.000103,0.0,False,0.000103,0.0,False,0.000103,0.0,False,0.000103,0.0,False,0.074,0.0,False,0.7,-0.004837,0.0,False,0.0,0.0,0.0,False,0.7,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
28,R16f,2,1,2183.2897,6360.588275,0.0,False,0.000189,0.0,False,1.0000000000000001e-23,0.000189,0.0,False,0.000189,0.0,False,0.000189,0.0,False,0.000189,0.0,False,0.000189,0.0,False,0.000189,0.0,False,0.000189,0.0,False,0.000189,0.0,False,0.074,0.0,False,0.7,-0.00563,0.0,False,0.0,0.0,0.0,False,0.7,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
29,R5e,2,1,679.099,6360.819048,0.0,False,0.0359,0.0,False,1.0000000000000001e-23,0.0359,0.0,False,0.0359,0.0,False,0.0359,0.0,False,0.0359,0.0,False,0.0359,0.0,False,0.0359,0.0,False,0.0359,0.0,False,0.0359,0.0,False,0.0834,0.0,False,0.68,-0.00396,0.0,False,0.0,0.0,0.0,False,0.68,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
30,R17e,2,1,2196.3094,6360.971235,0.0,False,0.000188,0.0,False,1.0000000000000001e-23,0.000188,0.0,False,0.000188,0.0,False,0.000188,0.0,False,0.000188,0.0,False,0.000188,0.0,False,0.000188,0.0,False,0.000188,0.0,False,0.000188,0.0,False,0.0735,0.0,False,0.7,-0.005743,0.0,False,0.0,0.0,0.0,False,0.7,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
31,R20e,2,1,1552.0433,6361.160793,0.0,False,0.00466,0.0,False,1.0000000000000001e-23,0.00466,0.0,False,0.00466,0.0,False,0.00466,0.0,False,0.00466,0.0,False,0.00466,0.0,False,0.00466,0.0,False,0.00466,0.0,False,0.00466,0.0,False,0.072,0.0,False,0.71,-0.006063,0.0,False,0.0,0.0,0.0,False,0.71,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
32,R18e,2,1,133.4393,6361.250354,0.0,False,1.72,0.0,False,1.0000000000000001e-23,1.72,0.0,False,1.72,0.0,False,1.72,0.0,False,1.72,0.0,False,1.72,0.0,False,1.72,0.0,False,1.72,0.0,False,1.72,0.0,False,0.07296418,0.0,False,0.65,-0.005853,0.0,False,0.0,0.08302617,0.0,False,0.65,0.0,0.0,False,0.0,0.004011037,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
33,R2e,2,1,1337.4815,6361.583497,0.0,False,0.000405,0.0,False,1.0000000000000001e-23,0.000405,0.0,False,0.000405,0.0,False,0.000405,0.0,False,0.000405,0.0,False,0.000405,0.0,False,0.000405,0.0,False,0.000405,0.0,False,0.000405,0.0,False,0.088,0.0,False,0.7,-0.003261,0.0,False,0.0,0.0,0.0,False,0.7,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
34,R6f,2,1,683.8124,6361.596671,0.0,False,0.0412999999999999,0.0,False,1.0000000000000001e-23,0.0412999999999999,0.0,False,0.0412999999999999,0.0,False,0.0412999999999999,0.0,False,0.0412999999999999,0.0,False,0.0412999999999999,0.0,False,0.0412999999999999,0.0,False,0.0412999999999999,0.0,False,0.0412999999999999,0.0,False,0.0822,0.0,False,0.68,-0.004165,0.0,False,0.0,0.0,0.0,False,0.68,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
35,P34e,2,1,464.1717,6361.701619,0.0,False,0.000736,0.0,False,1.0000000000000001e-23,0.000736,0.0,False,0.000736,0.0,False,0.000736,0.0,False,0.000736,0.0,False,0.000736,0.0,False,0.000736,0.0,False,0.000736,0.0,False,0.000736,0.0,False,0.0683,0.0,False,0.74,-0.006304,0.0,False,0.0,0.0,0.0,False,0.74,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
36,R18f,2,1,2210.6779,6361.945712,0.0,False,0.000185,0.0,False,1.0000000000000001e-23,0.000185,0.0,False,0.000185,0.0,False,0.000185,0.0,False,0.000185,0.0,False,0.000185,0.0,False,0.000185,0.0,False,0.000185,0.0,False,0.000185,0.0,False,0.073,0.0,False,0.7,-0.005853,0.0,False,0.0,0.0,0.0,False,0.7,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
37,R19e,2,1,2225.1933,6362.25332,0.0,False,0.000181,0.0,False,1.0000000000000001e-23,0.000181,0.0,False,0.000181,0.0,False,0.000181,0.0,False,0.000181,0.0,False,0.000181,0.0,False,0.000181,0.0,False,0.000181,0.0,False,0.000181,0.0,False,0.0725,0.0,False,0.71,-0.005959,0.0,False,0.0,0.0,0.0,False,0.71,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
38,R7e,2,1,689.2553,6362.264787,0.0,False,0.0462,0.0,False,1.0000000000000001e-23,0.0462,0.0,False,0.0462,0.0,False,0.0462,0.0,False,0.0462,0.0,False,0.0462,0.0,False,0.0462,0.0,False,0.0462,0.0,False,0.0462,0.0,False,0.0811,0.0,False,0.68,-0.004355,0.0,False,0.0,0.0,0.0,False,0.68,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
39,R3f,2,1,1339.8315,6362.33978,0.0,False,0.000721,0.0,False,1.0000000000000001e-23,0.000721,0.0,False,0.000721,0.0,False,0.000721,0.0,False,0.000721,0.0,False,0.000721,0.0,False,0.000721,0.0,False,0.000721,0.0,False,0.000721,0.0,False,0.0862,0.0,False,0.69,-0.0035,0.0,False,0.0,0.0,0.0,False,0.69,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
40,R22e,2,1,1585.5904,6362.4318,0.0,False,0.00433,0.0,False,1.0000000000000001e-23,0.00433,0.0,False,0.00433,0.0,False,0.00433,0.0,False,0.00433,0.0,False,0.00433,0.0,False,0.00433,0.0,False,0.00433,0.0,False,0.00433,0.0,False,0.0712,0.0,False,0.72,-0.006262,0.0,False,0.0,0.0,0.0,False,0.72,0.0,0.0,False,0.0,0.0,0.0,False,1.0,0.0,0.0,False,0.0,0.0,False,1.0
