Band,Exchange (cm-1 amagat-2),Header Value (cm-1 amagat-2),Spin Orbit (cm-1 amagat-2),Temperature,Wavenumber (cm-1),Exchange Area,Exchange Normalized,Spin Orbit Area,Spin Orbit Normalized,Ratio Exchange to Spin Orbit Areas,Exchange (cm-1 amagat-2) Area,Exchange (cm-1 amagat-2) Normalized,Spin Orbit (cm-1 amagat-2) Area,Spin Orbit (cm-1 amagat-2) Normalized,SO Temp Dep - a,SO Temp Dep - a err,SO Temp Dep - b,SO Temp Dep - b err,SO Temp Dep - c,SO Temp Dep - c err,SO Temp Dep - d,SO Temp Dep - d err,SO Temp Dep - err,EXCH Temp Dep - a,EXCH Temp Dep - a err,EXCH Temp Dep - b,EXCH Temp Dep - b err,EXCH Temp Dep - c,EXCH Temp Dep - c err,EXCH Temp Dep - d,EXCH Temp Dep - d err,EXCH Temp Dep - err
A Band,3.38E-09,1.46E-07,1.06E-11,296,12803.6,3.94E-05,8.57E-05,6.21E-06,1.71E-06,6.351227236,3.94E-05,8.57E-05,6.21E-06,1.71E-06,1,0,0.020158626,1.23E-05,0.000139826,2.02E-07,3.27E-07,3.57E-09,0.000898736,1,0,0.008447316,2.37E-06,1.04E-05,3.88E-08,-3.76E-08,6.87E-10,0.00017715
A Band,3.38E-09,1.46E-07,1.06E-11,296,12803.7,3.94E-05,8.59E-05,6.21E-06,1.71E-06,6.351227236,3.94E-05,8.59E-05,6.21E-06,1.71E-06,1,0,0.020138929,1.28E-05,0.00013922,2.09E-07,3.23E-07,3.71E-09,0.000946145,1,0,0.008444455,1.13E-06,1.04E-05,1.86E-08,-3.74E-08,3.29E-10,8.36E-05
A Band,3.39E-09,1.46E-07,1.07E-11,296,12803.8,3.94E-05,8.60E-05,6.21E-06,1.72E-06,6.351227236,3.94E-05,8.60E-05,6.21E-06,1.72E-06,1,0,0.02012782,1.28E-05,0.00013917,2.10E-07,3.23E-07,3.72E-09,0.000947112,1,0,0.008437486,2.82E-06,1.03E-05,4.62E-08,-3.74E-08,8.18E-10,0.00020667
A Band,3.40E-09,1.46E-07,1.07E-11,296,12803.9,3.94E-05,8.61E-05,6.21E-06,1.73E-06,6.351227236,3.94E-05,8.61E-05,6.21E-06,1.73E-06,1,0,0.020114572,1.25E-05,0.000139073,2.05E-07,3.24E-07,3.63E-09,0.000902433,1,0,0.008434861,1.65E-06,1.03E-05,2.71E-08,-3.80E-08,4.79E-10,0.000123705
A Band,3.40E-09,1.46E-07,1.08E-11,296,12804,3.94E-05,8.63E-05,6.21E-06,1.73E-06,6.351227236,3.94E-05,8.63E-05,6.21E-06,1.73E-06,1,0,0.020097659,1.23E-05,0.00013863,2.02E-07,3.21E-07,3.57E-09,0.000904506,1,0,0.008430423,1.53E-06,1.03E-05,2.51E-08,-3.73E-08,4.45E-10,0.000114507
A Band,3.41E-09,1.46E-07,1.08E-11,296,12804.1,3.94E-05,8.64E-05,6.21E-06,1.74E-06,6.351227236,3.94E-05,8.64E-05,6.21E-06,1.74E-06,1,0,0.020083058,1.29E-05,0.000138444,2.12E-07,3.20E-07,3.75E-09,0.0009451,1,0,0.008429116,2.03E-06,1.03E-05,3.32E-08,-3.71E-08,5.87E-10,0.000148063
A Band,3.41E-09,1.46E-07,1.08E-11,296,12804.2,3.94E-05,8.65E-05,6.21E-06,1.75E-06,6.351227236,3.94E-05,8.65E-05,6.21E-06,1.75E-06,1,0,0.020065669,1.26E-05,0.000137999,2.06E-07,3.17E-07,3.65E-09,0.000930767,1,0,0.00842289,1.07E-06,1.01E-05,1.76E-08,-3.83E-08,3.11E-10,7.99E-05
A Band,3.42E-09,1.46E-07,1.09E-11,296,12804.3,3.94E-05,8.67E-05,6.21E-06,1.75E-06,6.351227236,3.94E-05,8.67E-05,6.21E-06,1.75E-06,1,0,0.020056586,1.33E-05,0.000137957,2.17E-07,3.18E-07,3.85E-09,0.000971301,1,0,0.008422905,2.16E-06,1.03E-05,3.54E-08,-3.72E-08,6.27E-10,0.000161809
A Band,3.42E-09,1.46E-07,1.09E-11,296,12804.4,3.94E-05,8.68E-05,6.21E-06,1.76E-06,6.351227236,3.94E-05,8.68E-05,6.21E-06,1.76E-06,1,0,0.02003717,1.24E-05,0.000137473,2.03E-07,3.14E-07,3.59E-09,0.000915496,1,0,0.008416805,1.79E-06,1.03E-05,2.93E-08,-3.62E-08,5.19E-10,0.000133301
A Band,3.43E-09,1.46E-07,1.10E-11,296,12804.5,3.94E-05,8.69E-05,6.21E-06,1.76E-06,6.351227236,3.94E-05,8.69E-05,6.21E-06,1.76E-06,1,0,0.020026251,1.30E-05,0.000137451,2.12E-07,3.15E-07,3.76E-09,0.000942587,1,0,0.008410023,1.43E-06,1.00E-05,2.35E-08,-3.85E-08,4.16E-10,0.000106246
A Band,3.43E-09,1.46E-07,1.10E-11,296,12804.6,3.94E-05,8.71E-05,6.21E-06,1.77E-06,6.351227236,3.94E-05,8.71E-05,6.21E-06,1.77E-06,1,0,0.020009208,1.23E-05,0.000137012,2.02E-07,3.12E-07,3.57E-09,0.000917156,1,0,0.008407942,1.28E-06,1.02E-05,2.09E-08,-3.69E-08,3.71E-10,9.56E-05
A Band,3.44E-09,1.46E-07,1.10E-11,296,12804.7,3.94E-05,8.72E-05,6.21E-06,1.78E-06,6.351227236,3.94E-05,8.72E-05,6.21E-06,1.78E-06,1,0,0.019997587,1.28E-05,0.000136941,2.09E-07,3.13E-07,3.70E-09,0.000928422,1,0,0.008404633,2.58E-06,1.01E-05,4.22E-08,-3.77E-08,7.47E-10,0.000187785
A Band,3.44E-09,1.46E-07,1.11E-11,296,12804.8,3.94E-05,8.73E-05,6.21E-06,1.78E-06,6.351227236,3.94E-05,8.73E-05,6.21E-06,1.78E-06,1,0,0.019978985,1.18E-05,0.000136523,1.94E-07,3.11E-07,3.43E-09,0.000877664,1,0,0.008401203,1.87E-06,1.01E-05,3.07E-08,-3.79E-08,5.43E-10,0.000139696
A Band,3.45E-09,1.46E-07,1.11E-11,296,12804.9,3.94E-05,8.75E-05,6.21E-06,1.79E-06,6.351227236,3.94E-05,8.75E-05,6.21E-06,1.79E-06,1,0,0.019971611,1.41E-05,0.000136526,2.30E-07,3.11E-07,4.07E-09,0.001019424,1,0,0.00839727,1.24E-06,1.01E-05,2.03E-08,-3.75E-08,3.59E-10,9.26E-05
A Band,3.45E-09,1.46E-07,1.12E-11,296,12805,3.94E-05,8.76E-05,6.21E-06,1.80E-06,6.351227236,3.94E-05,8.76E-05,6.21E-06,1.80E-06,1,0,0.019951262,1.21E-05,0.000136092,1.98E-07,3.09E-07,3.50E-09,0.000893601,1,0,0.008396002,2.06E-06,1.01E-05,3.37E-08,-3.72E-08,5.97E-10,0.000151416
A Band,3.46E-09,1.46E-07,1.12E-11,296,12805.1,3.94E-05,8.78E-05,6.21E-06,1.80E-06,6.351227236,3.94E-05,8.78E-05,6.21E-06,1.80E-06,1,0,0.019941537,1.38E-05,0.00013605,2.26E-07,3.09E-07,3.99E-09,0.000988213,1,0,0.008389071,1.47E-06,9.95E-06,2.41E-08,-3.83E-08,4.26E-10,0.000107828
A Band,3.47E-09,1.46E-07,1.12E-11,296,12805.2,3.94E-05,8.79E-05,6.21E-06,1.81E-06,6.351227236,3.94E-05,8.79E-05,6.21E-06,1.81E-06,1,0,0.019921979,1.19E-05,0.000135619,1.94E-07,3.07E-07,3.43E-09,0.000876085,1,0,0.008384546,2.14E-06,9.88E-06,3.51E-08,-3.86E-08,6.21E-10,0.000157955
A Band,3.47E-09,1.46E-07,1.13E-11,296,12805.3,3.94E-05,8.80E-05,6.21E-06,1.82E-06,6.351227236,3.94E-05,8.80E-05,6.21E-06,1.82E-06,1,0,0.019908362,1.27E-05,0.000135204,2.09E-07,3.04E-07,3.69E-09,0.000948655,1,0,0.008382578,1.30E-06,1.00E-05,2.12E-08,-3.72E-08,3.76E-10,9.47E-05
A Band,3.48E-09,1.46E-07,1.13E-11,296,12805.4,3.94E-05,8.82E-05,6.21E-06,1.82E-06,6.351227236,3.94E-05,8.82E-05,6.21E-06,1.82E-06,1,0,0.019897713,1.33E-05,0.000135216,2.18E-07,3.05E-07,3.86E-09,0.000979696,1,0,0.008378156,2.90E-06,1.00E-05,4.74E-08,-3.66E-08,8.40E-10,0.00021542
A Band,3.48E-09,1.46E-07,1.14E-11,296,12805.5,3.94E-05,8.83E-05,6.21E-06,1.83E-06,6.351227236,3.94E-05,8.83E-05,6.21E-06,1.83E-06,1,0,0.019880225,1.27E-05,0.000134802,2.08E-07,3.02E-07,3.68E-09,0.000938765,1,0,0.00837318,1.60E-06,9.92E-06,2.62E-08,-3.75E-08,4.63E-10,0.00011944
A Band,3.49E-09,1.46E-07,1.14E-11,296,12805.6,3.94E-05,8.84E-05,6.21E-06,1.84E-06,6.351227236,3.94E-05,8.84E-05,6.21E-06,1.84E-06,1,0,0.019873193,1.49E-05,0.000134813,2.45E-07,3.03E-07,4.33E-09,0.001085308,1,0,0.008371067,1.87E-06,9.91E-06,3.06E-08,-3.75E-08,5.41E-10,0.000139561
A Band,3.49E-09,1.46E-07,1.14E-11,296,12805.7,3.94E-05,8.86E-05,6.21E-06,1.84E-06,6.351227236,3.94E-05,8.86E-05,6.21E-06,1.84E-06,1,0,0.019854768,1.39E-05,0.000134425,2.28E-07,3.01E-07,4.04E-09,0.001027371,1,0,0.008370066,1.97E-06,9.94E-06,3.23E-08,-3.73E-08,5.72E-10,0.000140781
A Band,3.50E-09,1.46E-07,1.15E-11,296,12805.8,3.94E-05,8.87E-05,6.21E-06,1.85E-06,6.351227236,3.94E-05,8.87E-05,6.21E-06,1.85E-06,1,0,0.019839039,1.28E-05,0.000134077,2.09E-07,2.99E-07,3.70E-09,0.00094517,1,0,0.008361278,1.56E-06,9.83E-06,2.55E-08,-3.77E-08,4.51E-10,0.000114353
A Band,3.50E-09,1.46E-07,1.15E-11,296,12805.9,3.94E-05,8.88E-05,6.21E-06,1.86E-06,6.351227236,3.94E-05,8.88E-05,6.21E-06,1.86E-06,1,0,0.019826578,1.24E-05,0.000134077,2.04E-07,3.00E-07,3.61E-09,0.000910707,1,0,0.008361048,2.10E-06,9.84E-06,3.44E-08,-3.77E-08,6.09E-10,0.000156713
A Band,3.51E-09,1.46E-07,1.16E-11,296,12806,3.94E-05,8.90E-05,6.21E-06,1.86E-06,6.351227236,3.94E-05,8.90E-05,6.21E-06,1.86E-06,1,0,0.019810868,1.29E-05,0.000133702,2.10E-07,2.98E-07,3.73E-09,0.0009441,1,0,0.008353772,1.68E-06,9.90E-06,2.74E-08,-3.64E-08,4.86E-10,0.000124516
A Band,3.51E-09,1.46E-07,1.16E-11,296,12806.1,3.94E-05,8.91E-05,6.21E-06,1.87E-06,6.351227236,3.94E-05,8.91E-05,6.21E-06,1.87E-06,1,0,0.01979664,1.35E-05,0.00013332,2.21E-07,2.95E-07,3.92E-09,0.001002534,1,0,0.008351978,2.56E-06,9.75E-06,4.19E-08,-3.81E-08,7.42E-10,0.000191324
A Band,3.52E-09,1.46E-07,1.16E-11,296,12806.2,3.94E-05,8.93E-05,6.21E-06,1.87E-06,6.351227236,3.94E-05,8.93E-05,6.21E-06,1.87E-06,1,0,0.019786112,1.41E-05,0.000133344,2.31E-07,2.96E-07,4.09E-09,0.001033289,1,0,0.008345421,1.45E-06,9.80E-06,2.37E-08,-3.69E-08,4.19E-10,0.000103242
A Band,3.52E-09,1.46E-07,1.17E-11,296,12806.3,3.94E-05,8.94E-05,6.21E-06,1.88E-06,6.351227236,3.94E-05,8.94E-05,6.21E-06,1.88E-06,1,0,0.01976883,1.35E-05,0.000132957,2.21E-07,2.94E-07,3.91E-09,0.000991038,1,0,0.008343675,2.69E-06,9.70E-06,4.40E-08,-3.80E-08,7.80E-10,0.000199448
A Band,3.53E-09,1.46E-07,1.17E-11,296,12806.4,3.94E-05,8.95E-05,6.21E-06,1.89E-06,6.351227236,3.94E-05,8.95E-05,6.21E-06,1.89E-06,1,0,0.019754788,1.29E-05,0.000132676,2.12E-07,2.92E-07,3.75E-09,0.000955927,1,0,0.008342543,1.95E-06,9.83E-06,3.20E-08,-3.67E-08,5.66E-10,0.000146015
A Band,3.54E-09,1.46E-07,1.18E-11,296,12806.5,3.94E-05,8.97E-05,6.21E-06,1.90E-06,6.351227236,3.94E-05,8.97E-05,6.21E-06,1.90E-06,1,0,0.019736774,1.25E-05,0.000132331,2.05E-07,2.91E-07,3.63E-09,0.000928974,1,0,0.008333222,1.84E-06,9.62E-06,3.00E-08,-3.81E-08,5.32E-10,0.000137149
A Band,3.54E-09,1.46E-07,1.18E-11,296,12806.6,3.94E-05,8.98E-05,6.21E-06,1.90E-06,6.351227236,3.94E-05,8.98E-05,6.21E-06,1.90E-06,1,0,0.019728542,1.38E-05,0.000132349,2.26E-07,2.92E-07,4.00E-09,0.001009137,1,0,0.008332832,1.97E-06,9.64E-06,3.22E-08,-3.80E-08,5.70E-10,0.000139244
A Band,3.55E-09,1.46E-07,1.18E-11,296,12806.7,3.94E-05,8.99E-05,6.21E-06,1.91E-06,6.351227236,3.94E-05,8.99E-05,6.21E-06,1.91E-06,1,0,0.019713295,1.42E-05,0.000131994,2.32E-07,2.89E-07,4.10E-09,0.001038711,1,0,0.008327241,2.34E-06,9.69E-06,3.82E-08,-3.69E-08,6.77E-10,0.000174599
A Band,3.55E-09,1.46E-07,1.19E-11,296,12806.8,3.94E-05,9.01E-05,6.21E-06,1.92E-06,6.351227236,3.94E-05,9.01E-05,6.21E-06,1.92E-06,1,0,0.019698416,1.32E-05,0.000131727,2.16E-07,2.88E-07,3.82E-09,0.00097697,1,0,0.008323406,1.65E-06,9.57E-06,2.71E-08,-3.82E-08,4.80E-10,0.000123772
A Band,3.56E-09,1.46E-07,1.19E-11,296,12806.9,3.94E-05,9.02E-05,6.21E-06,1.92E-06,6.351227236,3.94E-05,9.02E-05,6.21E-06,1.92E-06,1,0,0.019680269,1.19E-05,0.000131348,1.95E-07,2.86E-07,3.45E-09,0.000888141,1,0,0.008318887,1.70E-06,9.59E-06,2.78E-08,-3.75E-08,4.92E-10,0.000123608
A Band,3.56E-09,1.46E-07,1.20E-11,296,12807,3.94E-05,9.04E-05,6.21E-06,1.93E-06,6.351227236,3.94E-05,9.04E-05,6.21E-06,1.93E-06,1,0,0.019672359,1.36E-05,0.000131386,2.22E-07,2.87E-07,3.93E-09,0.000988909,1,0,0.008318425,1.49E-06,9.62E-06,2.44E-08,-3.73E-08,4.32E-10,0.000111525
A Band,3.57E-09,1.46E-07,1.20E-11,296,12807.1,3.94E-05,9.05E-05,6.21E-06,1.94E-06,6.351227236,3.94E-05,9.05E-05,6.21E-06,1.94E-06,1,0,0.019656495,1.35E-05,0.000131043,2.21E-07,2.85E-07,3.91E-09,0.000993925,1,0,0.008313878,2.74E-06,9.55E-06,4.49E-08,-3.78E-08,7.95E-10,0.000200167
A Band,3.57E-09,1.46E-07,1.21E-11,296,12807.2,3.94E-05,9.06E-05,6.21E-06,1.94E-06,6.351227236,3.94E-05,9.06E-05,6.21E-06,1.94E-06,1,0,0.019642534,1.29E-05,0.000130785,2.11E-07,2.84E-07,3.74E-09,0.000953167,1,0,0.008310587,1.77E-06,9.53E-06,2.90E-08,-3.80E-08,5.13E-10,0.000130576
A Band,3.58E-09,1.46E-07,1.21E-11,296,12807.3,3.94E-05,9.08E-05,6.21E-06,1.95E-06,6.351227236,3.94E-05,9.08E-05,6.21E-06,1.95E-06,1,0,0.019628216,1.33E-05,0.00013044,2.18E-07,2.82E-07,3.86E-09,0.000987098,1,0,0.00830289,1.32E-06,9.49E-06,2.15E-08,-3.75E-08,3.81E-10,9.83E-05
A Band,3.58E-09,1.46E-07,1.21E-11,296,12807.4,3.94E-05,9.09E-05,6.21E-06,1.96E-06,6.351227236,3.94E-05,9.09E-05,6.21E-06,1.96E-06,1,0,0.019618858,1.45E-05,0.000130478,2.37E-07,2.83E-07,4.19E-09,0.001049132,1,0,0.008302316,2.12E-06,9.51E-06,3.48E-08,-3.74E-08,6.16E-10,0.000157825
A Band,3.59E-09,1.46E-07,1.22E-11,296,12807.5,3.94E-05,9.11E-05,6.21E-06,1.96E-06,6.351227236,3.94E-05,9.11E-05,6.21E-06,1.96E-06,1,0,0.019605123,1.37E-05,0.000130222,2.25E-07,2.82E-07,3.98E-09,0.001014565,1,0,0.008297226,2.16E-06,9.56E-06,3.53E-08,-3.65E-08,6.25E-10,0.00016062
A Band,3.60E-09,1.46E-07,1.22E-11,296,12807.6,3.94E-05,9.12E-05,6.21E-06,1.97E-06,6.351227236,3.94E-05,9.12E-05,6.21E-06,1.97E-06,1,0,0.019592044,1.45E-05,0.000129935,2.37E-07,2.80E-07,4.21E-09,0.001074077,1,0,0.008293282,1.98E-06,9.44E-06,3.23E-08,-3.76E-08,5.72E-10,0.000147312
A Band,3.60E-09,1.46E-07,1.23E-11,296,12807.7,3.94E-05,9.14E-05,6.21E-06,1.98E-06,6.351227236,3.94E-05,9.14E-05,6.21E-06,1.98E-06,1,0,0.019573866,1.37E-05,0.0001296,2.24E-07,2.78E-07,3.96E-09,0.001010834,1,0,0.008290815,1.53E-06,9.35E-06,2.51E-08,-3.85E-08,4.44E-10,0.000109891
A Band,3.61E-09,1.46E-07,1.23E-11,296,12807.8,3.94E-05,9.15E-05,6.21E-06,1.98E-06,6.351227236,3.94E-05,9.15E-05,6.21E-06,1.98E-06,1,0,0.019560492,1.31E-05,0.000129354,2.15E-07,2.77E-07,3.81E-09,0.000975141,1,0,0.008286474,2.01E-06,9.41E-06,3.29E-08,-3.73E-08,5.82E-10,0.000147901
A Band,3.61E-09,1.46E-07,1.23E-11,296,12807.9,3.94E-05,9.16E-05,6.21E-06,1.99E-06,6.351227236,3.94E-05,9.16E-05,6.21E-06,1.99E-06,1,0,0.019551019,1.41E-05,0.000129399,2.31E-07,2.78E-07,4.10E-09,0.001029377,1,0,0.008282615,2.37E-06,9.45E-06,3.88E-08,-3.67E-08,6.87E-10,0.00017651
A Band,3.62E-09,1.46E-07,1.24E-11,296,12808,3.94E-05,9.18E-05,6.21E-06,2.00E-06,6.351227236,3.94E-05,9.18E-05,6.21E-06,2.00E-06,1,0,0.019535626,1.40E-05,0.000129078,2.29E-07,2.77E-07,4.06E-09,0.001029017,1,0,0.008278404,2.05E-06,9.34E-06,3.35E-08,-3.78E-08,5.93E-10,0.000151566
A Band,3.62E-09,1.46E-07,1.24E-11,296,12808.1,3.94E-05,9.19E-05,6.21E-06,2.00E-06,6.351227236,3.94E-05,9.19E-05,6.21E-06,2.00E-06,1,0,0.019522523,1.34E-05,0.000128835,2.20E-07,2.75E-07,3.89E-09,0.000989361,1,0,0.008273168,1.51E-06,9.28E-06,2.48E-08,-3.79E-08,4.39E-10,0.000111871
A Band,3.63E-09,1.46E-07,1.25E-11,296,12808.2,3.94E-05,9.21E-05,6.21E-06,2.01E-06,6.351227236,3.94E-05,9.21E-05,6.21E-06,2.01E-06,1,0,0.019508289,1.38E-05,0.000128517,2.26E-07,2.73E-07,4.00E-09,0.001019479,1,0,0.008271971,1.91E-06,9.32E-06,3.13E-08,-3.75E-08,5.54E-10,0.000140614
A Band,3.63E-09,1.46E-07,1.25E-11,296,12808.3,3.94E-05,9.22E-05,6.21E-06,2.02E-06,6.351227236,3.94E-05,9.22E-05,6.21E-06,2.02E-06,1,0,0.019493634,1.42E-05,0.000128206,2.33E-07,2.71E-07,4.12E-09,0.001050893,1,0,0.008267135,2.37E-06,9.37E-06,3.89E-08,-3.66E-08,6.88E-10,0.000177633
A Band,3.64E-09,1.46E-07,1.26E-11,296,12808.4,3.94E-05,9.23E-05,6.21E-06,2.02E-06,6.351227236,3.94E-05,9.23E-05,6.21E-06,2.02E-06,1,0,0.019478801,1.34E-05,0.000127986,2.19E-07,2.71E-07,3.88E-09,0.000988536,1,0,0.008263856,1.80E-06,9.25E-06,2.94E-08,-3.79E-08,5.21E-10,0.000131192
A Band,3.65E-09,1.46E-07,1.26E-11,296,12808.5,3.94E-05,9.25E-05,6.21E-06,2.03E-06,6.351227236,3.94E-05,9.25E-05,6.21E-06,2.03E-06,1,0,0.019464177,1.32E-05,0.000127713,2.16E-07,2.69E-07,3.82E-09,0.000981745,1,0,0.008257749,1.40E-06,9.19E-06,2.30E-08,-3.79E-08,4.07E-10,0.000104373
