 21 6330.228652 1.247E-30 4.990E-05.06220.069 2719.90300.72-.007684       5 1 1 02       0 2 2 01                    R 59f     465553342910 9 711   121.0  119.0,17658512,ElecStateLabel=X;v1=5;v2=1;l2=1;v3=0;J=60;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=2;l2=2;v3=0;J=59;r=1;parity=+;kronigParity=f,#,-0.013715,0.06358,0.00526,-0.007684,#,#,-0.013715
 21 6330.248216 1.582E-27 1.971E-02.07170.096 2257.19830.71-.006653       4 1 1 12       1 1 1 01                    P 21e     566663342910 9 711    41.0   43.0,17658513,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=1;J=20;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=1;l2=1;v3=0;J=21;r=1;parity=-;kronigParity=e,#,0.0,0.07245,0.00637,-0.006653,#,#,0.0
 24 6330.271604 9.189E-29 5.686E-03.06420.070 1164.93920.73-.008713       3 0 0 12       0 0 0 01                    R 55e     365553243210 9 711   678.0  666.0,18539780,ElecStateLabel=X;v1=3;v2=0;l2=0;v3=1;J=56;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=55;r=1;parity=-;kronigParity=e,#,-0.011379,0.06448,0.00521,-0.008713,#,#,-0.011379
 21 6330.281763 1.153E-30 8.252E-06.07550.102 2085.63930.69-.004550       5 2 2 02       0 3 3 01                    R 14f     466663342910 9 711    31.0   29.0,17658514,ElecStateLabel=X;v1=5;v2=2;l2=2;v3=0;J=15;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=14;r=1;parity=-;kronigParity=f,#,0.0,0.07561,0.00697,-0.00455,#,#,0.0
 21 6330.290790 3.023E-27 1.528E-02.07420.100 2038.99840.70-.005630       4 1 1 13       1 1 1 02                    R 16f     566663342910 9 711    35.0   33.0,17658515,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=1;J=17;r=3;kronigParity=f,ElecStateLabel=X;v1=1;v2=1;l2=1;v3=0;J=16;r=2;parity=-;kronigParity=f,#,0.0,0.07424,0.00678,-0.00563,#,#,0.0
 23 6330.303331 6.779E-30 2.860E-06.06850.087  365.12220.74-.006083       4 1 1 01       0 0 0 01                    R 31e     366663243210 9 711    65.0   63.0,18539781,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=0;J=32;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=31;r=1;parity=-;kronigParity=e,#,-0.00435,0.0687,0.00549,-0.006083,#,#,-0.00435
 22 6330.311122 3.550E-30 1.822E-05.06690.080 1289.75290.75-.008735       1 2 2 22       0 1 1 01                    Q 40f     366663243110 9 711   162.0  162.0,18539782,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=2;J=40;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=40;r=1;parity=-;kronigParity=f,#,0.000224,0.06733,0.00519,-0.008735,#,#,0.000224
 21 6330.314609 6.438E-28 7.270E-05.06080.068 1522.16110.71-.009153       2 2 2 12       0 0 0 01                    R 62e     565553342910 9 711   127.0  125.0,17658516,ElecStateLabel=X;v1=2;v2=2;l2=2;v3=1;J=63;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=62;r=1;parity=+;kronigParity=e,#,0.0,0.06286,0.0053,-0.009153,#,#,0.0
 25 6330.317257 2.116E-30 1.290E-03.06990.091  902.38390.73-.006636       3 1 1 11       0 1 1 01                    R 26f     366663243210 9 711   110.0  106.0,18539783,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=27;r=1;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=26;r=1;parity=-;kronigParity=f,#,0.0,0.06988,0.00582,-0.006636,#,#,0.0
 21 6330.339117 2.327E-26 1.762E-02.06750.083 1805.25230.74-.007458       4 0 0 13       1 0 0 02                    R 36e     566663342910 9 711    75.0   73.0,17658517,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=37;r=3;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=36;r=2;parity=+;kronigParity=e,#,-0.01137,0.06781,0.00527,-0.007458,#,#,-0.01137
 22 6330.355110 1.110E-29 1.025E-05.07260.097  796.89080.71-.006823       2 0 0 23       0 1 1 01                    R 19e     366663243110 9 711    82.0   78.0,18539784,ElecStateLabel=X;v1=2;v2=0;l2=0;v3=2;J=20;r=3;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=19;r=1;parity=-;kronigParity=e,#,-0.004852,0.07254,0.00647,-0.006823,#,#,-0.004852
 21 6330.429149 3.985E-28 2.123E-07.07130.095  197.41660.71-.005859       3 3 3 01       0 0 0 01                    P 22e     566663342910 9 711    43.0   45.0,17658518,ElecStateLabel=X;v1=3;v2=3;l2=3;v3=0;J=21;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=22;r=1;parity=+;kronigParity=e,#,0.0,0.072,0.00627,-0.005859,#,#,0.0
 21 6330.459922 1.431E-29 5.147E-03.07130.095 2958.81150.71-.007591       3 1 1 23       1 2 2 01                    P 22e     466663342910 9 711    43.0   45.0,17658519,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=2;J=21;r=3;kronigParity=e,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=0;J=22;r=1;parity=+;kronigParity=e,#,-0.007371,0.072,0.00627,-0.007591,#,#,-0.007371
 24 6330.472327 8.840E-29 6.238E-03.06810.085 1090.49450.74-.007226       3 1 1 12       0 1 1 01                    R 33f     366663243210 9 711   414.0  402.0,18539785,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=34;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=33;r=1;parity=+;kronigParity=f,#,0.0,0.06832,0.00538,-0.007226,#,#,0.0
 26 6330.487608 1.278E-29 1.312E-03.07420.100  102.97690.70-.005630       3 0 0 11       0 0 0 01                    R 16e     366663243210 9 711   420.0  396.0,18539786,ElecStateLabel=X;v1=3;v2=0;l2=0;v3=1;J=17;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=16;r=1;parity=+;kronigParity=e,#,-0.002194,0.07424,0.00678,-0.00563,#,#,-0.002194
 21 6330.502702 3.477E-25 7.157E-03.06900.089 1007.13350.73-.007058       3 1 1 12       0 1 1 01                    P 29e     666663342910 9 711    57.0   59.0,17658520,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=28;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=29;r=1;parity=-;kronigParity=e,#,0.001235,0.06968,0.00567,-0.007058,#,#,0.001235
 21 6330.508493 3.344E-28 6.494E-03.06810.086 2443.31820.74-.007255       3 3 3 12       0 3 3 01                    P 33e     466663342910 9 711    65.0   67.0,17658521,ElecStateLabel=X;v1=3;v2=3;l2=3;v3=1;J=32;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=33;r=1;parity=-;kronigParity=e,#,0.006537,0.0688,0.00543,-0.007255,#,#,0.006537
 24 6330.543185 7.322E-29 6.277E-03.06770.084 1142.10710.74-.007382       3 1 1 12       0 1 1 01                    R 35e     366663243210 9 711   438.0  426.0,18539787,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=36;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=35;r=1;parity=-;kronigParity=e,#,0.0,0.06798,0.0053,-0.007382,#,#,0.0
 21 6330.553142 1.017E-28 1.371E-02.07870.107 2628.13420.68-.004850       4 2 2 13       1 2 2 02                    R 10e     566663342910 9 711    23.0   21.0,17658522,ElecStateLabel=X;v1=4;v2=2;l2=2;v3=1;J=11;r=3;kronigParity=e,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=0;J=10;r=2;parity=+;kronigParity=e,#,0.0,0.07892,0.0073,-0.00485,#,#,0.0
 21 6330.592435 3.256E-30 1.196E-02.08080.109 3268.89330.68-.004531       4 3 3 13       1 3 3 02                    R  8f     466663342910 9 711    19.0   17.0,17658523,ElecStateLabel=X;v1=4;v2=3;l2=3;v3=1;J=9;r=3;kronigParity=f,ElecStateLabel=X;v1=1;v2=3;l2=3;v3=0;J=8;r=2;parity=-;kronigParity=f,#,0.0,0.08083,0.00741,-0.004531,#,#,0.0
 21 6330.617162 2.258E-30 3.719E-02.08080.111 3528.87540.68-.005785       5 1 1 12       2 1 1 01                    P  8f     466663342910 9 711    15.0   17.0,17658524,ElecStateLabel=X;v1=5;v2=1;l2=1;v3=1;J=7;r=2;kronigParity=f,ElecStateLabel=X;v1=2;v2=1;l2=1;v3=0;J=8;r=1;parity=-;kronigParity=f,#,0.0,0.08222,0.00745,-0.005785,#,#,0.0
 24 6330.629183 5.675E-30 6.269E-03.06960.090 1617.06670.73-.006725       3 2 2 12       0 2 2 01                    R 27e     366663243210 9 711   342.0  330.0,18539788,ElecStateLabel=X;v1=3;v2=2;l2=2;v3=1;J=28;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=2;l2=2;v3=0;J=27;r=1;parity=-;kronigParity=e,#,0.0,0.06961,0.00575,-0.006725,#,#,0.0
 24 6330.647756 5.675E-30 6.269E-03.06960.090 1617.06770.73-.006725       3 2 2 12       0 2 2 01                    R 27f     366663243210 9 711   342.0  330.0,18539789,ElecStateLabel=X;v1=3;v2=2;l2=2;v3=1;J=28;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=2;l2=2;v3=0;J=27;r=1;parity=+;kronigParity=f,#,0.0,0.06961,0.00575,-0.006725,#,#,0.0
 21 6330.662774 1.382E-29 1.757E-04.06930.090 2321.76500.73-.007953       2 2 2 23       0 3 3 01                    P 28f     466663342910 9 711    55.0   57.0,17658525,ElecStateLabel=X;v1=2;v2=2;l2=2;v3=2;J=27;r=3;kronigParity=f,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=28;r=1;parity=-;kronigParity=f,#,0.0,0.06994,0.00575,-0.007953,#,#,0.0
 24 6330.675822 7.582E-29 5.663E-03.06380.070 1207.25570.72-.008770       3 0 0 12       0 0 0 01                    R 56e     365553243210 9 711   690.0  678.0,18539790,ElecStateLabel=X;v1=3;v2=0;l2=0;v3=1;J=57;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=56;r=1;parity=+;kronigParity=e,#,-0.011348,0.06426,0.00522,-0.00877,#,#,-0.011348
 21 6330.682573 3.011E-27 1.534E-02.07370.099 2052.02410.70-.005743       4 1 1 13       1 1 1 02                    R 17e     566663342910 9 711    37.0   35.0,17658526,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=1;J=18;r=3;kronigParity=e,ElecStateLabel=X;v1=1;v2=1;l2=1;v3=0;J=17;r=2;parity=-;kronigParity=e,#,0.0,0.07363,0.00667,-0.005743,#,#,0.0
 21 6330.733555 1.231E-30 4.304E-02.06660.078 4045.36540.75-.007892       5 1 1 13       2 1 1 02                    R 42f     466563342910 9 711    87.0   85.0,17658527,ElecStateLabel=X;v1=5;v2=1;l2=1;v3=1;J=43;r=3;kronigParity=f,ElecStateLabel=X;v1=2;v2=1;l2=1;v3=0;J=42;r=2;parity=-;kronigParity=f,#,0.0,0.06686,0.00515,-0.007892,#,#,0.0
 22 6330.746728 7.490E-30 2.064E-05.06770.084 1140.43300.74-.006365       4 2 2 01       0 1 1 01                    R 35e     366663243110 9 711   146.0  142.0,18539791,ElecStateLabel=X;v1=4;v2=2;l2=2;v3=0;J=36;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=35;r=1;parity=-;kronigParity=e,#,0.005058,0.06798,0.0053,-0.006365,#,#,0.005058
 25 6330.785606 1.898E-30 1.311E-03.06930.089  942.50610.73-.006812       3 1 1 11       0 1 1 01                    R 28e     466663243210 9 711   118.0  114.0,18539792,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=29;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=28;r=1;parity=+;kronigParity=e,#,0.0,0.06936,0.00567,-0.006812,#,#,0.0
 21 6330.812800 2.021E-30 5.183E-04.07060.094 2907.51260.72-.005862       5 3 3 02       0 4 4 01                    P 24e     466663342910 9 711    47.0   49.0,17658528,ElecStateLabel=X;v1=5;v2=3;l2=3;v3=0;J=23;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=4;l2=4;v3=0;J=24;r=1;parity=+;kronigParity=e,#,0.000268,0.0712,0.00608,-0.005862,#,#,0.000268
 21 6330.821205 1.518E-23 7.575E-03.07220.097  163.86840.71-.006601       3 0 0 12       0 0 0 01                    P 20e     986663344510 9 711    39.0   41.0,17658529,ElecStateLabel=X;v1=3;v2=0;l2=0;v3=1;J=19;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=20;r=1;parity=+;kronigParity=e,#,0.00474,0.07294,0.00647,-0.006597,#,#,0.00474
 22 6330.827412 1.190E-29 4.594E-06.06640.077  772.14730.74-.008916       1 1 1 22       0 0 0 01                    P 44e     366563243010 9 711   174.0  178.0,18539793,ElecStateLabel=X;v1=1;v2=1;l2=1;v3=2;J=43;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=44;r=1;parity=+;kronigParity=e,#,0.004558,0.06698,0.00514,-0.008916,#,#,0.004558
 23 6330.843777 6.691E-30 3.356E-06.06810.085  412.95360.74-.006898       5 0 0 05       0 0 0 01                    R 33e     366663243210 9 711    69.0   67.0,18539794,ElecStateLabel=X;v1=5;v2=0;l2=0;v3=0;J=34;r=5;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=33;r=1;parity=-;kronigParity=e,#,-0.007718,0.06832,0.00538,-0.006898,#,#,-0.007718
 24 6330.857712 1.127E-30 1.468E-06.07310.099  129.47120.70-.005651       4 1 1 01       0 0 0 01                    P 18e     366663243210 9 711   210.0  222.0,18539795,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=0;J=17;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=18;r=1;parity=+;kronigParity=e,#,0.0,0.07404,0.00667,-0.005651,#,#,0.0
 21 6330.862724 1.006E-26 6.885E-03.06830.087 1748.57800.74-.007206       3 2 2 12       0 2 2 01                    P 32e     566663342910 9 711    63.0   65.0,17658530,ElecStateLabel=X;v1=3;v2=2;l2=2;v3=1;J=31;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=2;l2=2;v3=0;J=32;r=1;parity=+;kronigParity=e,#,0.006247,0.069,0.00549,-0.007206,#,#,0.006247
 21 6330.866297 7.051E-30 2.652E-05.05790.065 2278.99640.67-.007870       4 1 1 01       0 0 0 01                    P 76e     465553342910 9 711   151.0  153.0,17658531,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=0;J=75;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=76;r=1;parity=+;kronigParity=e,#,0.003614,0.05979,0.00539,-0.00787,#,#,0.003614
 21 6330.908296 7.839E-29 3.231E-02.07700.105 2858.06860.68-.006122       5 0 0 12       2 0 0 01                    P 12e     466663342910 9 711    23.0   25.0,17658532,ElecStateLabel=X;v1=5;v2=0;l2=0;v3=1;J=11;r=2;kronigParity=e,ElecStateLabel=X;v1=2;v2=0;l2=0;v3=0;J=12;r=1;parity=+;kronigParity=e,#,0.000142,0.07842,0.00723,-0.006122,#,#,0.000142
 22 6330.923739 5.580E-30 1.723E-05.06750.083 1169.37410.74-.006433       4 2 2 01       0 1 1 01                    R 36f     366663243110 9 711   150.0  146.0,18539796,ElecStateLabel=X;v1=4;v2=2;l2=2;v3=0;J=37;r=1;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=36;r=1;parity=-;kronigParity=f,#,-0.018263,0.06781,0.00527,-0.006433,#,#,-0.018263
 22 6330.927100 2.750E-30 1.601E-05.06680.080 1320.70880.75-.008803       1 2 2 22       0 1 1 01                    Q 41e     366563243110 9 711   166.0  166.0,18539797,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=2;J=41;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=41;r=1;parity=-;kronigParity=e,#,0.030687,0.06718,0.00517,-0.008803,#,#,0.030687
 21 6330.927447 1.227E-29 5.608E-03.06830.087 3086.65040.74-.007206       3 4 4 12       0 4 4 01                    P 32e     466663342910 9 711    63.0   65.0,17658533,ElecStateLabel=X;v1=3;v2=4;l2=4;v3=1;J=31;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=4;l2=4;v3=0;J=32;r=1;parity=+;kronigParity=e,#,0.0,0.069,0.00549,-0.007206,#,#,0.0
 25 6330.938062 1.987E-30 1.288E-03.06960.090  922.30700.73-.006725       3 1 1 11       0 1 1 01                    R 27f     366663243210 9 711   114.0  110.0,18539798,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=28;r=1;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=27;r=1;parity=+;kronigParity=f,#,0.0,0.06961,0.00575,-0.006725,#,#,0.0
 21 6331.011869 2.159E-30 1.901E-02.07370.100 3562.22040.70-.006437       4 3 3 12       1 3 3 01                    P 17e     466663342910 9 711    33.0   35.0,17658534,ElecStateLabel=X;v1=4;v2=3;l2=3;v3=1;J=16;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=3;l2=3;v3=0;J=17;r=1;parity=-;kronigParity=e,#,0.0,0.07465,0.00678,-0.006437,#,#,0.0
 21 6331.013291 1.325E-30 9.435E-06.07480.101 2097.40880.69-.004659       5 2 2 02       0 3 3 01                    R 15e     466663342910 9 711    33.0   31.0,17658535,ElecStateLabel=X;v1=5;v2=2;l2=2;v3=0;J=16;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=15;r=1;parity=-;kronigParity=e,#,0.015444,0.0749,0.00687,-0.004659,#,#,0.015444
 24 6331.036264 8.018E-29 6.235E-03.06790.084 1116.28820.74-.007305       3 1 1 12       0 1 1 01                    R 34f     366663243210 9 711   426.0  414.0,18539799,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=35;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=34;r=1;parity=-;kronigParity=f,#,0.0,0.06815,0.00534,-0.007305,#,#,0.0
 24 6331.038624 6.586E-29 6.275E-03.06750.083 1169.37370.74-.007458       3 1 1 12       0 1 1 01                    R 36e     466663243210 9 711   450.0  438.0,18539800,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=37;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=36;r=1;parity=+;kronigParity=e,#,0.0,0.06781,0.00527,-0.007458,#,#,0.0
 22 6331.062242 4.430E-30 1.772E-05.06720.082 1228.00340.75-.008596       1 2 2 22       0 1 1 01                    Q 38f     366663243110 9 711   154.0  154.0,18539801,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=2;J=38;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=38;r=1;parity=-;kronigParity=f,#,0.0091,0.06765,0.00524,-0.008596,#,#,0.0091
 21 6331.065249 2.300E-29 2.313E-05.06790.084 1852.34660.74-.007349       3 2 2 12       1 0 0 01                    R 34e     566663342910 9 711    71.0   69.0,17658536,ElecStateLabel=X;v1=3;v2=2;l2=2;v3=1;J=35;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=34;r=1;parity=+;kronigParity=e,#,0.0,0.06815,0.00534,-0.007349,#,#,0.0
 24 6331.074832 6.230E-29 5.640E-03.06320.070 1250.32470.72-.008827       3 0 0 12       0 0 0 01                    R 57e     365553243210 9 711   702.0  690.0,18539802,ElecStateLabel=X;v1=3;v2=0;l2=0;v3=1;J=58;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=57;r=1;parity=-;kronigParity=e,#,-0.011296,0.06404,0.00523,-0.008827,#,#,-0.011296
 23 6331.090173 6.586E-30 3.024E-06.06830.086  388.67050.74-.006155       4 1 1 01       0 0 0 01                    R 32e     366663243210 9 711    67.0   65.0,18539803,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=0;J=33;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=32;r=1;parity=+;kronigParity=e,#,-0.004601,0.06851,0.00543,-0.006155,#,#,-0.004601
 22 6331.105491 2.250E-29 1.236E-03.08660.118 1273.64600.69-.005249       4 0 0 12       1 0 0 02                    P  4e     366663243110 9 711    14.0   18.0,18539804,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=3;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=4;r=2;parity=+;kronigParity=e,#,-0.010392,0.08668,0.00747,-0.005249,#,#,-0.010392
 21 6331.130584 5.373E-29 1.768E-02.07260.098 2909.49430.70-.006547       4 2 2 12       1 2 2 01                    P 19f     466663342910 9 711    37.0   39.0,17658537,ElecStateLabel=X;v1=4;v2=2;l2=2;v3=1;J=18;r=2;kronigParity=f,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=0;J=19;r=1;parity=+;kronigParity=f,#,0.0,0.07347,0.00657,-0.006547,#,#,0.0
