,molec_id,local_iso_id,elower,nu,nu_err,nu_vary,sw,sw_err,sw_vary,sw_scale_factor,gamma0_air,gamma0_air_err,gamma0_air_vary,n_gamma0_air,delta0_air,delta0_air_err,delta0_air_vary,n_delta0_air,nuVC_air,nuVC_air_err,nuVC_air_vary,n_nuVC_air,SD_gamma_air,SD_gamma_air_err,SD_gamma_air_vary,n_gamma2_air,SD_delta_air,SD_delta_air_err,SD_delta_air_vary,n_delta2_air,eta_air,eta_air_err,eta_air_vary,y_air,y_air_err,y_air_vary,n_y_air
57,7,1,1896.3406,13003.44828,0,False,0.00207,0,False,1e-24,0.0447,0,False,0.65,-0.0074,0,False,0.0,0,0,False,1,0.11088723,0,False,0.65,0,0,False,0,0,0,False,0.0,0,False,1.0
58,7,2,1260.8794,13003.50642,0,False,0.000199,0,False,1e-24,0.0322,0,False,0.63,-0.0093,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
59,7,1,1992.1165,13003.54764,0,False,0.00136,0,False,1e-24,0.0434,0,False,0.65,-0.0075,0,False,0.0,0,0,False,1,0.11088723,0,False,0.65,0,0,False,0,0,0,False,0.0,0,False,1.0
60,7,3,1212.2838,13004.62208,0,False,5.06e-05,0,False,1e-24,0.0332,0,False,0.63,-0.0092,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
61,7,2,1259.123,13005.26291,0,False,0.000192,0,False,1e-24,0.0322,0,False,0.63,-0.0092,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
62,7,1,2097.0889,13005.34522,0,False,0.000909,0,False,1e-24,0.0417,0,False,0.64,-0.0073,0,False,0.0,0,0,False,1,0.114055436,0,False,0.64,0,0,False,0,0,0,False,0.0,0,False,1.0
63,7,1,1989.9904,13005.67376,0,False,0.00147,0,False,1e-24,0.0434,0,False,0.65,-0.0078,0,False,0.0,0,0,False,1,0.11088723,0,False,0.65,0,0,False,0,0,0,False,0.0,0,False,1.0
64,7,3,1210.5248,13006.38112,0,False,4.880000000000001e-05,0,False,1e-24,0.0332,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
65,7,1,2213.3478,13006.73085,0,False,0.000571,0,False,1e-24,0.0398,0,False,0.63,-0.0083,0,False,0.0,0,0,False,1,0.117223643,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
66,7,1,2094.9441,13007.49001,0,False,0.000982,0,False,1e-24,0.0417,0,False,0.64,-0.0085,0,False,0.0,0,0,False,1,0.114055436,0,False,0.64,0,0,False,0,0,0,False,0.0,0,False,1.0
67,7,1,2340.874,13007.70125,0,False,0.000337,0,False,1e-24,0.0376,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.117223643,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
68,7,1,2790.8388,13008.08467,0,False,4.7600000000000005e-05,0,False,1e-24,0.0312,0,False,0.63,-0.0097,0,False,0.0,0,0,False,1,0.117223643,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
69,7,1,2479.6468,13008.25289,0,False,0.000186,0,False,1e-24,0.0354,0,False,0.63,-0.0093,0,False,0.0,0,0,False,1,0.117223643,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
70,7,1,2629.6432,13008.38203,0,False,9.71e-05,0,False,1e-24,0.0332,0,False,0.63,-0.0095,0,False,0.0,0,0,False,1,0.117223643,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
71,7,2,1179.8744,13008.76435,0,False,0.000286,0,False,1e-24,0.0332,0,False,0.63,-0.0092,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
72,7,1,2211.1846,13008.89404,0,False,0.000613,0,False,1e-24,0.0398,0,False,0.63,-0.0089,0,False,0.0,0,0,False,1,0.117223643,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
73,7,1,2338.6926,13009.88265,0,False,0.000359,0,False,1e-24,0.0376,0,False,0.63,-0.0089,0,False,0.0,0,0,False,1,0.117223643,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
74,7,3,1131.7993,13009.93452,0,False,7.230000000000001e-05,0,False,1e-24,0.0341,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
75,7,1,2788.6035,13010.31996,0,False,5.03e-05,0,False,1e-24,0.0312,0,False,0.63,-0.0093,0,False,0.0,0,0,False,1,0.117223643,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
76,7,1,2477.4473,13010.45235,0,False,0.000198,0,False,1e-24,0.0354,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.117223643,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
77,7,2,1178.1097,13010.52902,0,False,0.000276,0,False,1e-24,0.0332,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
78,7,1,2627.4258,13010.59945,0,False,0.000103,0,False,1e-24,0.0332,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.117223643,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
79,7,1,1085.2,13010.81,0,False,0.228,0,False,1e-24,0.03,0,False,0.63,-0.011179,0,False,5e-05,0,0,False,1,0.13,0,False,0.63,0,0,False,0,0,0,False,0.002193,0,False,5.405820127
80,7,3,1130.0318,13011.70201,0,False,6.960000000000001e-05,0,False,1e-24,0.0341,0,False,0.63,-0.0091,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
